node,latency
Conv_0,36.2632
Relu_1,18.9633
Conv_2,285.81370000000004
Relu_3,17.9011
Conv_4,254.77179999999998
Relu_5,269.46
MaxPool_6,31.8513
Conv_7,23.6583
Relu_8,10.719
Conv_9,121.763
Relu_10,10.7898
Conv_11,160.3966
Conv_12,160.7319
Add_13,429.2471
Relu_14,266.6713
Conv_15,55.302
Relu_16,10.9834
Conv_17,117.9025
Relu_18,11.6144
Conv_19,160.43779999999998
Add_20,429.69640000000004
Relu_21,267.2197
Conv_22,55.351800000000004
Relu_23,10.87
Conv_24,117.3775
Relu_25,10.8948
Conv_26,160.3475
Add_27,419.2027
Relu_28,267.8767
Conv_29,106.90660000000001
Relu_30,18.7297
Conv_31,111.683
Relu_32,7.5187
Conv_33,52.486599999999996
Conv_34,104.8193
Add_35,57.9354
Relu_36,18.7984
Conv_37,61.7951
Relu_38,7.488300000000001
Conv_39,102.7193
Relu_40,7.5133
Conv_41,52.883
Add_42,58.655199999999994
Relu_43,18.6938
Conv_44,62.802800000000005
Relu_45,7.5445
Conv_46,114.2697
Relu_47,8.0544
Conv_48,52.4197
Add_49,58.3701
Relu_50,18.728
Conv_51,62.7249
Relu_52,7.5169
Conv_53,101.5408
Relu_54,9.065100000000001
Conv_55,52.241
Add_56,64.0674
Relu_57,18.697400000000002
Conv_58,129.6068
Relu_59,10.9088
Conv_60,281.8816
Relu_61,10.9251
Conv_62,188.8714
Conv_63,364.29240000000004
Add_64,422.57509999999996
Relu_65,267.117
Conv_66,175.2586
Relu_67,10.7216
Conv_68,286.6879
Relu_69,10.6703
Conv_70,187.4514
Add_71,411.1089
Relu_72,267.7222
Conv_73,175.5532
Relu_74,10.784799999999999
Conv_75,283.8445
Relu_76,10.862200000000001
Conv_77,187.4522
Add_78,431.095
Relu_79,266.7681
Conv_80,175.4185
Relu_81,10.8689
Conv_82,289.8571
Relu_83,10.7804
Conv_84,187.70929999999998
Add_85,430.1752
Relu_86,269.2313
Conv_87,174.75039999999998
Relu_88,10.9948
Conv_89,275.521
