node,latency
Conv_0,203.9146
Relu_1,226.1442
Conv_2,596.7199
Relu_3,226.1215
Conv_4,936.518
Relu_5,449.0495
MaxPool_6,305.66290000000004
Conv_7,140.5873
Relu_8,115.0462
Conv_9,329.68170000000003
Relu_10,115.0681
Conv_11,383.869
Conv_12,385.64709999999997
Add_13,682.5548
Relu_14,449.2242
Conv_15,332.8486
Relu_16,115.81269999999999
Conv_17,332.2351
Relu_18,114.9308
Conv_19,385.0401
Add_20,682.6092
Relu_21,449.20059999999995
Conv_22,332.7294
Relu_23,114.94839999999999
Conv_24,329.26590000000004
Relu_25,115.0365
Conv_26,385.4203
Add_27,683.1762
Relu_28,449.11220000000003
Conv_29,511.1848
Relu_30,226.62720000000002
Conv_31,578.2376999999999
Relu_32,59.603199999999994
Conv_33,285.38190000000003
Conv_34,508.9283
Add_35,342.959
Relu_36,226.2626
Conv_37,264.24190000000004
Relu_38,59.4724
Conv_39,292.4085
Relu_40,59.395300000000006
Conv_41,285.60409999999996
Add_42,343.0467
Relu_43,226.3374
Conv_44,263.9734
Relu_45,59.7556
Conv_46,290.0074
Relu_47,59.4949
Conv_48,284.7702
Add_49,343.3045
Relu_50,226.8152
Conv_51,264.44329999999997
Relu_52,59.514199999999995
Conv_53,293.5645
Relu_54,59.421699999999994
Conv_55,284.8051
Add_56,343.245
Relu_57,226.0674
Conv_58,506.06329999999997
Relu_59,115.1167
Conv_60,1014.11
Relu_61,115.0782
Conv_62,986.7361
Conv_63,1889.0836000000002
Add_64,686.6766
Relu_65,449.0347
Conv_66,994.8996999999999
Relu_67,115.1156
Conv_68,2157.304
Relu_69,115.41510000000001
Conv_70,989.6126999999999
Add_71,684.6078
Relu_72,449.38370000000003
Conv_73,998.66
Relu_74,114.9598
Conv_75,2156.6127
Relu_76,114.9345
Conv_77,989.8343000000001
Add_78,682.5833
Relu_79,449.12390000000005
Conv_80,1015.927
Relu_81,114.9577
Conv_82,2217.313
Relu_83,114.9577
Conv_84,988.682
Add_85,682.5199
Relu_86,449.28540000000004
Conv_87,1003.363
Relu_88,115.7376
Conv_89,2225.3224
Relu_90,115.0582
Conv_91,989.7186999999999
Add_92,682.4667
Relu_93,449.1841
Conv_94,996.1963000000001
Relu_95,114.9351
Conv_96,2146.3094
Relu_97,115.1429
Conv_98,989.8364
Add_99,682.6329000000001
Relu_100,449.09959999999995
Conv_101,992.9345999999999
Relu_102,114.9876
Conv_103,2158.4372999999996
Relu_104,115.13810000000001
Conv_105,993.7294
Add_106,685.9831999999999
Relu_107,448.9395
Conv_108,1028.158
Relu_109,115.0557
Conv_110,2150.6585
Relu_111,115.07730000000001
Conv_112,989.0078000000001
Add_113,682.7674000000001
Relu_114,449.0875
Conv_115,994.7153000000001
Relu_116,114.9757
Conv_117,2152.0055
Relu_118,114.9753
Conv_119,985.8201
Add_120,682.6416999999999
Relu_121,449.0288
Conv_122,1005.7941999999999
Relu_123,115.077
Conv_124,2164.9127999999996
Relu_125,117.90360000000001
Conv_126,989.2934
Add_127,682.6043000000001
Relu_128,449.0231
Conv_129,983.7526
Relu_130,114.9674
Conv_131,2158.0353999999998
Relu_132,115.15660000000001
Conv_133,986.3658
Add_134,685.7086999999999
Relu_135,449.7167
Conv_136,998.1553
Relu_137,115.016
Conv_138,2151.9407
Relu_139,115.0023
Conv_140,996.2513
Add_141,684.5926
Relu_142,449.7774
Conv_143,1004.2185999999999
Relu_144,114.9303
Conv_145,2137.95
Relu_146,115.1814
Conv_147,995.497
Add_148,685.8964
Relu_149,449.0326
Conv_150,1004.5617
Relu_151,115.0965
Conv_152,2139.8107
Relu_153,115.15360000000001
Conv_154,997.5014
Add_155,683.9696
Relu_156,449.41490000000005
Conv_157,1015.4365
Relu_158,115.9976
Conv_159,2253.9466
Relu_160,115.2223
Conv_161,987.4013
Add_162,682.5880999999999
Relu_163,449.2766
Conv_164,997.7234
Relu_165,115.103
Conv_166,2152.0352000000003
Relu_167,114.80680000000001
Conv_168,985.8848
Add_169,682.7693
Relu_170,449.49629999999996
Conv_171,1018.0045
Relu_172,114.816
Conv_173,2254.5961
Relu_174,115.0493
Conv_175,996.3265
Add_176,685.9614
Relu_177,449.0824
Conv_178,1003.2452
Relu_179,115.0688
Conv_180,2193.1291
Relu_181,114.93310000000001
Conv_182,996.0303
Add_183,682.3618
Relu_184,449.0799
Conv_185,983.2916
Relu_186,114.975
Conv_187,2157.0747
Relu_188,114.8077
Conv_189,986.1013
Add_190,682.3451
Relu_191,449.3046
Conv_192,985.5651
Relu_193,114.93889999999999
Conv_194,2202.7412000000004
Relu_195,114.8445
Conv_196,996.6895
Add_197,682.618
Relu_198,449.2225
Conv_199,1004.9083
Relu_200,114.892
Conv_201,2144.2623
Relu_202,114.9148
Conv_203,988.9742
Add_204,682.386
Relu_205,449.14590000000004
Conv_206,994.2766
Relu_207,115.102
Conv_208,2171.2296
Relu_209,115.08739999999999
Conv_210,986.3323
Add_211,682.6196
Relu_212,452.3631
Conv_213,985.673
Relu_214,115.0829
Conv_215,2151.3515
Relu_216,114.95089999999999
Conv_217,984.961
Add_218,682.4183
Relu_219,449.0852
Conv_220,1855.6079
Relu_221,226.1725
Conv_222,8747.1835
Relu_223,226.2764
Conv_224,4011.2862999999998
Conv_225,8997.6597
Add_226,1360.2665
Relu_227,893.7314
Conv_228,3677.2321
Relu_229,226.5432
Conv_230,8859.873599999999
Relu_231,226.4934
Conv_232,3933.612
Add_233,1362.4284
Relu_234,893.7022
Conv_235,3737.8082000000004
Relu_236,226.9076
Conv_237,8829.117400000001
Relu_238,226.3473
Conv_239,3950.2915
Add_240,1359.1407
Relu_241,893.9338
Shape_242,6.5556
Gather_244,8.5944
Conv_245,1901.805
Relu_246,114.81639999999999
Shape_247,7.798100000000001
Gather_248,9.116299999999999
Gather_250,8.0517
Unsqueeze_251,8.1403
Unsqueeze_252,8.1953
