node,latency
Conv_0,137.9888
Relu_1,138.4565
Conv_2,414.68
Relu_3,139.5592
Conv_4,683.3306
Relu_5,275.5338
MaxPool_6,167.21710000000002
Conv_7,81.5787
Relu_8,72.8304
Conv_9,277.87379999999996
Relu_10,72.9208
Conv_11,208.7573
Conv_12,210.12679999999997
Add_13,397.18390000000005
Relu_14,275.45279999999997
Conv_15,201.6877
Relu_16,71.29480000000001
Conv_17,277.615
Relu_18,71.2313
Conv_19,207.3342
Add_20,396.8322
Relu_21,275.70570000000004
Conv_22,202.91479999999999
Relu_23,71.4706
Conv_24,280.5615
Relu_25,73.3498
Conv_26,207.09789999999998
Add_27,396.44109999999995
Relu_28,275.7572
Conv_29,356.32309999999995
Relu_30,139.60479999999998
Conv_31,415.6243
Relu_32,36.661300000000004
Conv_33,182.2802
Conv_34,347.2526
Add_35,198.9623
Relu_36,139.59539999999998
Conv_37,191.172
Relu_38,36.8083
Conv_39,256.9522
Relu_40,36.8104
Conv_41,181.8593
Add_42,198.85660000000001
Relu_43,140.5387
Conv_44,190.7862
Relu_45,36.652
Conv_46,251.3237
Relu_47,36.7919
Conv_48,180.9543
Add_49,200.0313
Relu_50,139.41129999999998
Conv_51,197.0283
Relu_52,36.6336
Conv_53,254.4771
Relu_54,36.761300000000006
Conv_55,182.0162
Add_56,199.69910000000002
Relu_57,139.4257
Conv_58,370.09959999999995
Relu_59,71.4464
Conv_60,879.3727
Relu_61,71.30789999999999
Conv_62,661.4982
Conv_63,1204.207
Add_64,394.4638
Relu_65,275.5648
Conv_66,702.4016
Relu_67,70.9213
Conv_68,1677.83
Relu_69,70.7873
Conv_70,674.0114
Add_71,394.4857
Relu_72,275.76559999999995
Conv_73,710.6152
Relu_74,71.0031
Conv_75,1594.9453
Relu_76,70.86030000000001
Conv_77,651.8139
Add_78,394.3923
Relu_79,275.9466
Conv_80,709.9738000000001
Relu_81,70.987
Conv_82,1580.0764
Relu_83,71.08460000000001
Conv_84,653.2731
Add_85,394.7886
Relu_86,275.9392
Conv_87,710.6196
Relu_88,71.259
Conv_89,1608.8689
Relu_90,71.0531
Conv_91,651.8935
Add_92,394.81890000000004
Relu_93,275.508
Conv_94,703.4426
Relu_95,71.1958
Conv_96,1635.961
Relu_97,70.92060000000001
Conv_98,664.2704
Add_99,394.8221
Relu_100,276.3222
Conv_101,718.4752
Relu_102,70.99239999999999
Conv_103,1564.3415
Relu_104,71.1249
Conv_105,653.7376999999999
Add_106,394.70090000000005
Relu_107,275.7593
Conv_108,712.3996
Relu_109,71.0767
Conv_110,1586.4471
Relu_111,71.1581
Conv_112,656.9263000000001
Add_113,394.6805
