node,latency
Conv_0,45.4844
Relu_1,44.487199999999994
Conv_2,115.966
Relu_3,44.1742
Conv_4,227.37320000000003
Relu_5,84.4199
MaxPool_6,59.0389
Conv_7,36.9705
Relu_8,23.550900000000002
Conv_9,105.2851
Relu_10,23.7773
Conv_11,93.5956
Conv_12,94.36439999999999
Add_13,125.4778
Relu_14,84.9199
Conv_15,102.62939999999999
Relu_16,23.6722
Conv_17,105.2585
Relu_18,23.6301
Conv_19,94.5697
Add_20,125.5025
Relu_21,84.7872
Conv_22,102.1199
Relu_23,23.6251
Conv_24,105.193
Relu_25,23.7073
Conv_26,93.9551
Add_27,125.4687
Relu_28,84.87960000000001
Conv_29,169.10729999999998
Relu_30,44.354099999999995
Conv_31,205.9777
Relu_32,11.9311
Conv_33,91.7829
Conv_34,168.3269
Add_35,64.962
Relu_36,44.4011
Conv_37,97.3661
Relu_38,11.8933
Conv_39,109.2145
Relu_40,13.388200000000001
Conv_41,91.704
Add_42,64.8301
Relu_43,44.2094
Conv_44,97.1912
Relu_45,11.8658
Conv_46,109.3032
Relu_47,11.864600000000001
Conv_48,91.4196
Add_49,65.0363
Relu_50,44.4272
Conv_51,97.14869999999999
Relu_52,11.877
Conv_53,108.49130000000001
Relu_54,11.9378
Conv_55,91.6764
Add_56,64.8942
Relu_57,44.2089
Conv_58,184.757
Relu_59,23.8213
Conv_60,355.0961
Relu_61,23.6195
Conv_62,305.4346
Conv_63,697.4823
Add_64,125.7513
Relu_65,84.5618
Conv_66,356.8101
Relu_67,23.6543
Conv_68,751.4604
Relu_69,24.4268
Conv_70,308.94059999999996
Add_71,125.6999
Relu_72,85.07310000000001
Conv_73,356.3892
Relu_74,23.8283
Conv_75,767.7888
Relu_76,23.7714
Conv_77,309.5599
Add_78,125.7467
Relu_79,84.495
Conv_80,356.1008
Relu_81,23.7573
Conv_82,758.7497
Relu_83,23.9363
Conv_84,312.38890000000004
Add_85,125.8522
Relu_86,84.90480000000001
Conv_87,356.4513
Relu_88,23.802400000000002
Conv_89,760.0316
Relu_90,23.781299999999998
Conv_91,313.6734
Add_92,125.8896
Relu_93,84.72810000000001
Conv_94,357.1625
Relu_95,23.785
Conv_96,758.0031
Relu_97,23.8275
Conv_98,307.1198
Add_99,125.72760000000001
Relu_100,84.7392
Conv_101,356.51559999999995
Relu_102,23.7754
Conv_103,767.0512
Relu_104,23.7331
Conv_105,312.2289
Add_106,125.89869999999999
Relu_107,85.0951
Conv_108,356.3601
Relu_109,23.697400000000002
Conv_110,767.8536
Relu_111,23.606
Conv_112,311.8424
Add_113,127.10289999999999
Relu_114,85.6677
Conv_115,356.4991
Relu_116,23.7862
Conv_117,775.8715
Relu_118,23.695700000000002
Conv_119,305.69509999999997
Add_120,125.8359
Relu_121,84.8989
Conv_122,356.0665
Relu_123,23.8296
Conv_124,759.9075
Relu_125,23.756400000000003
Conv_126,305.4834
Add_127,125.90780000000001
Relu_128,84.6749
Conv_129,356.0732
Relu_130,23.7389
Conv_131,767.4597
Relu_132,23.511599999999998
Conv_133,314.4983
Add_134,126.20360000000001
Relu_135,85.0513
Conv_136,356.17109999999997
Relu_137,23.932599999999997
Conv_138,767.2266999999999
Relu_139,23.841099999999997
Conv_140,310.1517
Add_141,126.062
Relu_142,84.7488
Conv_143,355.9753
Relu_144,23.6064
Conv_145,783.8058000000001
Relu_146,24.1755
Conv_147,310.1776
Add_148,125.75710000000001
Relu_149,84.8866
Conv_150,356.116
Relu_151,23.836599999999997
Conv_152,759.4526
Relu_153,23.661
Conv_154,311.1299
Add_155,126.6311
Relu_156,84.6532
Conv_157,356.0757
Relu_158,23.8478
Conv_159,796.9223000000001
Relu_160,23.6172
Conv_161,315.9934
Add_162,125.93910000000001
Relu_163,84.6633
Conv_164,356.2088
Relu_165,23.7565
Conv_166,751.534
Relu_167,23.9064
Conv_168,309.5905
Add_169,125.6641
Relu_170,85.0218
Conv_171,356.6347
Relu_172,23.8259
Conv_173,758.5110999999999
Relu_174,23.699099999999998
Conv_175,313.262
Add_176,125.8954
Relu_177,84.6364
Conv_178,357.3701
Relu_179,23.5817
Conv_180,751.924
Relu_181,23.8565
Conv_182,319.5769
Add_183,125.8353
Relu_184,84.94210000000001
Conv_185,356.0799
Relu_186,25.2581
Conv_187,758.8828000000001
Relu_188,23.7434
Conv_189,312.1898
Add_190,126.0493
Relu_191,84.8737
Conv_192,355.9857
Relu_193,23.5921
Conv_194,750.3828000000001
Relu_195,24.589
