node,latency
Conv_1,36.745599999999996
Relu_2,17.8056
Conv_3,144.64520000000002
Relu_4,19.1873
Conv_5,257.1342
Relu_6,269.24440000000004
MaxPool_7,32.2386
Conv_8,23.7445
Relu_9,10.7612
Conv_10,123.7199
Relu_11,11.104
Conv_12,160.374
Conv_13,160.72560000000001
Add_14,430.88329999999996
Relu_15,268.45029999999997
Conv_16,55.306400000000004
Relu_17,10.774899999999999
Conv_18,123.3103
Relu_19,10.84
Conv_20,160.1517
Add_21,428.964
Relu_22,263.874
Conv_23,55.5036
Relu_24,10.966
Conv_25,121.3852
Relu_26,10.9476
Conv_27,160.3903
Add_28,422.209
Relu_29,267.8047
Conv_30,107.5918
Relu_31,18.7814
Conv_32,113.6994
Relu_33,7.398899999999999
Conv_34,52.9451
Conv_35,105.2305
Add_36,58.345800000000004
Relu_37,18.877
Conv_38,62.6215
Relu_39,8.1843
Conv_40,102.7952
Relu_41,7.273899999999999
Conv_42,52.0815
Add_43,58.7361
Relu_44,19.1192
Conv_45,62.9124
Relu_46,7.262899999999999
Conv_47,101.8834
Relu_48,7.295100000000001
Conv_49,53.536699999999996
Add_50,58.4632
Relu_51,18.7722
Conv_52,62.6845
Relu_53,7.1994
Conv_54,101.4202
Relu_55,7.1349
Conv_56,52.9149
Add_57,65.0314
Relu_58,18.661099999999998
Conv_59,97.2077
Relu_60,10.655299999999999
Conv_61,289.90229999999997
Relu_62,10.7897
Conv_63,188.8417
Conv_64,366.3227
Add_65,429.1632
Relu_66,267.6354
Conv_67,177.08720000000002
Relu_68,12.1389
Conv_69,283.1965
Relu_70,10.688799999999999
Conv_71,187.7224
Add_72,404.6805
Relu_73,267.93
Conv_74,178.66129999999998
Relu_75,10.6646
Conv_76,293.5507
Relu_77,10.887
Conv_78,189.2338
Add_79,410.5403
Relu_80,268.76120000000003
Conv_81,178.61970000000002
Relu_82,10.951799999999999
Conv_83,291.8403
Relu_84,10.732299999999999
Conv_85,188.3774
Add_86,409.2927
Relu_87,267.1638
Conv_88,178.8003
Relu_89,10.7304
Conv_90,291.6025
Relu_91,10.7045
Conv_92,188.7151
Add_93,430.2296
Relu_94,270.0426
Conv_95,176.5824
Relu_96,10.7047
Conv_97,283.5414
Relu_98,10.7388
Conv_99,189.2297
Add_100,431.8219
Relu_101,266.6608
Conv_102,177.0309
Relu_103,10.6005
Conv_104,276.60220000000004
Relu_105,10.8639
Conv_106,188.05079999999998
Add_107,406.63840000000005
Relu_108,267.5651
Conv_109,178.5144
Relu_110,11.044
Conv_111,288.156
Relu_112,10.8926
Conv_113,180.5735
Add_114,415.0535
Relu_115,269.0475
Conv_116,178.39020000000002
Relu_117,10.924299999999999
Conv_118,291.4999
Relu_119,10.7702
Conv_120,180.8727
Add_121,429.8313
Relu_122,269.6586
Conv_123,178.6918
Relu_124,10.82
Conv_125,290.496
Relu_126,12.706100000000001
Conv_127,181.8845
Add_128,405.25140000000005
Relu_129,269.2503
Conv_130,180.3388
Relu_131,10.756200000000002
Conv_132,292.1379
Relu_133,10.7377
Conv_134,181.2537
Add_135,418.4813
Relu_136,268.716
Conv_137,179.0969
Relu_138,10.9586
Conv_139,288.4463
Relu_140,10.764899999999999
Conv_141,181.00570000000002
Add_142,404.70340000000004
Relu_143,269.7625
Conv_144,179.9186
Relu_145,10.754
Conv_146,291.88340000000005
Relu_147,10.7616
Conv_148,180.44629999999998
