node,latency
Conv_1,202.7988
Relu_2,226.25910000000002
Conv_3,592.1544
Relu_4,226.2932
Conv_5,929.1057
Relu_6,448.9355
MaxPool_7,305.902
Conv_8,142.4752
Relu_9,114.9892
Conv_10,328.1392
Relu_11,114.91980000000001
Conv_12,383.16179999999997
Conv_13,383.2742
Add_14,683.8351
Relu_15,449.8098
Conv_16,332.20459999999997
Relu_17,115.1876
Conv_18,329.3225
Relu_19,115.11919999999999
Conv_20,383.8451
Add_21,683.9074
Relu_22,449.489
Conv_23,333.81129999999996
Relu_24,114.9789
Conv_25,328.0387
Relu_26,115.3672
Conv_27,383.1487
Add_28,683.3641
Relu_29,449.1721
Conv_30,515.1030999999999
Relu_31,227.0563
Conv_32,570.8029
Relu_33,59.9123
Conv_34,286.0264
Conv_35,507.2421
Add_36,343.7886
Relu_37,226.25420000000003
Conv_38,265.91659999999996
Relu_39,59.4108
Conv_40,292.95309999999995
Relu_41,60.453300000000006
Conv_42,283.9794
Add_43,342.8936
Relu_44,226.3183
Conv_45,270.3551
Relu_46,59.5993
Conv_47,294.9068
Relu_48,59.422599999999996
Conv_49,284.2395
Add_50,342.7265
Relu_51,226.4441
Conv_52,272.847
Relu_53,59.416199999999996
Conv_54,292.4446
Relu_55,59.3966
Conv_56,283.5673
Add_57,343.1828
Relu_58,226.8126
Conv_59,498.409
Relu_60,115.2026
Conv_61,1007.465
Relu_62,115.52860000000001
Conv_63,983.5021999999999
Conv_64,1908.7161999999998
Add_65,682.9369
Relu_66,449.0091
Conv_67,988.0609000000001
Relu_68,115.01360000000001
Conv_69,2203.9002
Relu_70,115.1823
Conv_71,998.8529
Add_72,682.8598000000001
Relu_73,449.231
Conv_74,985.8236999999999
Relu_75,115.24889999999999
Conv_76,2222.2671
Relu_77,114.98339999999999
Conv_78,988.7247
Add_79,682.4986
Relu_80,449.2325
Conv_81,985.5108
Relu_82,115.01339999999999
Conv_83,2158.0549
Relu_84,114.9753
Conv_85,988.1442
Add_86,682.6696
Relu_87,449.1532
Conv_88,976.2887
Relu_89,115.0547
Conv_90,2173.0521
Relu_91,115.06230000000001
Conv_92,995.4373
Add_93,682.6171999999999
Relu_94,450.0713
Conv_95,995.7718000000001
Relu_96,116.00760000000001
Conv_97,2166.3676
Relu_98,115.2373
Conv_99,1012.1696
Add_100,682.4920999999999
Relu_101,449.10970000000003
Conv_102,1014.154
Relu_103,115.0566
Conv_104,2172.0128999999997
Relu_105,114.955
Conv_106,984.9213000000001
Add_107,683.9334
Relu_108,449.8872
Conv_109,1006.3669
Relu_110,115.1853
Conv_111,2181.7012
Relu_112,115.07860000000001
Conv_113,1011.7875
Add_114,684.5679
Relu_115,449.1615
Conv_116,1040.131
Relu_117,114.9068
Conv_118,2166.3852
Relu_119,114.9783
Conv_120,998.9549000000001
Add_121,683.0387
Relu_122,449.3941
Conv_123,1004.1641
Relu_124,115.08930000000001
Conv_125,2191.9045
Relu_126,115.1233
Conv_127,988.6604
Add_128,685.489
Relu_129,449.242
Conv_130,1019.1856
Relu_131,115.06530000000001
Conv_132,2164.7288
Relu_133,114.995
Conv_134,1000.9031
Add_135,683.7824
Relu_136,452.8399
Conv_137,1019.314
