node,latency
Conv_1,137.5288
Relu_2,137.5153
Conv_3,413.6872
Relu_4,139.36610000000002
Conv_5,677.1326
Relu_6,275.7409
MaxPool_7,167.0401
Conv_8,82.3899
Relu_9,71.2644
Conv_10,276.1191
Relu_11,71.069
Conv_12,209.2396
Conv_13,209.0465
Add_14,396.1115
Relu_15,275.7217
Conv_16,203.61229999999998
Relu_17,71.3047
Conv_18,277.839
Relu_19,71.233
Conv_20,206.04760000000002
Add_21,396.1781
Relu_22,275.83590000000004
Conv_23,206.19039999999998
Relu_24,71.249
Conv_25,282.1176
Relu_26,70.9651
Conv_27,207.4795
Add_28,396.08459999999997
Relu_29,275.87420000000003
Conv_30,352.1346
Relu_31,139.6554
Conv_32,416.3755
Relu_33,36.7959
Conv_34,185.0036
Conv_35,353.5548
Add_36,198.8622
Relu_37,139.4838
Conv_38,192.5155
Relu_39,36.7393
Conv_40,251.6277
Relu_41,36.7264
Conv_42,181.2585
Add_43,199.86860000000001
Relu_44,139.2382
Conv_45,192.40429999999998
Relu_46,36.687599999999996
Conv_47,251.9222
Relu_48,36.7229
Conv_49,181.69989999999999
Add_50,198.8762
Relu_51,139.5203
Conv_52,202.23270000000002
Relu_53,36.782599999999995
Conv_54,250.8677
Relu_55,36.8566
Conv_56,183.3222
Add_57,199.4185
Relu_58,139.3268
Conv_59,369.3277
Relu_60,71.215
Conv_61,893.8654
Relu_62,70.91369999999999
Conv_63,666.5688
Conv_64,1247.3715
Add_65,394.4675
Relu_66,276.7285
Conv_67,720.2183
Relu_68,71.1754
Conv_69,1599.9189
Relu_70,70.8336
Conv_71,654.9418000000001
Add_72,394.4333
Relu_73,275.1733
Conv_74,716.6933
Relu_75,70.97919999999999
Conv_76,1645.4122
Relu_77,70.9452
Conv_78,659.8157
Add_79,394.4156
Relu_80,275.6413
Conv_81,706.1539
Relu_82,71.0809
Conv_83,1657.9124
Relu_84,70.906
Conv_85,652.6757
Add_86,394.65259999999995
Relu_87,275.6587
Conv_88,704.9955
Relu_89,70.8235
Conv_90,1636.2752
Relu_91,71.2705
Conv_92,657.4278
Add_93,394.82840000000004
Relu_94,275.3829
Conv_95,711.1896999999999
Relu_96,71.8847
Conv_97,1579.4002
Relu_98,71.3159
Conv_99,651.3634000000001
Add_100,394.6487
Relu_101,276.059
Conv_102,710.6078
Relu_103,71.27539999999999
Conv_104,1591.1291
Relu_105,71.1462
Conv_106,659.4306
Add_107,394.6551
Relu_108,276.2013
Conv_109,712.6094
Relu_110,71.1857
Conv_111,1644.0935
Relu_112,72.3906
Conv_113,657.1850999999999
Add_114,394.9314
Relu_115,275.5942
Conv_116,711.975
Relu_117,71.413
Conv_118,1636.7933
Relu_119,71.2168
Conv_120,655.3761
Add_121,395.576
Relu_122,275.348
Conv_123,709.295
Relu_124,71.2374
Conv_125,1557.4715
Relu_126,71.53439999999999
Conv_127,652.2017
Add_128,394.5313
Relu_129,275.5492
Conv_130,713.3977
Relu_131,71.30160000000001
Conv_132,1514.814
Relu_133,71.2753
Conv_134,653.2334000000001
Add_135,395.49159999999995
Relu_136,275.5797
Conv_137,714.9979000000001
Relu_138,71.2522
Conv_139,1604.0271
Relu_140,71.2837
Conv_141,656.5678
Add_142,394.7352
Relu_143,275.75309999999996
Conv_144,710.1120999999999
Relu_145,71.1224
Conv_146,1611.4187
Relu_147,71.2536
Conv_148,656.1619000000001
Add_149,394.65590000000003
Relu_150,275.66240000000005
Conv_151,712.2266
Relu_152,71.38539999999999
Conv_153,1565.7176000000002
Relu_154,71.20389999999999
Conv_155,652.7863000000001
Add_156,394.785
Relu_157,275.6456
Conv_158,712.0339
Relu_159,71.29469999999999
Conv_160,1607.6026000000002
Relu_161,71.3813
Conv_162,653.5631999999999
Add_163,395.1204
Relu_164,275.4848
Conv_165,711.151
Relu_166,71.47489999999999
Conv_167,1660.3943000000002
Relu_168,71.174
Conv_169,654.6676
Add_170,394.6783
Relu_171,275.338
Conv_172,711.3342
Relu_173,71.3232
Conv_174,1513.7939
Relu_175,71.3293
Conv_176,657.2994
Add_177,394.73659999999995
Relu_178,275.21790000000004
Conv_179,711.0309
Relu_180,71.2598
Conv_181,1514.2568999999999
Relu_182,71.266
Conv_183,653.1232
Add_184,395.27840000000003
Relu_185,275.5055
Conv_186,711.0517
Relu_187,71.22160000000001
Conv_188,1622.3
Relu_189,72.29039999999999
Conv_190,654.7515999999999
Add_191,394.5965
Relu_192,275.3436
Conv_193,711.2946999999999
Relu_194,71.3329
Conv_195,1665.9973
Relu_196,71.3883
Conv_197,654.2622
Add_198,394.5398
Relu_199,275.2851
Conv_200,717.7124
Relu_201,71.47489999999999
Conv_202,1581.2057
Relu_203,73.0992
Conv_204,650.7976
Add_205,395.0094
Relu_206,275.2674
Conv_207,705.4254
Relu_208,71.2815
Conv_209,1639.3571000000002
Relu_210,71.4782
Conv_211,656.0825
Add_212,394.603
Relu_213,275.89140000000003
Conv_214,711.3983000000001
Relu_215,71.2133
Conv_216,1528.0626000000002
Relu_217,71.29639999999999
Conv_218,650.0144
Add_219,395.4945
Relu_220,275.345
Conv_221,1318.0176999999999
Relu_222,139.344
Conv_223,8390.4318
Relu_224,139.3971
Conv_225,2732.5472999999997
Conv_226,8041.7523
Add_227,774.7355
Relu_228,553.0155
Conv_229,2609.3392999999996
Relu_230,139.2078
Conv_231,8553.6117
Relu_232,139.21120000000002
Conv_233,2520.3007000000002
Add_234,774.4327
Relu_235,548.9322
Conv_236,2846.5791
Relu_237,139.2175
Conv_238,8496.3866
Relu_239,139.7076
Conv_240,2770.2431
Add_241,775.0753000000001
Relu_242,548.9675
GlobalAveragePool_243,280.9611
Conv_244,2807.0537999999997
Relu_245,139.32770000000002
Conv_246,16.453
Relu_247,6.9221
Shape_248,7.2156
Gather_250,10.0695
Unsqueeze_251,7.8957
Concat_252,15.092600000000001
Reshape_253,8.225
Transpose_254,8.3489
GlobalAveragePool_255,76.9243
Conv_256,8.3292
Relu_257,6.646100000000001
Shape_258,8.4666
Gather_259,8.958
Shape_260,7.7486999999999995
Slice_263,7.7614
Cast_264,7.6785
Concat_265,11.1277
Resize_267,79.52680000000001
Add_268,198.1684
Conv_269,69.7155
Transpose_270,7.4322
Concat_271,15.6919
Reshape_272,7.7938
Sigmoid_273,6.571
MatMul_274,92.0081
Transpose_275,154.7865
Gather_277,8.838299999999998
Gather_279,8.8066
Unsqueeze_280,8.883700000000001
Unsqueeze_281,8.8472
Concat_282,18.6278
Reshape_283,141.05
Conv_284,665.7954
Relu_285,139.4302
Add_286,199.5373
Relu_287,139.5238
Conv_288,649.9804
Relu_289,139.3932
AveragePool_290,285.4092
Conv_291,2747.5658
Relu_292,139.41770000000002
Conv_293,36.5309
Relu_294,6.9772
Shape_295,7.0275
Gather_296,8.524
Unsqueeze_297,7.4113999999999995
Concat_298,14.7639
Reshape_299,7.5054
Transpose_300,8.333
GlobalAveragePool_301,80.464
Conv_302,8.2025
Relu_303,6.9647
Shape_304,7.2038
Gather_305,8.5099
Shape_306,7.6994
Slice_307,7.9867
Cast_308,9.9342
Concat_309,11.0024
Resize_310,116.3915
Add_311,197.17520000000002
Conv_312,72.3648
Transpose_313,7.9872
Concat_314,13.746799999999999
Reshape_315,9.0765
Sigmoid_316,7.9561
MatMul_317,78.1901
Transpose_318,154.7813
Gather_319,7.7268
Gather_320,9.374
Unsqueeze_321,13.0172
Unsqueeze_322,7.7141
Concat_323,22.674
Reshape_324,140.9959
Conv_325,640.1176999999999
Relu_326,139.4179
Add_327,199.2773
Relu_328,139.1264
Conv_329,643.2627
Relu_330,139.204
AveragePool_331,271.0485
Conv_332,2864.9107999999997
