node,latency
Conv_1,45.6151
Relu_2,44.4826
Conv_3,117.161
Relu_4,44.3155
Conv_5,226.26510000000002
Relu_6,84.64110000000001
MaxPool_7,58.5844
Conv_8,36.6749
Relu_9,23.5894
Conv_10,105.46719999999999
Relu_11,23.6787
Conv_12,94.86810000000001
Conv_13,94.07560000000001
Add_14,125.3989
Relu_15,84.48010000000001
Conv_16,101.70939999999999
Relu_17,23.6415
Conv_18,105.0485
Relu_19,24.268900000000002
Conv_20,93.99860000000001
Add_21,125.52369999999999
Relu_22,85.13510000000001
Conv_23,101.8517
Relu_24,23.6949
Conv_25,104.6721
Relu_26,23.5983
Conv_27,93.4428
Add_28,126.5582
Relu_29,85.59519999999999
Conv_30,167.9172
Relu_31,44.2895
Conv_32,209.2426
Relu_33,11.919
Conv_34,91.62710000000001
Conv_35,167.5304
Add_36,64.992
Relu_37,44.4749
Conv_38,97.059
Relu_39,12.0725
Conv_40,109.6034
Relu_41,12.0163
Conv_42,91.50019999999999
Add_43,65.1339
Relu_44,44.2245
Conv_45,97.1292
Relu_46,12.0957
Conv_47,109.416
Relu_48,12.2839
Conv_49,92.7861
Add_50,64.9666
Relu_51,44.1368
Conv_52,97.17139999999999
Relu_53,12.5822
Conv_54,109.0769
Relu_55,12.6005
Conv_56,93.358
Add_57,64.6357
Relu_58,44.2888
Conv_59,185.1517
Relu_60,23.6292
Conv_61,355.1377
Relu_62,23.511200000000002
Conv_63,312.8216
Conv_64,684.9736
Add_65,125.85589999999999
Relu_66,84.80489999999999
Conv_67,356.5584
Relu_68,23.7242
Conv_69,806.7611999999999
Relu_70,23.7093
Conv_71,307.0795
Add_72,125.9285
Relu_73,84.8699
Conv_74,356.08009999999996
Relu_75,23.6862
Conv_76,750.6075999999999
Relu_77,23.887400000000003
Conv_78,313.97229999999996
Add_79,125.9532
Relu_80,84.603
Conv_81,355.92740000000003
Relu_82,24.001
Conv_83,767.8983000000001
Relu_84,23.8045
Conv_85,312.437
Add_86,125.72210000000001
Relu_87,84.7483
Conv_88,356.05879999999996
Relu_89,23.801599999999997
Conv_90,759.3562
Relu_91,23.776400000000002
Conv_92,304.2153
Add_93,125.6863
Relu_94,84.79660000000001
Conv_95,357.30240000000003
Relu_96,23.7484
Conv_97,758.2337
Relu_98,24.303099999999997
Conv_99,310.25559999999996
Add_100,127.2196
Relu_101,84.67580000000001
Conv_102,356.7867
Relu_103,24.0047
Conv_104,754.111
Relu_105,23.895599999999998
Conv_106,319.208
Add_107,125.93310000000001
Relu_108,84.9252
Conv_109,357.2586
Relu_110,23.639599999999998
Conv_111,767.4618
Relu_112,23.8573
Conv_113,311.5186
Add_114,125.2705
Relu_115,84.71239999999999
Conv_116,356.1224
Relu_117,23.6848
