node,latency
Conv_2,746.4014
Relu_3,889.1163
MaxPool_4,514.0091
Conv_5,134.42929999999998
Relu_6,145.6489
Conv_7,366.5224
Relu_8,146.51520000000002
Conv_9,542.9754
Conv_10,543.8747
Add_11,1281.1418999999999
Relu_12,887.4816999999999
Conv_13,515.3733
Relu_14,146.3254
Conv_15,365.1782
Relu_16,146.1885
Conv_17,542.0508000000001
Add_18,1282.7053999999998
Relu_19,897.9082
Conv_20,515.7301
Relu_21,145.388
Conv_22,366.0548
Relu_23,146.72639999999998
Conv_24,543.8909
Add_25,1282.3448999999998
Relu_26,891.3056
Conv_27,634.8153000000001
Relu_28,448.2427
Conv_29,607.765
Relu_30,15.395
Conv_31,275.0373
Conv_32,453.6592
Add_33,645.4925
Relu_34,447.9658
Conv_35,268.258
Relu_36,15.354700000000001
Conv_37,344.39340000000004
Relu_38,15.3133
Conv_39,273.96009999999995
Add_40,652.976
Relu_41,451.1014
Conv_42,283.3048
Relu_43,15.3785
Conv_44,344.7332
Relu_45,15.620899999999999
Conv_46,273.9372
Add_47,653.9361
Relu_48,449.3098
Conv_49,283.6464
Relu_50,15.303799999999999
Conv_51,344.94840000000005
Relu_52,15.5492
Conv_53,273.35020000000003
Add_54,645.5772
Relu_55,449.70959999999997
Conv_56,318.9574
Relu_57,141.3551
Conv_58,398.2397
Relu_59,9.1789
Conv_60,134.2681
Conv_61,310.5972
Add_62,321.18170000000003
Relu_63,143.58620000000002
Conv_64,132.2802
Relu_65,9.0866
Conv_66,206.5397
Relu_67,9.578100000000001
Conv_68,133.6627
Add_69,320.1292
Relu_70,141.1589
Conv_71,132.8749
Relu_72,9.0395
Conv_73,210.1029
Relu_74,9.7105
Conv_75,133.0625
Add_76,322.80609999999996
Relu_77,138.2621
Conv_78,131.8835
Relu_79,9.2797
Conv_80,197.19910000000002
Relu_81,9.1722
Conv_82,134.92770000000002
Add_83,326.2403
Relu_84,142.2705
Conv_85,134.628
Relu_86,9.3401
Conv_87,206.2745
Relu_88,9.205200000000001
Conv_89,134.3684
Add_90,324.33259999999996
Relu_91,138.608
Conv_92,133.2089
Relu_93,9.2968
Conv_94,206.0351
Relu_95,9.1621
Conv_96,134.0747
Add_97,322.6399
Relu_98,139.7488
Conv_99,131.1554
Relu_100,10.4677
Conv_101,205.9105
Relu_102,9.0967
Conv_103,133.9153
Add_104,323.80609999999996
Relu_105,141.75279999999998
Conv_106,134.116
Relu_107,9.1774
Conv_108,208.2604
Relu_109,8.9765
Conv_110,133.561
Add_111,324.2115
Relu_112,137.5265
Conv_113,134.50039999999998
Relu_114,9.298399999999999
Conv_115,207.94979999999998
Relu_116,9.1547
Conv_117,133.6623
Add_118,324.645
Relu_119,137.0479
Conv_120,133.4375
Relu_121,9.1891
Conv_122,208.198
Relu_123,9.1303
Conv_124,134.2643
Add_125,322.5053
Relu_126,140.49960000000002
