node,latency
Conv_2,2118.9712000000004
Relu_3,1395.3495
MaxPool_4,946.2731
Conv_5,385.9838
Relu_6,352.6276
Conv_7,997.5131
Relu_8,351.7085
Conv_9,1143.2876999999999
Conv_10,1147.4171000000001
Add_11,2129.6605
Relu_12,1395.5597
Conv_13,985.1533000000001
Relu_14,351.5837
Conv_15,1001.7306
Relu_16,351.8399
Conv_17,1147.1056999999998
Add_18,2130.8086000000003
Relu_19,1395.4398999999999
Conv_20,968.7393000000001
Relu_21,351.4575
Conv_22,1002.649
Relu_23,352.52070000000003
Conv_24,1147.2192
Add_25,2131.2951000000003
Relu_26,1396.1487
Conv_27,1534.0283
Relu_28,702.9037
Conv_29,1530.5127
Relu_30,177.4803
Conv_31,848.7337
Conv_32,1525.4522
Add_33,1067.4845
Relu_34,699.1065
Conv_35,735.463
Relu_36,177.4184
Conv_37,850.2576
Relu_38,178.0877
Conv_39,847.3086999999999
Add_40,1067.5958
Relu_41,699.2808
Conv_42,735.3538000000001
Relu_43,178.156
Conv_44,846.8910999999999
Relu_45,177.4528
Conv_46,850.3965999999999
Add_47,1067.0881000000002
Relu_48,699.2744
Conv_49,735.5156
Relu_50,177.515
Conv_51,846.8701
Relu_52,178.3356
Conv_53,847.2299
Add_54,1067.718
Relu_55,699.5053
Conv_56,1447.2874
Relu_57,351.604
Conv_58,1717.5121000000001
Relu_59,90.65939999999999
Conv_60,780.3029
Conv_61,1472.2178000000001
Add_62,533.6485
Relu_63,351.6972
Conv_64,767.053
Relu_65,91.13119999999999
Conv_66,955.8127
Relu_67,90.6335
Conv_68,783.1288000000001
Add_69,533.6221999999999
Relu_70,351.47740000000005
Conv_71,766.4236999999999
Relu_72,90.749
Conv_73,957.7633000000001
Relu_74,90.6995
Conv_75,781.347
Add_76,533.4726999999999
Relu_77,352.0735
Conv_78,827.2117
Relu_79,90.6505
Conv_80,959.1718000000001
Relu_81,90.8071
Conv_82,780.6928
Add_83,533.7810999999999
Relu_84,352.4912
Conv_85,767.254
Relu_86,90.6768
Conv_87,964.5791999999999
Relu_88,90.5799
Conv_89,779.7715999999999
Add_90,533.4939
Relu_91,351.6361
Conv_92,760.4509
Relu_93,90.5828
Conv_94,955.3488000000001
Relu_95,90.62989999999999
Conv_96,776.0793000000001
Add_97,537.6465
Relu_98,351.58570000000003
Conv_99,766.1048000000001
Relu_100,90.6502
Conv_101,965.901
Relu_102,90.5955
Conv_103,787.4908
Add_104,533.5208
Relu_105,351.633
Conv_106,765.1957
Relu_107,90.5144
Conv_108,965.0571
Relu_109,90.5445
Conv_110,784.2257
Add_111,533.4136
Relu_112,351.438
Conv_113,767.9395
Relu_114,90.64089999999999
Conv_115,962.3898
Relu_116,90.7358
Conv_117,779.7931
Add_118,533.4384
Relu_119,351.676
Conv_120,767.4705
Relu_121,90.6522
Conv_122,952.9373
Relu_123,90.5758
Conv_124,777.8571
Add_125,533.4984000000001
Relu_126,351.48179999999996
Conv_127,766.7289000000001
Relu_128,90.5511
Conv_129,950.9412
Relu_130,90.6483
Conv_131,780.538
Add_132,533.6057
Relu_133,351.64340000000004
Conv_134,767.1396
Relu_135,90.57889999999999
Conv_136,958.518
Relu_137,90.56139999999999
Conv_138,781.2989
Add_139,533.2728000000001
Relu_140,351.6995
Conv_141,785.2161
Relu_142,90.4826
Conv_143,965.7965
Relu_144,90.5302
Conv_145,779.2827
Add_146,533.2665
Relu_147,351.5788
Conv_148,768.179
Relu_149,90.8862
Conv_150,962.871
Relu_151,90.5392
Conv_152,781.5235
Add_153,533.2635
Relu_154,351.5855
Conv_155,817.2788
Relu_156,90.4667
Conv_157,968.275
Relu_158,90.55930000000001
Conv_159,778.436
Add_160,533.6826
Relu_161,351.641
Conv_162,768.808
Relu_163,92.1127
Conv_164,952.3731
Relu_165,90.58810000000001
Conv_166,779.3294000000001
Add_167,533.8018000000001
Relu_168,351.6129
Conv_169,767.93
Relu_170,90.4752
Conv_171,947.4719
Relu_172,90.4608
Conv_173,784.7461999999999
Add_174,533.6705
Relu_175,351.81140000000005
Conv_176,767.8530999999999
Relu_177,90.466
Conv_178,950.427
Relu_179,90.5398
Conv_180,783.2874
Add_181,533.3833000000001
Relu_182,351.5135
Conv_183,767.723
Relu_184,91.01010000000001
Conv_185,944.183
Relu_186,90.3341
Conv_187,780.0649000000001
Add_188,533.5188
Relu_189,351.68609999999995
Conv_190,768.4708
Relu_191,90.59710000000001
Conv_192,952.7008000000001
Relu_193,90.5723
Conv_194,791.6467
Add_195,536.5206999999999
Relu_196,351.5073
Conv_197,764.9579
Relu_198,90.5835
Conv_199,951.045
Relu_200,90.7229
Conv_201,782.6437
Add_202,533.3309
Relu_203,352.102
Conv_204,764.8423
Relu_205,90.6986
Conv_206,947.1994
Relu_207,90.5878
Conv_208,774.6724
Add_209,533.7635
Relu_210,352.48179999999996
Conv_211,764.2672
Relu_212,90.5216
Conv_213,945.2001
Relu_214,90.52669999999999
Conv_215,778.2544
Add_216,533.2822
Relu_217,352.0612
Conv_218,1365.4428
Relu_219,177.5879
Conv_220,1905.0538000000001
Relu_221,47.1211
Conv_222,774.7846999999999
Conv_223,1555.7451999999998
Add_224,269.08279999999996
Relu_225,177.52179999999998
Conv_226,838.6141
Relu_227,47.2864
Conv_228,1582.671
Relu_229,47.1959
Conv_230,778.8827
Add_231,268.8947
Relu_232,177.56470000000002
Conv_233,842.0425
Relu_234,47.742599999999996
Conv_235,1595.7527
Relu_236,47.227199999999996
Conv_237,775.7299
Add_238,268.4588
Relu_239,177.7498
Conv_240,1452.2615
Conv_241,772.5379
Conv_242,420.2738
Shape_243,6.245
Gather_244,8.5339
Shape_245,6.2553
Slice_248,7.8062
Cast_249,7.7206
Concat_250,9.9294
Resize_252,59.099199999999996
Add_253,136.02779999999998
Shape_254,7.1337
