node,latency
Conv_2,1241.8352
Relu_3,855.6256
MaxPool_4,523.8444000000001
Conv_5,240.81429999999997
Relu_6,216.37320000000003
Conv_7,879.1687
Relu_8,216.24620000000002
Conv_9,629.9436
Conv_10,627.3799
Add_11,1228.7177
Relu_12,855.3961999999999
Conv_13,564.9851
Relu_14,215.87429999999998
Conv_15,871.9685999999999
Relu_16,215.9503
Conv_17,632.3734000000001
Add_18,1229.006
Relu_19,855.2258
Conv_20,566.8473
Relu_21,215.82629999999997
Conv_22,869.9293
Relu_23,216.21079999999998
Conv_24,629.9222
Add_25,1230.2016
Relu_26,856.8682
Conv_27,976.6749
Relu_28,428.9592
Conv_29,1033.9886
Relu_30,109.6391
Conv_31,538.9095
Conv_32,997.442
Add_33,616.2665
Relu_34,429.6787
Conv_35,470.8633
Relu_36,109.5698
Conv_37,775.9509
Relu_38,110.10430000000001
Conv_39,540.7989
Add_40,615.4697
Relu_41,428.94620000000003
Conv_42,473.4566
Relu_43,109.7742
Conv_44,743.6931
Relu_45,109.7463
Conv_46,538.3594
Add_47,615.6062
Relu_48,430.9759
Conv_49,482.87390000000005
Relu_50,110.1682
Conv_51,766.256
Relu_52,110.348
Conv_53,540.5581999999999
Add_54,615.7089
Relu_55,430.33140000000003
Conv_56,926.6764000000001
Relu_57,216.0795
Conv_58,1129.6088
Relu_59,56.2737
Conv_60,511.82390000000004
Conv_61,962.4961999999999
Add_62,308.95090000000005
Relu_63,216.61829999999998
Conv_64,520.1933
Relu_65,56.165800000000004
Conv_66,815.9621
Relu_67,56.249199999999995
Conv_68,510.1474
Add_69,309.21479999999997
Relu_70,215.7545
Conv_71,523.805
Relu_72,56.28
Conv_73,840.1543
Relu_74,56.181
Conv_75,511.4337
Add_76,308.8414
Relu_77,216.1492
Conv_78,523.4238
Relu_79,56.3455
Conv_80,804.3908
Relu_81,56.286300000000004
Conv_82,511.869
Add_83,308.9669
Relu_84,216.3922
Conv_85,527.0973
Relu_86,56.3856
Conv_87,832.7746
Relu_88,56.412699999999994
Conv_89,516.5036
Add_90,310.399
Relu_91,215.7961
Conv_92,528.3829000000001
Relu_93,56.177099999999996
Conv_94,834.6839
Relu_95,56.313900000000004
Conv_96,513.8428
Add_97,309.25809999999996
Relu_98,216.03979999999999
Conv_99,527.0425
Relu_100,58.519400000000005
Conv_101,831.6392
Relu_102,56.2445
Conv_103,514.3327
Add_104,309.3196
Relu_105,215.7873
Conv_106,533.3329
Relu_107,56.1439
Conv_108,825.1527
Relu_109,57.2368
Conv_110,512.8427
Add_111,309.0987
Relu_112,215.668
Conv_113,537.6988
Relu_114,56.4238
Conv_115,852.5591999999999
Relu_116,56.238
Conv_117,512.6588
Add_118,308.9335
Relu_119,215.81320000000002
Conv_120,530.5593
Relu_121,56.3255
Conv_122,842.5947
Relu_123,56.1454
Conv_124,515.7451
Add_125,309.09409999999997
Relu_126,215.7781
Conv_127,535.1691
Relu_128,56.392
Conv_129,818.4259000000001
Relu_130,56.2973
Conv_131,516.8852
Add_132,309.17909999999995
Relu_133,216.563
Conv_134,541.8211
Relu_135,56.1714
Conv_136,859.2646
Relu_137,56.0252
Conv_138,527.0255999999999
Add_139,309.8811
Relu_140,215.7237
Conv_141,538.3538000000001
Relu_142,56.1971
Conv_143,836.0533
Relu_144,56.450199999999995
Conv_145,518.1173
Add_146,309.76090000000005
Relu_147,215.6473
Conv_148,531.6934
Relu_149,56.1359
Conv_150,832.3297
Relu_151,56.2705
Conv_152,516.6018
Add_153,310.1178
Relu_154,215.9265
Conv_155,539.4474
Relu_156,56.0984
Conv_157,829.9282
Relu_158,56.232699999999994
Conv_159,517.1729
Add_160,309.70570000000004
Relu_161,216.6769
Conv_162,530.9956
Relu_163,56.3971
Conv_164,835.2074
Relu_165,56.0968
Conv_166,523.0542
Add_167,309.9144
Relu_168,216.0563
Conv_169,533.9325
Relu_170,56.2318
Conv_171,851.0753000000001
Relu_172,56.133900000000004
Conv_173,519.0495
Add_174,310.13779999999997
Relu_175,215.58520000000001
Conv_176,539.2506999999999
Relu_177,56.6828
Conv_178,840.3247
Relu_179,56.226800000000004
Conv_180,519.49
Add_181,309.708
Relu_182,215.7225
Conv_183,533.8825
Relu_184,56.2909
Conv_185,830.7801
Relu_186,56.2461
Conv_187,520.5858
Add_188,310.3571
Relu_189,215.7825
Conv_190,527.1805
Relu_191,56.1589
Conv_192,840.0131
Relu_193,56.220099999999995
Conv_194,527.1572
Add_195,309.7409
Relu_196,215.803
Conv_197,528.9497
Relu_198,56.0949
Conv_199,840.8965999999999
Relu_200,56.1761
Conv_201,517.8617
Add_202,309.5654
Relu_203,215.6805
Conv_204,537.2581
Relu_205,55.896800000000006
Conv_206,834.8923000000001
Relu_207,55.929
Conv_208,519.4675
Add_209,309.72679999999997
Relu_210,215.6178
Conv_211,528.7384000000001
Relu_212,56.032300000000006
Conv_213,853.2069
Relu_214,56.0653
Conv_215,514.3045999999999
Add_216,309.7844
Relu_217,215.536
Conv_218,945.9295999999999
Relu_219,109.51339999999999
Conv_220,1300.2133000000001
Relu_221,29.1311
Conv_222,552.5812
Conv_223,1134.0781000000002
Add_224,156.3561
Relu_225,110.6272
Conv_226,619.2905
Relu_227,29.1606
Conv_228,1274.172
Relu_229,28.754
Conv_230,558.5321
Add_231,156.3409
Relu_232,109.3269
Conv_233,628.7866
Relu_234,29.1848
Conv_235,1271.4916
Relu_236,29.364900000000002
Conv_237,560.3204000000001
Add_238,156.3407
Relu_239,109.46560000000001
Conv_240,941.8416
Conv_241,526.0047
Conv_242,353.4106
Shape_243,6.873399999999999
Gather_244,9.6549
Shape_245,8.9295
Slice_248,8.2424
Cast_249,7.6552
Concat_250,11.5914
Resize_252,51.9099
Add_253,79.4607
Shape_254,8.2622
Gather_255,8.697799999999999
Shape_256,6.5465
Slice_257,8.026399999999999
Cast_258,7.880199999999999
Concat_259,15.8986
Resize_260,195.597
Add_261,307.1645
Conv_262,3936.0712000000003
Conv_263,830.748
Conv_264,329.9507
Conv_265,130.4554
Conv_266,107.3828
Conv_267,4030.1415
Reshape_269,219.136
TRTInstanceNormalization_272,276.3035
Shape_273,7.0622
Reshape_274,219.3629
Mul_275,226.3003
Add_276,226.4129
Relu_277,217.4061
Conv_278,3929.7248999999997
Reshape_279,218.1117
TRTInstanceNormalization_280,280.9097
Shape_281,6.759
Reshape_282,218.0958
Mul_283,226.2861
Add_284,226.498
Relu_285,215.649
Conv_286,4074.0908999999997
Reshape_287,217.85229999999999
TRTInstanceNormalization_288,284.01
Shape_289,7.473
Reshape_290,222.2311
Mul_291,225.78220000000002
Add_292,226.3247
Relu_293,215.59789999999998
Conv_294,3973.7817
Reshape_295,217.9482
TRTInstanceNormalization_296,279.46509999999995
Shape_297,6.537
Reshape_298,218.2866
Mul_299,226.6645
Add_300,226.4195
Relu_301,215.7398
Conv_302,4251.4595
Reshape_303,217.8046
TRTInstanceNormalization_304,279.08029999999997
Shape_305,7.418399999999999
Reshape_306,218.65779999999998
Mul_307,225.8776
Add_308,226.19729999999998
Relu_309,215.63770000000002
Conv_310,4005.1275
Reshape_311,217.8794
TRTInstanceNormalization_312,281.3055
Shape_313,11.2347
Reshape_314,219.5119
Mul_315,226.5251
Add_316,226.399
Relu_317,215.6863
Conv_318,3995.925
Reshape_319,218.2297
TRTInstanceNormalization_320,281.0212
Shape_321,7.6523
Reshape_322,217.895
Mul_323,225.9405
Add_324,226.27439999999999
Relu_325,215.6774
Conv_326,3852.7546
Reshape_327,218.5711
TRTInstanceNormalization_328,284.1764
Shape_329,6.4634
Reshape_330,218.3483
Mul_331,225.59789999999998
Add_332,225.6771
Relu_333,216.8399
Conv_334,1104.3201000000001
Conv_335,379.4334
Mul_336,6.840199999999999
Cast_337,7.0866999999999996
Conv_338,362.992
Conv_339,861.0278000000001
Reshape_340,57.0533
TRTInstanceNormalization_341,96.3645
Shape_342,7.0262
Reshape_343,57.0434
Mul_344,59.821400000000004
Add_345,59.631099999999996
Relu_346,56.0058
Conv_347,853.0675
Reshape_348,57.729
TRTInstanceNormalization_349,97.1005
Shape_350,7.0214
Reshape_351,57.0718
Mul_352,59.6989
Add_353,59.6485
Relu_354,55.992599999999996
Conv_355,821.9166
Reshape_356,57.1045
TRTInstanceNormalization_357,98.42
Shape_358,6.9295
Reshape_359,57.209199999999996
Mul_360,59.499
Add_361,59.688199999999995
Relu_362,55.949400000000004
Conv_363,831.6152
Reshape_364,57.0245
TRTInstanceNormalization_365,98.80260000000001
Shape_366,7.7154
Reshape_367,57.0421
Mul_368,59.875699999999995
Add_369,59.5161
Relu_370,56.2323
Conv_371,837.6758000000001
Reshape_372,58.761300000000006
TRTInstanceNormalization_373,96.71839999999999
Shape_374,7.0486
Reshape_375,57.0494
Mul_376,59.519
Add_377,59.496900000000004
Relu_378,56.0781
Conv_379,835.7396
Reshape_380,58.7693
TRTInstanceNormalization_381,97.283
Shape_382,7.8202
Reshape_383,57.2126
Mul_384,59.6772
Add_385,59.5426
Relu_386,57.0178
Conv_387,828.8279
Reshape_388,57.087300000000006
TRTInstanceNormalization_389,96.4602
Shape_390,6.661899999999999
Reshape_391,56.9566
Mul_392,60.3822
Add_393,59.6515
Relu_394,56.151199999999996
Conv_395,854.9055999999999
Reshape_396,57.191199999999995
TRTInstanceNormalization_397,98.0497
Shape_398,7.533600000000001
Reshape_399,57.073
Mul_400,59.6736
Add_401,59.663
Relu_402,56.0268
Conv_403,337.4115
Conv_404,141.2517
Mul_405,6.6027
Cast_406,6.8759
Conv_407,138.3367
Conv_408,331.6298
Reshape_409,7.9615
TRTInstanceNormalization_410,36.078900000000004
Shape_411,7.7483
Reshape_412,8.530100000000001
Mul_413,8.257200000000001
Add_414,8.0579
Relu_415,6.6422
Conv_416,327.4328
Reshape_417,7.9929
TRTInstanceNormalization_418,38.260400000000004
Shape_419,7.0386999999999995
Reshape_420,15.4889
Mul_421,7.4061
Add_422,7.228800000000001
Relu_423,6.7092
Conv_424,328.0047
Reshape_425,7.6435
TRTInstanceNormalization_426,36.1481
Shape_427,7.1879
Reshape_428,8.430299999999999
Mul_429,8.0697
Add_430,9.0784
Relu_431,7.2537
Conv_432,329.23179999999996
Reshape_433,7.6761
TRTInstanceNormalization_434,37.5763
Shape_435,6.9144
Reshape_436,10.6405
Mul_437,7.687600000000001
Add_438,7.574
Relu_439,8.272200000000002
Conv_440,330.1528
Reshape_441,7.449
TRTInstanceNormalization_442,34.6678
Shape_443,6.6867
Reshape_444,9.5699
Mul_445,8.8323
Add_446,7.2113000000000005
Relu_447,6.6578
Conv_448,327.2407
Reshape_449,8.448799999999999
TRTInstanceNormalization_450,39.456199999999995
Shape_451,8.4542
Reshape_452,9.7585
Mul_453,8.6607
Add_454,7.4648
Relu_455,10.9575
Conv_456,328.9
Reshape_457,7.7098
TRTInstanceNormalization_458,36.396800000000006
Shape_459,8.277
Reshape_460,8.2925
Mul_461,7.7255
Add_462,7.3889
Relu_463,6.737100000000001
Conv_464,329.0718
Reshape_465,8.625200000000001
TRTInstanceNormalization_466,36.1396
Shape_467,7.2635
Reshape_468,7.8431999999999995
Mul_469,7.158
Add_470,7.9716000000000005
Relu_471,6.3351999999999995
Conv_472,133.9793
Conv_473,64.15559999999999
Mul_474,6.7889
Cast_475,7.969399999999999
Conv_476,63.991
Conv_477,120.33739999999999
Reshape_478,8.7653
TRTInstanceNormalization_479,34.842
Shape_480,7.9506000000000006
Reshape_481,7.9059
Mul_482,6.8594
Add_483,7.1358999999999995
Relu_484,8.536700000000002
Conv_485,119.92869999999999
Reshape_486,7.6926000000000005
TRTInstanceNormalization_487,40.953900000000004
Shape_488,7.0502
Reshape_489,8.478
Mul_490,7.2488
Add_491,7.2993999999999994
Relu_492,6.0012
Conv_493,119.9056
Reshape_494,7.7294
TRTInstanceNormalization_495,34.560900000000004
Shape_496,7.3529
Reshape_497,9.804799999999998
Mul_498,8.113100000000001
Add_499,7.1958
Relu_500,6.3949
Conv_501,119.8073
Reshape_502,7.9048
TRTInstanceNormalization_503,35.228
Shape_504,6.8203000000000005
Reshape_505,8.4899
Mul_506,7.7604
Add_507,6.9753
Relu_508,6.5661000000000005
Conv_509,120.119
Reshape_510,7.444
TRTInstanceNormalization_511,34.1469
Shape_512,6.7126
Reshape_513,10.9856
Mul_514,6.7421999999999995
Add_515,7.942699999999999
Relu_516,6.4535
Conv_517,119.8622
Reshape_518,7.4366
TRTInstanceNormalization_519,34.4658
Shape_520,7.2403
Reshape_521,7.5042
Mul_522,6.7786
Add_523,7.6202
Relu_524,7.8338
Conv_525,120.92569999999999
Reshape_526,9.082
TRTInstanceNormalization_527,37.552699999999994
Shape_528,7.602399999999999
Reshape_529,7.495
Mul_530,6.548
Add_531,6.805
Relu_532,6.5443
Conv_533,119.863
Reshape_534,9.9163
TRTInstanceNormalization_535,38.203199999999995
Shape_536,7.855600000000001
Reshape_537,10.645100000000001
Mul_538,6.7732
Add_539,7.0825
Relu_540,6.1212
Conv_541,63.988099999999996
Conv_542,56.715199999999996
Mul_543,7.0223
Cast_544,8.3348
Conv_545,56.808699999999995
Conv_546,65.1265
Reshape_547,11.2043
TRTInstanceNormalization_548,36.5964
Shape_549,6.6913
Reshape_550,7.9736
Mul_551,6.9692
Add_552,7.236800000000001
Relu_553,7.0615
Conv_554,65.0659
Reshape_555,7.656899999999999
TRTInstanceNormalization_556,37.5575
Shape_557,7.5013000000000005
Reshape_558,10.510200000000001
