node,latency
Conv_2,585.8659
Relu_3,255.714
MaxPool_4,171.7032
Conv_5,86.2671
Relu_6,66.9098
Conv_7,309.2153
Relu_8,66.78689999999999
Conv_9,264.7993
Conv_10,265.987
Add_11,383.701
Relu_12,255.6209
Conv_13,258.4788
Relu_14,67.1235
Conv_15,309.6246
Relu_16,66.941
Conv_17,264.6207
Add_18,383.4667
Relu_19,256.4057
Conv_20,258.5518
Relu_21,66.9202
Conv_22,310.8945
Relu_23,66.8935
Conv_24,265.1952
Add_25,383.38620000000003
Relu_26,255.55620000000002
Conv_27,475.0225
Relu_28,129.9442
Conv_29,596.7479000000001
Relu_30,35.5002
Conv_31,249.5539
Conv_32,476.6608
Add_33,194.04510000000002
Relu_34,130.028
Conv_35,289.1942
Relu_36,35.5009
Conv_37,285.8076
Relu_38,35.357699999999994
Conv_39,246.74710000000002
Add_40,193.6501
Relu_41,129.8267
Conv_42,289.3032
Relu_43,35.5718
Conv_44,283.3352
Relu_45,35.3823
Conv_46,249.143
Add_47,193.4477
Relu_48,130.1985
Conv_49,289.4112
Relu_50,35.513
Conv_51,287.48629999999997
Relu_52,35.4635
Conv_53,248.85739999999998
Add_54,194.0865
Relu_55,129.8588
Conv_56,513.0608
Relu_57,66.87519999999999
Conv_58,600.6181
Relu_59,19.9023
Conv_60,253.3604
Conv_61,514.2979
Add_62,99.01289999999999
Relu_63,67.4561
Conv_64,269.532
Relu_65,20.128700000000002
Conv_66,304.4201
Relu_67,19.7288
Conv_68,254.361
Add_69,99.1468
Relu_70,66.7861
Conv_71,269.5715
Relu_72,20.1952
Conv_73,304.7091
Relu_74,19.898400000000002
Conv_75,254.7451
Add_76,99.12910000000001
Relu_77,66.79939999999999
Conv_78,269.48690000000005
Relu_79,19.6672
Conv_80,304.799
Relu_81,19.535
Conv_82,253.30679999999998
Add_83,99.60210000000001
Relu_84,66.81
Conv_85,269.239
Relu_86,19.6567
Conv_87,304.6578
Relu_88,19.622400000000003
Conv_89,243.1346
Add_90,99.663
Relu_91,66.9015
Conv_92,269.6271
Relu_93,19.5442
Conv_94,306.40090000000004
Relu_95,19.569200000000002
Conv_96,247.0206
Add_97,99.4434
Relu_98,67.5155
Conv_99,269.4918
Relu_100,19.672099999999997
Conv_101,304.181
Relu_102,19.7692
Conv_103,254.393
Add_104,99.4589
Relu_105,66.8667
Conv_106,269.4015
Relu_107,20.7501
Conv_108,304.5892
Relu_109,19.5095
Conv_110,254.30689999999998
Add_111,99.4668
Relu_112,66.9388
Conv_113,269.49940000000004
Relu_114,19.8113
Conv_115,305.11379999999997
Relu_116,19.5272
Conv_117,254.9504
Add_118,99.5675
Relu_119,66.78880000000001
Conv_120,270.32890000000003
Relu_121,19.5119
Conv_122,305.74190000000004
Relu_123,19.5796
Conv_124,255.097
Add_125,99.6215
Relu_126,66.6959
Conv_127,270.5438
Relu_128,19.7119
Conv_129,306.364
Relu_130,19.545099999999998
Conv_131,252.936
Add_132,99.39710000000001
