node,latency
Conv_1,766.5051
Relu_2,889.1003000000001
MaxPool_3,514.4596
Conv_4,133.70020000000002
Relu_5,145.45510000000002
Conv_6,377.9663
Relu_7,149.002
Conv_8,541.9775999999999
Conv_9,541.0702
Add_10,1278.6825
Relu_11,894.5066999999999
Conv_12,516.184
Relu_13,147.6734
Conv_14,379.8135
Relu_15,146.2783
Conv_16,544.7746999999999
Add_17,1281.5325
Relu_18,892.1940999999999
Conv_19,516.2343
Relu_20,145.5228
Conv_21,377.0214
Relu_22,144.76520000000002
Conv_23,542.6649
Add_24,1281.6087
Relu_25,890.726
Conv_26,266.13509999999997
Relu_27,15.2624
Conv_28,348.5887
Relu_29,14.9984
Conv_30,275.0344
Conv_31,452.4656
Add_32,646.134
Relu_33,450.91540000000003
Conv_34,281.2253
Relu_35,15.4435
Conv_36,347.6753
Relu_37,15.538
Conv_38,273.9635
Add_39,636.5074000000001
Relu_40,449.1991
Conv_41,269.2448
Relu_42,15.263399999999999
Conv_43,345.7098
Relu_44,16.786099999999998
Conv_45,274.72909999999996
Add_46,638.7998
Relu_47,445.5359
Conv_48,279.41540000000003
Relu_49,15.3764
Conv_50,218.031
Relu_51,15.395299999999999
Conv_52,274.0551
Add_53,638.5664
Relu_54,447.8558
Conv_55,76.73039999999999
Relu_56,9.0861
Conv_57,208.46370000000002
Relu_58,9.2229
Conv_59,134.75670000000002
Conv_60,315.3177
Add_61,317.226
Relu_62,138.6265
Conv_63,134.1728
Relu_64,16.4855
Conv_65,209.99470000000002
Relu_66,9.0139
Conv_67,132.3099
Add_68,319.4015
Relu_69,141.1059
Conv_70,134.3139
Relu_71,9.180200000000001
Conv_72,204.9966
Relu_73,9.068100000000001
Conv_74,134.4169
Add_75,319.84340000000003
Relu_76,140.4983
Conv_77,135.2057
Relu_78,8.988100000000001
Conv_79,205.434
Relu_80,9.1729
Conv_81,133.9652
Add_82,322.5584
Relu_83,140.36620000000002
Conv_84,133.5153
Relu_85,8.9761
Conv_86,203.52720000000002
Relu_87,9.0206
Conv_88,134.81289999999998
Add_89,322.13079999999997
Relu_90,143.7219
Conv_91,132.1225
Relu_92,9.351600000000001
Conv_93,203.63320000000002
Relu_94,8.7217
Conv_95,135.4329
Add_96,322.43870000000004
Relu_97,138.9454
Conv_98,72.3549
Relu_99,7.1615
Conv_100,191.86360000000002
Relu_101,7.2808
Conv_102,106.0625
Conv_103,282.82090000000005
Add_104,20.4756
Relu_105,15.4641
Conv_106,99.1035
Relu_107,7.0758
Conv_108,191.26770000000002
Relu_109,7.119800000000001
Conv_110,104.7943
Add_111,20.3513
Relu_112,15.530700000000001
Conv_113,98.3547
Relu_114,6.9485
Conv_115,188.25320000000002
Relu_116,7.0309
Conv_117,105.7556
Add_118,20.189
Relu_119,15.396700000000001
Conv_120,323.63079999999997
Conv_121,136.01870000000002
Conv_122,65.1022
Shape_123,7.209899999999999
Gather_124,9.2582
Shape_125,6.8447
Slice_128,7.5425
Cast_129,7.7053
Concat_130,11.2202
Resize_132,11.258299999999998
Add_133,11.507
Shape_134,7.1591000000000005
Gather_135,9.115
Shape_136,6.8008999999999995
Slice_137,7.6866
Cast_138,7.8293
Concat_139,11.1223
Resize_140,42.032199999999996
Add_141,322.164
Conv_142,955.1879
Conv_143,218.7569
Conv_144,87.6545
Conv_145,72.2411
Relu_146,6.7042
Conv_147,49.8515
Conv_148,953.7225999999999
Reshape_150,147.17
TRTInstanceNormalization_153,157.8799
Shape_154,9.4237
Reshape_155,146.219
Mul_156,143.65470000000002
Add_157,144.2908
Relu_158,142.7495
Conv_159,933.1415
Reshape_160,146.7492
TRTInstanceNormalization_161,160.4254
Shape_162,7.2782
Reshape_163,147.7304
Mul_164,146.0034
Add_165,144.649
Relu_166,141.9857
Conv_167,934.0148
Reshape_168,148.2155
TRTInstanceNormalization_169,154.31539999999998
Shape_170,7.3265
Reshape_171,144.99120000000002
Mul_172,143.37120000000002
Add_173,143.8689
Relu_174,145.558
Conv_175,936.2465
Reshape_176,148.3557
TRTInstanceNormalization_177,156.90779999999998
Shape_178,10.222700000000001
Reshape_179,146.49929999999998
Mul_180,143.70239999999998
Add_181,142.2579
Relu_182,145.8597
Conv_183,617.17
Conv_184,953.9019000000001
Reshape_185,146.4905
TRTInstanceNormalization_186,157.5181
Shape_187,7.2294
Reshape_188,146.7701
Mul_189,143.0153
Add_190,143.4805
Relu_191,145.07029999999997
Conv_192,933.2848
Reshape_193,148.4013
TRTInstanceNormalization_194,155.0649
Shape_195,7.23
Reshape_196,146.7893
Mul_197,143.611
Add_198,144.17589999999998
Relu_199,141.3609
Conv_200,934.8739
Reshape_201,149.1018
TRTInstanceNormalization_202,150.40460000000002
Shape_203,7.2106
Reshape_204,147.1515
Mul_205,146.8755
Add_206,145.08
Relu_207,149.7483
Conv_208,937.2029
Reshape_209,149.3464
TRTInstanceNormalization_210,150.9892
Shape_211,6.7554
Reshape_212,148.1649
Mul_213,144.2523
Add_214,145.5185
