node,latency
Conv_1,2008.0231
Relu_2,1395.1285
MaxPool_3,944.3262
Conv_4,387.1941
Relu_5,351.7622
Conv_6,1003.3495
Relu_7,352.1467
Conv_8,1151.2206
Conv_9,1150.5862
Add_10,2130.0516000000002
Relu_11,1395.648
Conv_12,976.502
Relu_13,351.60740000000004
Conv_14,1002.4088
Relu_15,351.40009999999995
Conv_16,1152.599
Add_17,2131.2701
Relu_18,1395.3417
Conv_19,969.1841999999999
Relu_20,351.627
Conv_21,996.9801
Relu_22,351.76570000000004
Conv_23,1143.2936000000002
Add_24,2130.7045
Relu_25,1395.9563999999998
Conv_26,497.7332
Relu_27,177.48620000000003
Conv_28,843.404
Relu_29,177.834
Conv_30,849.7085
Conv_31,1523.1111
Add_32,1067.291
Relu_33,700.6296
Conv_34,732.9045
Relu_35,177.5026
Conv_36,844.9018000000001
Relu_37,177.5397
Conv_38,846.1885
Add_39,1067.1973
Relu_40,699.8081
Conv_41,732.4924
Relu_42,177.4627
Conv_43,844.1695
Relu_44,177.5257
Conv_45,847.1641999999999
Add_46,1067.1236999999999
Relu_47,699.9084
Conv_48,734.2787
Relu_49,177.4917
Conv_50,843.5788
Relu_51,177.57729999999998
Conv_52,847.5506
Add_53,1067.1653000000001
Relu_54,699.4524
Conv_55,412.10429999999997
Relu_56,90.5932
Conv_57,967.8463
Relu_58,90.71010000000001
Conv_59,778.7606999999999
Conv_60,1466.6278
Add_61,533.4331999999999
Relu_62,351.5763
Conv_63,784.9608000000001
Relu_64,90.4892
Conv_65,955.6812
Relu_66,90.5068
Conv_67,787.3773
Add_68,533.6386
Relu_69,351.7432
Conv_70,759.9978000000001
Relu_71,90.5246
Conv_72,954.2914000000001
Relu_73,90.9734
Conv_74,784.9683
Add_75,533.6343
Relu_76,351.5615
Conv_77,764.7491
Relu_78,90.6118
Conv_79,941.822
Relu_80,90.5288
Conv_81,779.1736
Add_82,533.7011
Relu_83,351.79609999999997
Conv_84,767.0319000000001
Relu_85,90.5787
Conv_86,943.1277
Relu_87,90.6004
Conv_88,779.0014
Add_89,534.7219
Relu_90,351.5297
Conv_91,764.7161
Relu_92,90.5778
Conv_93,946.1471
Relu_94,90.5142
Conv_95,780.7616999999999
Add_96,533.3910999999999
Relu_97,351.5142
Conv_98,426.705
Relu_99,47.6433
Conv_100,1589.6671999999999
Relu_101,47.4501
Conv_102,775.0083000000001
Conv_103,1583.1408000000001
Add_104,269.03909999999996
Relu_105,179.6514
Conv_106,847.6687
Relu_107,47.2317
Conv_108,1590.3962
Relu_109,47.1731
Conv_110,779.6128
Add_111,268.88840000000005
Relu_112,178.8424
Conv_113,828.8953
Relu_114,48.8777
Conv_115,1581.3203
Relu_116,47.2251
Conv_117,772.6885
Add_118,269.55359999999996
Relu_119,178.2488
Conv_120,1443.6792
Conv_121,785.6505999999999
Conv_122,421.882
Shape_123,6.035
Gather_124,8.0207
Shape_125,6.4487
Slice_128,6.3811
Cast_129,6.9312
Concat_130,10.1775
Resize_132,58.792300000000004
Add_133,136.8191
Shape_134,6.5482
Gather_135,8.047
Shape_136,6.4143
Slice_137,6.6707
Cast_138,6.0853
Concat_139,9.565299999999999
Resize_140,227.14479999999998
Add_141,533.2308
Conv_142,3919.5682
Conv_143,945.4153
Conv_144,393.3485
Conv_145,187.2069
Relu_146,6.1646
Conv_147,104.8961
Conv_148,3752.2975
Reshape_150,367.4734
TRTInstanceNormalization_153,472.3018
Shape_154,6.464
Reshape_155,364.0895
Mul_156,358.3458
