node,latency
Conv_1,1260.1223
Relu_2,857.1015
MaxPool_3,522.6677
Conv_4,243.88670000000002
Relu_5,215.8317
Conv_6,885.6235
Relu_7,215.8579
Conv_8,637.1007
Conv_9,635.8878000000001
Add_10,1229.1838
Relu_11,855.7073
Conv_12,573.2387
Relu_13,216.8344
Conv_14,909.5412
Relu_15,215.9938
Conv_16,641.3380999999999
Add_17,1229.7486999999999
Relu_18,856.2721
Conv_19,579.7174
Relu_20,217.65220000000002
Conv_21,907.8601
Relu_22,216.6146
Conv_23,632.6437
Add_24,1229.6683
Relu_25,855.8509
Conv_26,318.30129999999997
Relu_27,109.66969999999999
Conv_28,792.1665
Relu_29,109.306
Conv_30,557.2674000000001
Conv_31,1024.7969
Add_32,615.7848
Relu_33,428.9901
Conv_34,481.7484
Relu_35,109.43660000000001
Conv_36,791.8386999999999
Relu_37,109.61619999999999
Conv_38,549.2074
Add_39,615.2654
Relu_40,428.8894
Conv_41,488.71340000000004
Relu_42,109.1481
Conv_43,762.8824000000001
Relu_44,109.50030000000001
Conv_45,550.3081
Add_46,615.3102
Relu_47,429.4162
Conv_48,475.6659
Relu_49,109.2501
Conv_50,786.6433000000001
Relu_51,109.518
Conv_52,555.8398000000001
Add_53,615.2868000000001
Relu_54,428.803
Conv_55,294.8065
Relu_56,56.232099999999996
Conv_57,837.0548
Relu_58,56.1058
Conv_59,517.1220999999999
Conv_60,961.3255
Add_61,308.0869
Relu_62,215.976
Conv_63,526.1059
Relu_64,56.0775
Conv_65,832.0165999999999
Relu_66,56.2065
Conv_67,511.9595
Add_68,307.84790000000004
Relu_69,215.7953
Conv_70,532.9837
Relu_71,56.7341
Conv_72,812.7248000000001
Relu_73,56.198800000000006
Conv_74,516.7004000000001
Add_75,308.093
Relu_76,215.9355
Conv_77,526.6215
Relu_78,56.3823
Conv_79,832.6274000000001
Relu_80,56.4009
Conv_81,515.466
Add_82,307.987
Relu_83,215.799
Conv_84,525.5665
Relu_85,56.370599999999996
Conv_86,825.6732
Relu_87,56.3425
Conv_88,517.1369
Add_89,308.07759999999996
Relu_90,215.5728
Conv_91,538.6729
Relu_92,56.3977
Conv_93,832.1705999999999
Relu_94,56.304
Conv_95,518.8685
Add_96,308.1644
Relu_97,216.3932
Conv_98,345.92940000000004
Relu_99,29.1255
Conv_100,1266.6936
Relu_101,29.1837
Conv_102,561.592
Conv_103,1171.8432
Add_104,155.5729
Relu_105,109.70039999999999
Conv_106,618.2603
Relu_107,29.2811
Conv_108,1273.4337
Relu_109,29.2227
Conv_110,553.0761
Add_111,155.6199
Relu_112,110.1585
Conv_113,626.2464
Relu_114,29.1303
Conv_115,1332.5615
Relu_116,31.1707
Conv_117,560.9942
Add_118,156.434
Relu_119,109.2225
Conv_120,952.0739
Conv_121,527.1347
Conv_122,353.33009999999996
Shape_123,6.3435
Gather_124,8.2684
Shape_125,6.6075
Slice_128,7.3666
Cast_129,6.7215
Concat_130,10.4455
Resize_132,38.7228
Add_133,79.60719999999999
Shape_134,7.0513
Gather_135,9.2667
Shape_136,7.731
Slice_137,7.701
Cast_138,6.8895
Concat_139,10.6083
Resize_140,212.8365
Add_141,304.6292
Conv_142,7437.8027999999995
Conv_143,833.4744000000001
Conv_144,330.3308
Conv_145,130.2043
Relu_146,6.5534
Conv_147,107.1197
Conv_148,4354.268
Reshape_150,217.8495
TRTInstanceNormalization_153,281.8653
Shape_154,7.9464
Reshape_155,218.3906
Mul_156,226.13139999999999
Add_157,226.7574
Relu_158,215.7201
Conv_159,4009.0645
Reshape_160,218.3006
TRTInstanceNormalization_161,282.1366
Shape_162,7.2454
Reshape_163,218.2095
Mul_164,226.3172
Add_165,226.41279999999998
Relu_166,215.6586
Conv_167,3727.9482000000003
Reshape_168,218.51489999999998
TRTInstanceNormalization_169,278.9078
Shape_170,6.958399999999999
Reshape_171,219.1429
Mul_172,227.8038
Add_173,227.25639999999999
Relu_174,217.0375
Conv_175,4037.6142
Reshape_176,218.8702
TRTInstanceNormalization_177,283.167
Shape_178,6.7861
Reshape_179,217.9604
Mul_180,226.4528
Add_181,226.94060000000002
Relu_182,216.225
Conv_183,1111.8708000000001
Conv_184,4379.5284
Reshape_185,217.652
TRTInstanceNormalization_186,284.1204
Shape_187,6.742
Reshape_188,218.33610000000002
Mul_189,225.8851
Add_190,225.8295
Relu_191,216.00629999999998
Conv_192,3710.7969
Reshape_193,218.0374
TRTInstanceNormalization_194,283.93940000000003
Shape_195,6.861
Reshape_196,218.1854
Mul_197,225.9999
Add_198,226.3518
Relu_199,215.7046
Conv_200,4009.9622000000004
Reshape_201,218.1601
TRTInstanceNormalization_202,285.4535
Shape_203,7.2943999999999996
Reshape_204,217.95589999999999
Mul_205,226.4814
Add_206,226.3765
Relu_207,215.65460000000002
