node,latency
Conv_1,585.3094
Relu_2,256.1462
MaxPool_3,171.333
Conv_4,86.664
Relu_5,66.7836
Conv_6,309.7406
Relu_7,66.93560000000001
Conv_8,265.3845
Conv_9,264.789
Add_10,383.8419
Relu_11,255.78529999999998
Conv_12,259.7149
Relu_13,66.8402
Conv_14,309.8869
Relu_15,66.8699
Conv_16,265.2648
Add_17,383.566
Relu_18,255.5616
Conv_19,257.6809
Relu_20,66.8869
Conv_21,312.4112
Relu_22,67.1662
Conv_23,264.6845
Add_24,383.8087
Relu_25,256.595
Conv_26,145.9206
Relu_27,35.3293
Conv_28,282.2174
Relu_29,35.7681
Conv_30,249.12789999999998
Conv_31,476.5124
Add_32,193.99710000000002
Relu_33,130.2973
Conv_34,288.2495
Relu_35,35.3583
Conv_36,288.79220000000004
Relu_37,35.497800000000005
Conv_38,248.79170000000002
Add_39,225.46
Relu_40,130.1411
Conv_41,289.1728
Relu_42,35.546099999999996
Conv_43,286.4777
Relu_44,35.7164
Conv_45,249.58870000000002
Add_46,193.4661
Relu_47,130.0538
Conv_48,288.5342
Relu_49,35.588699999999996
Conv_50,284.8512
Relu_51,35.5945
Conv_52,248.7129
Add_53,194.2015
Relu_54,130.2462
Conv_55,142.34539999999998
Relu_56,19.5469
Conv_57,304.9552
Relu_58,19.5991
Conv_59,242.548
Conv_60,513.8504
Add_61,99.2029
Relu_62,67.9273
Conv_63,269.52540000000005
Relu_64,19.6825
Conv_65,304.6574
Relu_66,19.7075
Conv_67,249.574
Add_68,99.86930000000001
Relu_69,66.694
Conv_70,269.5347
Relu_71,19.612099999999998
Conv_72,304.3677
Relu_73,19.449099999999998
Conv_74,254.2441
Add_75,99.181
Relu_76,66.9172
Conv_77,269.43170000000003
Relu_78,20.28
Conv_79,304.9316
Relu_80,19.5555
Conv_81,254.7473
Add_82,99.6438
Relu_83,66.9803
Conv_84,269.3381
Relu_85,19.7573
Conv_86,305.4094
Relu_87,19.778599999999997
Conv_88,254.6018
Add_89,99.3516
Relu_90,66.7114
Conv_91,269.5052
Relu_92,19.5813
Conv_93,306.14709999999997
Relu_94,19.651799999999998
Conv_95,255.14479999999998
Add_96,99.1322
Relu_97,66.932
Conv_98,162.60660000000001
Relu_99,7.8043000000000005
Conv_100,494.8297
Relu_101,7.8265
Conv_102,288.7193
Conv_103,555.0880999999999
Add_104,51.863699999999994
Relu_105,35.3958
Conv_106,293.4203
Relu_107,7.7243
Conv_108,494.498
Relu_109,7.7071000000000005
Conv_110,289.7231
Add_111,51.756699999999995
Relu_112,35.397400000000005
Conv_113,291.4982
Relu_114,9.5499
Conv_115,494.6923
Relu_116,7.7755
Conv_117,295.5988
Add_118,53.3485
Relu_119,35.405300000000004
Conv_120,513.9456
Conv_121,270.6539
Conv_122,170.3876
Shape_123,7.535699999999999
Gather_124,8.2216
Shape_125,6.8051
Slice_128,7.3492
Cast_129,7.432
Concat_130,11.2802
Resize_132,21.8654
Add_133,27.936799999999998
Shape_134,6.5649
Gather_135,8.199200000000001
Shape_136,6.9975
Slice_137,7.3055
Cast_138,7.281
Concat_139,10.1763
Resize_140,76.078
Add_141,99.22619999999999
Conv_142,1026.5486
Conv_143,307.2618
Conv_144,157.6465
Conv_145,116.2641
Relu_146,6.324199999999999
Conv_147,113.78760000000001
Conv_148,1034.8152
Reshape_150,70.8601
TRTInstanceNormalization_153,119.76589999999999
Shape_154,7.1043
Reshape_155,70.99969999999999
Mul_156,68.411
Add_157,68.3918
Relu_158,67.1432
Conv_159,1022.6677
Reshape_160,70.80080000000001
TRTInstanceNormalization_161,118.9486
Shape_162,6.8681
Reshape_163,70.7641
Mul_164,68.6793
Add_165,68.1752
Relu_166,67.282
Conv_167,1019.8947
Reshape_168,71.0227
TRTInstanceNormalization_169,118.4307
Shape_170,6.783399999999999
Reshape_171,70.7551
Mul_172,68.2496
Add_173,68.23780000000001
Relu_174,67.0498
Conv_175,1023.7484000000001
Reshape_176,74.13539999999999
TRTInstanceNormalization_177,121.04360000000001
Shape_178,6.916300000000001
Reshape_179,70.8667
Mul_180,68.1521
Add_181,68.3533
Relu_182,67.1075
Conv_183,411.2998
Conv_184,1033.7845
Reshape_185,70.85539999999999
TRTInstanceNormalization_186,117.496
Shape_187,7.166600000000001
Reshape_188,71.064
Mul_189,68.4332
Add_190,68.0112
Relu_191,67.0732
Conv_192,1026.0687
Reshape_193,71.1985
TRTInstanceNormalization_194,119.76910000000001
Shape_195,9.355799999999999
Reshape_196,70.93589999999999
Mul_197,68.0758
Add_198,68.3626
Relu_199,67.01039999999999
Conv_200,1028.1998
Reshape_201,70.75089999999999
TRTInstanceNormalization_202,119.3675
Shape_203,8.7255
Reshape_204,70.7981
Mul_205,68.2075
Add_206,68.116
Relu_207,66.93939999999999
Conv_208,1033.2656
Reshape_209,70.67139999999999
TRTInstanceNormalization_210,118.56
Shape_211,8.7451
Reshape_212,70.9584
Mul_213,68.2098
Add_214,68.2272
Relu_215,67.08619999999999
Conv_216,160.9269
Mul_217,8.302700000000002
Cast_218,7.574
Clip_219,6.6525
Mul_221,7.1838999999999995
Conv_222,305.42240000000004
Reshape_223,20.9374
TRTInstanceNormalization_224,63.0279
Shape_225,7.1718
Reshape_226,20.911
Mul_227,22.3173
Add_228,20.843700000000002
Relu_229,20.9511
Conv_230,309.52979999999997
Reshape_231,21.1797
TRTInstanceNormalization_232,62.638
Shape_233,7.919899999999999
Reshape_234,20.873099999999997
Mul_235,20.781599999999997
Add_236,20.4426
Relu_237,19.3565
Conv_238,304.862
Reshape_239,22.0069
TRTInstanceNormalization_240,63.3068
Shape_241,7.1796999999999995
Reshape_242,20.899
Mul_243,23.8056
Add_244,20.6545
Relu_245,19.5366
Conv_246,304.95029999999997
Reshape_247,21.0865
TRTInstanceNormalization_248,61.1873
Shape_249,6.6211
Reshape_250,20.696
Mul_251,20.2688
Add_252,20.657700000000002
Relu_253,19.548099999999998
Conv_254,156.3936
Conv_255,305.9738
Reshape_256,21.1557
TRTInstanceNormalization_257,62.9275
Shape_258,7.0807
Reshape_259,21.2059
Mul_260,20.811400000000003
Add_261,20.4652
Relu_262,19.6638
Conv_263,304.966
Reshape_264,20.8517
TRTInstanceNormalization_265,62.8397
Shape_266,6.7095
Reshape_267,21.1113
Mul_268,20.75
Add_269,20.5117
Relu_270,19.487299999999998
Conv_271,306.0378
Reshape_272,21.079900000000002
TRTInstanceNormalization_273,62.3084
Shape_274,6.6941999999999995
Reshape_275,20.933799999999998
Mul_276,20.7774
Add_277,20.833599999999997
Relu_278,19.5706
Conv_279,305.0219
Reshape_280,21.1496
TRTInstanceNormalization_281,61.4347
Shape_282,7.2942
Reshape_283,20.973200000000002
Mul_284,20.794700000000002
Add_285,20.590400000000002
Relu_286,19.769099999999998
Conv_287,57.5041
Mul_288,7.1943
Cast_289,7.4768
Clip_290,6.8013
Mul_292,8.573799999999999
Conv_293,155.07
Reshape_294,8.6491
TRTInstanceNormalization_295,37.4207
Shape_296,7.0286
Reshape_297,8.0486
Mul_298,6.9855
Add_299,7.4157
Relu_300,6.5911
Conv_301,155.1598
Reshape_302,7.5975
TRTInstanceNormalization_303,37.387800000000006
Shape_304,7.2381
Reshape_305,10.6274
Mul_306,7.302
Add_307,7.1528
Relu_308,6.4108
Conv_309,154.67770000000002
Reshape_310,8.033
TRTInstanceNormalization_311,36.8263
Shape_312,7.2702
Reshape_313,7.8231
Mul_314,7.394699999999999
Add_315,7.3948
Relu_316,8.2385
Conv_317,155.172
Reshape_318,7.9688
TRTInstanceNormalization_319,38.2264
Shape_320,7.658399999999999
Reshape_321,8.0329
Mul_322,7.2523
Add_323,7.667
Relu_324,6.6867
Conv_325,55.8695
Conv_326,155.0936
Reshape_327,7.946
TRTInstanceNormalization_328,35.388400000000004
Shape_329,7.5216
Reshape_330,7.8972
Mul_331,7.9304
Add_332,7.2065
Relu_333,6.7205
Conv_334,154.92229999999998
Reshape_335,8.0296
TRTInstanceNormalization_336,36.989
Shape_337,7.4748
Reshape_338,8.415799999999999
Mul_339,7.886699999999999
Add_340,7.7675
Relu_341,6.57
Conv_342,155.3868
Reshape_343,9.5111
TRTInstanceNormalization_344,35.6505
Shape_345,7.445399999999999
Reshape_346,12.927200000000001
Mul_347,7.8522
Add_348,7.6562
Relu_349,6.3725
Conv_350,154.8437
Reshape_351,7.6167
TRTInstanceNormalization_352,34.0651
Shape_353,6.7414
Reshape_354,8.0634
Mul_355,8.2141
Add_356,7.0619
Relu_357,6.636699999999999
Conv_358,55.170199999999994
Mul_359,7.2287
Cast_360,7.1218
Clip_361,6.7085
Mul_363,7.9354
Conv_364,55.8322
Reshape_365,8.970799999999999
TRTInstanceNormalization_366,38.4252
Shape_367,6.497
Reshape_368,7.9792
Mul_369,7.2762
Add_370,7.9116
Relu_371,6.6116
Conv_372,55.797599999999996
Reshape_373,7.8542
TRTInstanceNormalization_374,35.1036
Shape_375,8.1827
Reshape_376,8.414399999999999
Mul_377,7.6686000000000005
Add_378,6.9376999999999995
Relu_379,6.9135
Conv_380,55.8191
Reshape_381,7.446899999999999
TRTInstanceNormalization_382,34.2139
Shape_383,6.9723999999999995
Reshape_384,7.535699999999999
Mul_385,8.420399999999999
Add_386,7.641
Relu_387,6.324
Conv_388,55.8596
Reshape_389,8.2581
TRTInstanceNormalization_390,33.868
Shape_391,6.9037
Reshape_392,8.0597
Mul_393,7.5196000000000005
Add_394,7.4888
Relu_395,6.5391
Conv_396,55.0554
Conv_397,56.073800000000006
Reshape_398,8.489600000000001
TRTInstanceNormalization_399,34.3875
Shape_400,6.6738
Reshape_401,8.0179
Mul_402,7.9153
Add_403,7.392
Relu_404,8.687100000000001
Conv_405,55.7375
Reshape_406,8.909600000000001
TRTInstanceNormalization_407,37.074400000000004
Shape_408,7.0527
Reshape_409,7.4733
Mul_410,7.1629
Add_411,6.8408
Relu_412,6.2928999999999995
Conv_413,55.6885
Reshape_414,7.897399999999999
TRTInstanceNormalization_415,35.2625
Shape_416,6.559399999999999
Reshape_417,7.5267
Mul_418,6.8887
Add_419,7.228899999999999
Relu_420,6.3438
Conv_421,55.7465
Reshape_422,7.8401000000000005
TRTInstanceNormalization_423,33.681599999999996
Shape_424,7.0296
Reshape_425,7.7825
Mul_426,7.296
Add_427,6.8371
Relu_428,7.0252
Conv_429,54.8355
Mul_430,7.4126
Cast_431,7.4773000000000005
Clip_432,6.4578
Mul_434,7.3571
Conv_435,55.1435
Reshape_436,7.3999
TRTInstanceNormalization_437,35.908199999999994
Shape_438,7.1632
Reshape_439,7.7627
Mul_440,8.712299999999999
Add_441,7.6413
Relu_442,6.198300000000001
Conv_443,55.058
Reshape_444,7.793699999999999
TRTInstanceNormalization_445,36.1084
Shape_446,7.0557
Reshape_447,7.8363000000000005
Mul_448,7.0731
Add_449,7.4031
Relu_450,6.6065
Conv_451,55.1262
Reshape_452,7.8726
TRTInstanceNormalization_453,36.7891
Shape_454,7.5665
Reshape_455,8.411100000000001
Mul_456,11.6313
Add_457,8.5921
Relu_458,6.2915
Conv_459,55.069199999999995
Reshape_460,7.7974
TRTInstanceNormalization_461,34.4251
Shape_462,6.8163
Reshape_463,7.6993
Mul_464,6.9544
Add_465,8.0694
Relu_466,7.1453
Conv_467,54.8754
Conv_468,55.0012
Reshape_469,9.5777
TRTInstanceNormalization_470,36.073699999999995
Shape_471,7.665
Reshape_472,7.8028
Mul_473,6.9476
Add_474,6.935899999999999
Relu_475,6.588
Conv_476,55.066300000000005
Reshape_477,7.4223
TRTInstanceNormalization_478,37.5985
Shape_479,7.0216
Reshape_480,7.8213
Mul_481,6.9117
Add_482,7.2572
Relu_483,8.085
Conv_484,54.9799
Reshape_485,8.1326
TRTInstanceNormalization_486,36.9185
Shape_487,6.9332
Reshape_488,7.8486
Mul_489,7.168699999999999
Add_490,7.0938
Relu_491,6.562
Conv_492,55.0841
Reshape_493,7.7755
TRTInstanceNormalization_494,38.3663
Shape_495,9.6287
Reshape_496,7.761100000000001
Mul_497,7.2473
Add_498,7.472
Relu_499,6.539
Conv_500,54.7562
Mul_501,7.1658
Cast_502,8.9451
Clip_503,6.4441999999999995
Mul_505,7.0988999999999995
Shape_506,7.4559
Gather_508,8.614
Transpose_509,29.4664
Unsqueeze_510,7.2533
Concat_511,14.322299999999998
Reshape_512,25.2576
Sigmoid_513,23.6004
Transpose_514,7.6772
Concat_515,16.326
Reshape_516,8.5822
Shape_518,6.4158
Gather_519,8.1431
Gather_521,9.5319
Unsqueeze_522,8.7887
Unsqueeze_523,11.1099
Concat_524,14.6112
Concat_526,10.7872
Shape_527,7.5392
Gather_528,8.690700000000001
Gather_529,8.0803
Unsqueeze_530,7.8084
Unsqueeze_531,9.9508
Concat_532,18.1727
Add_535,6.7652
Concat_536,28.782400000000003
ReduceMax_537,23.269299999999998
TopK_538,52.7519
Shape_539,6.801399999999999
Gather_540,8.166
Gather_542,9.7385
GatherTopk_543,8.595
Cast_544,7.049300000000001
Shape_545,6.4138
Gather_546,8.8314
Unsqueeze_547,7.826899999999999
