node,latency
/Sub,7.8093
/Div,8.0043
/model1/model1.0/Conv,1142.4021
/model1/model1.1/Relu,2271.1555
/model1/model1.2/Conv,1755.9561
/model1/model1.3/Relu,571.3888000000001
/model1/model1.4/BatchNormalization,576.9041
/model2/model2.0/Conv,1783.723
/model2/model2.1/Relu,1141.3395
/model2/model2.2/Conv,1500.2321000000002
/model2/model2.3/Relu,269.665
/model2/model2.4/BatchNormalization,265.5743
/model3/model3.0/Conv,1327.6086
/model3/model3.1/Relu,570.3240999999999
/model3/model3.2/Conv,2706.1326
/model3/model3.3/Relu,572.3914
/model3/model3.4/Conv,1115.3383999999999
/model3/model3.5/Relu,19.1509
/model3/model3.6/BatchNormalization,20.998
/model4/model4.0/Conv,1093.0105
/model4/model4.1/Relu,267.7236
/model4/model4.2/Conv,2275.9779
/model4/model4.3/Relu,267.1709
/model4/model4.4/Conv,2123.8185
/model4/model4.5/Relu,267.35429999999997
/model4/model4.6/BatchNormalization,265.87109999999996
/model5/model5.0/Conv,2297.6865
/model5/model5.1/Relu,270.83529999999996
/model5/model5.2/Conv,2238.8827
/model5/model5.3/Relu,267.4786
/model5/model5.4/Conv,2199.077
/model5/model5.5/Relu,269.0342
/model5/model5.6/BatchNormalization,265.7253
/model6/model6.0/Conv,2334.6123
/model6/model6.1/Relu,267.8501
/model6/model6.2/Conv,2210.4894
/model6/model6.3/Relu,265.9747
/model6/model6.4/Conv,2192.0205
/model6/model6.5/Relu,267.1907
/model6/model6.6/BatchNormalization,263.84740000000005
/model7/model7.0/Conv,2275.1594
/model7/model7.1/Relu,267.4055
/model7/model7.2/Conv,2222.0841
/model7/model7.3/Relu,267.5943
/model7/model7.4/Conv,2211.3456
/model7/model7.5/Relu,267.5175
/model7/model7.6/BatchNormalization,265.16020000000003
/model8/model8.0/ConvTranspose,3499.4609
/model8/model8.1/Relu,571.0301
/model8/model8.2/Conv,2619.6009
/model8/model8.3/Relu,574.1365999999999
/model8/model8.4/Conv,2519.3089
/model8/model8.5/Relu,580.9973
/model8/model8.6/Conv,673.3241999999999
/softmax/Transpose,702.9393
/softmax/Softmax,671.5110999999999
/softmax/Transpose_1,732.6856
/model_out/Conv,329.89140000000003
/upsample4/Resize,18.7715
/Mul,11.236600000000001
