node,latency
Conv_0,37.0998
Relu_1,19.0288
Conv_2,290.19140000000004
Relu_3,19.190900000000003
Conv_4,261.4155
Relu_5,263.9606
MaxPool_6,32.9591
Conv_7,23.871599999999997
Relu_8,10.8294
Conv_9,124.74010000000001
Relu_10,10.3164
Conv_11,159.8787
Conv_12,161.1941
Add_13,429.81640000000004
Relu_14,267.5457
Conv_15,55.8419
Relu_16,11.0055
Conv_17,121.4723
Relu_18,10.959700000000002
Conv_19,161.6972
Add_20,431.44829999999996
Relu_21,267.1694
Conv_22,55.7618
Relu_23,10.7738
Conv_24,124.0539
Relu_25,10.8017
Conv_26,160.3972
Add_27,430.9562
Relu_28,268.1832
Conv_29,111.34089999999999
Relu_30,18.9592
Conv_31,112.4928
Relu_32,7.2598
Conv_33,54.8783
Conv_34,108.04610000000001
Add_35,58.1605
Relu_36,19.1668
Conv_37,63.4295
Relu_38,7.0477
Conv_39,106.9508
Relu_40,7.076
Conv_41,53.5608
Add_42,58.1216
Relu_43,18.9636
Conv_44,63.2162
Relu_45,8.771600000000001
Conv_46,101.4706
Relu_47,7.4088
Conv_48,53.8549
Add_49,58.626400000000004
Relu_50,17.992099999999997
Conv_51,63.131
Relu_52,7.1472
Conv_53,101.4303
Relu_54,7.363300000000001
Conv_55,54.142900000000004
Add_56,64.72930000000001
Relu_57,18.8163
Conv_58,99.8295
Relu_59,10.9383
Conv_60,283.65590000000003
Relu_61,10.992799999999999
Conv_62,192.1478
Conv_63,374.77840000000003
Add_64,424.84740000000005
Relu_65,267.91
Conv_66,180.4455
Relu_67,10.8105
Conv_68,305.816
Relu_69,10.8408
Conv_70,189.8294
Add_71,423.8514
Relu_72,266.04040000000003
Conv_73,179.9785
Relu_74,10.9646
Conv_75,300.8337
Relu_76,10.6738
Conv_77,189.2663
Add_78,435.1814
Relu_79,269.921
Conv_80,180.93179999999998
Relu_81,10.8218
Conv_82,290.8037
Relu_83,10.866
Conv_84,188.9857
Add_85,405.0836
Relu_86,269.3486
Conv_87,180.1435
Relu_88,10.5719
Conv_89,284.9508
Relu_90,10.906799999999999
Conv_91,189.5856
Add_92,404.73240000000004
Relu_93,268.87
Conv_94,179.4176
Relu_95,10.9449
Conv_96,297.0844
Relu_97,10.8604
Conv_98,189.2717
Add_99,407.6885
Relu_100,269.1706
Conv_101,186.209
Relu_102,10.735299999999999
Conv_103,296.0724
Relu_104,10.7812
Conv_105,189.6095
Add_106,411.3877
Relu_107,269.821
Conv_108,184.80370000000002
Relu_109,10.745700000000001
Conv_110,295.6801
Relu_111,10.7709
Conv_112,183.3831
Add_113,429.0696
Relu_114,267.9413
Conv_115,180.9094
Relu_116,10.7195
Conv_117,298.08840000000004
Relu_118,10.7321
Conv_119,183.55079999999998
Add_120,405.0149
Relu_121,267.94620000000003
Conv_122,181.0435
Relu_123,10.6476
Conv_124,298.1913
Relu_125,10.759
Conv_126,183.8808
Add_127,430.8022
Relu_128,267.9304
Conv_129,183.735
Relu_130,10.994299999999999
Conv_131,282.5247
Relu_132,11.742
Conv_133,183.9067
Add_134,414.16540000000003
Relu_135,269.8893
Conv_136,181.8041
Relu_137,10.4037
Conv_138,295.1765
Relu_139,10.836799999999998
Conv_140,184.49179999999998
Add_141,420.9941
Relu_142,268.7761
Conv_143,182.2284
Relu_144,10.6987
Conv_145,297.37690000000003
Relu_146,10.771
Conv_147,182.843
Add_148,408.1023
Relu_149,267.4939
Conv_150,183.4717
Relu_151,10.9348
Conv_152,288.2097
Relu_153,10.873299999999999
Conv_154,184.7022
Add_155,406.2725
Relu_156,270.6901
Conv_157,180.7285
Relu_158,11.141200000000001
Conv_159,298.06370000000004
Relu_160,10.7595
Conv_161,184.2345
Add_162,406.37059999999997
Relu_163,267.3486
Conv_164,180.99470000000002
Relu_165,10.835
Conv_166,295.1606
Relu_167,10.8439
Conv_168,184.64339999999999
Add_169,423.6879
Relu_170,268.1508
Conv_171,184.58870000000002
Relu_172,11.1562
Conv_173,301.9925
Relu_174,10.3076
Conv_175,181.31789999999998
Add_176,428.8949
Relu_177,268.59590000000003
Conv_178,181.41660000000002
Relu_179,11.0321
Conv_180,281.228
Relu_181,10.8491
Conv_182,179.5298
Add_183,405.189
Relu_184,270.0886
Conv_185,178.9458
Relu_186,10.3353
Conv_187,286.2669
Relu_188,10.8659
Conv_189,180.7577
Add_190,417.578
Relu_191,267.8333
Conv_192,180.5119
Relu_193,10.9885
Conv_194,294.94440000000003
Relu_195,10.953
Conv_196,181.2584
Add_197,406.586
Relu_198,268.2038
Conv_199,182.3381
Relu_200,10.851700000000001
Conv_201,279.7535
Relu_202,10.8001
Conv_203,178.3346
Add_204,413.2756
Relu_205,271.1048
Conv_206,180.7866
Relu_207,11.0295
Conv_208,302.7319
Relu_209,10.7104
Conv_210,180.33689999999999
Add_211,429.6037
Relu_212,268.9745
Conv_213,183.0966
Relu_214,10.8046
Conv_215,294.358
Relu_216,10.8508
Conv_217,178.4785
Add_218,406.57259999999997
Relu_219,271.68170000000003
Conv_220,344.622
Relu_221,19.0683
Conv_222,1043.8999000000001
Relu_223,19.069200000000002
Conv_224,642.5593
Conv_225,1232.4516999999998
Add_226,802.2625
Relu_227,573.3934
Conv_228,656.9704
Relu_229,18.8335
Conv_230,1050.552
Relu_231,19.012700000000002
Conv_232,649.3621999999999
Add_233,809.5829
Relu_234,569.3025
Conv_235,661.4324
Relu_236,18.7554
Conv_237,1045.886
Relu_238,18.9132
Conv_239,643.1646
Add_240,805.5629
Relu_241,569.5851
Conv_242,5261.7397
Relu_243,19.174
Shape_244,7.3609
Gather_246,9.3483
Conv_247,38.4564
Shape_248,7.3804
Gather_249,8.8499
Gather_251,9.4817
Unsqueeze_252,7.886
Unsqueeze_253,8.4455
Concat_254,14.7454
Reshape_255,8.4393
Transpose_256,14.7859
Conv_257,38.9957
Conv_258,188.91029999999998
Shape_259,7.6544
Gather_260,10.218
Gather_261,8.738100000000001
Unsqueeze_262,8.0084
Unsqueeze_263,7.8775
Concat_264,25.261200000000002
Reshape_265,8.2537
Shape_266,7.3578
Gather_267,9.1631
Gather_268,9.3351
Unsqueeze_269,7.9323999999999995
