node,latency
Conv_0,201.328
Relu_1,226.18439999999998
Conv_2,591.5018
Relu_3,226.2694
Conv_4,933.9646
Relu_5,449.064
MaxPool_6,305.8045
Conv_7,142.1538
Relu_8,115.14160000000001
Conv_9,327.1299
Relu_10,115.133
Conv_11,381.045
Conv_12,384.5984
Add_13,686.3575999999999
Relu_14,449.0852
Conv_15,332.4103
Relu_16,115.085
Conv_17,328.8587
Relu_18,114.9995
Conv_19,388.6044
Add_20,682.541
Relu_21,449.0696
Conv_22,330.8323
Relu_23,114.9856
Conv_24,327.016
Relu_25,115.05860000000001
Conv_26,381.6011
Add_27,682.5995
Relu_28,449.88259999999997
Conv_29,509.75870000000003
Relu_30,226.56429999999997
Conv_31,562.6476
Relu_32,59.379400000000004
Conv_33,284.1735
Conv_34,503.0233
Add_35,342.9734
Relu_36,226.326
Conv_37,264.0452
Relu_38,59.5631
Conv_39,289.53490000000005
Relu_40,59.4811
Conv_41,284.0116
Add_42,343.0925
Relu_43,226.26870000000002
Conv_44,266.496
Relu_45,59.582800000000006
Conv_46,290.91740000000004
Relu_47,59.399300000000004
Conv_48,284.2666
Add_49,343.17359999999996
Relu_50,226.26420000000002
Conv_51,264.0512
Relu_52,59.508
Conv_53,289.27979999999997
Relu_54,59.3628
Conv_55,283.15520000000004
Add_56,343.0674
Relu_57,226.3402
Conv_58,502.7623
Relu_59,115.1857
Conv_60,1011.261
Relu_61,115.0827
Conv_62,986.2678000000001
Conv_63,1891.0086999999999
Add_64,682.9755
Relu_65,449.1425
Conv_66,996.3929
Relu_67,114.9857
Conv_68,2156.9675
Relu_69,115.95660000000001
Conv_70,985.7361999999999
Add_71,685.634
Relu_72,449.03990000000005
Conv_73,975.1113
Relu_74,115.6899
Conv_75,2158.6336
Relu_76,115.9109
Conv_77,983.6442
Add_78,682.615
Relu_79,449.6383
Conv_80,996.9390999999999
Relu_81,114.9521
Conv_82,2253.7292
Relu_83,114.8823
Conv_84,999.425
Add_85,682.7776
Relu_86,449.16740000000004
Conv_87,985.4478
Relu_88,116.0739
Conv_89,2145.0357999999997
Relu_90,115.2047
Conv_91,997.4104
Add_92,682.3908
Relu_93,449.2262
Conv_94,983.6773000000001
Relu_95,115.047
Conv_96,2127.3858999999998
Relu_97,115.12480000000001
Conv_98,985.0776
Add_99,682.7763
Relu_100,449.66970000000003
Conv_101,1000.0142
Relu_102,114.9027
Conv_103,2137.0745
Relu_104,115.05260000000001
Conv_105,1001.9178
Add_106,685.7059
Relu_107,449.20059999999995
Conv_108,987.7433000000001
Relu_109,115.002
Conv_110,2435.0238
Relu_111,115.6198
Conv_112,1015.4849
Add_113,682.394
Relu_114,449.1431
Conv_115,1015.0074000000001
Relu_116,115.145
Conv_117,2191.5806000000002
Relu_118,115.0218
Conv_119,985.0815
Add_120,682.4155999999999
Relu_121,449.13870000000003
Conv_122,998.5378000000001
Relu_123,115.02189999999999
Conv_124,2209.6674
Relu_125,114.9947
Conv_126,999.4087
Add_127,682.6265
Relu_128,449.02729999999997
Conv_129,997.3
Relu_130,115.1407
Conv_131,2146.4184
Relu_132,115.05680000000001
Conv_133,984.234
Add_134,682.2786
Relu_135,449.1518
Conv_136,1004.1979
Relu_137,114.99380000000001
Conv_138,2193.0767
Relu_139,115.02560000000001
Conv_140,986.3021
Add_141,682.9792
Relu_142,449.1597
Conv_143,976.5132
Relu_144,114.9807
Conv_145,2179.6637
Relu_146,114.98610000000001
Conv_147,997.1006
Add_148,683.5391
Relu_149,449.1184
Conv_150,1029.263
Relu_151,114.9637
Conv_152,2278.9757
Relu_153,115.4976
Conv_154,985.7365
Add_155,685.0092
Relu_156,449.23690000000005
Conv_157,1001.7425
Relu_158,114.94489999999999
Conv_159,2144.6297999999997
Relu_160,115.0714
Conv_161,984.9488
Add_162,682.3249000000001
Relu_163,449.02540000000005
Conv_164,1019.5662
Relu_165,114.82939999999999
Conv_166,2152.0622000000003
Relu_167,115.0097
Conv_168,985.164
Add_169,682.9026
Relu_170,448.9694
