node,latency
Conv_0,136.06029999999998
Relu_1,136.6224
Conv_2,414.8048
Relu_3,139.60670000000002
Conv_4,678.3620999999999
Relu_5,275.06759999999997
MaxPool_6,166.9257
Conv_7,81.3373
Relu_8,71.01610000000001
Conv_9,286.1393
Relu_10,71.1008
Conv_11,208.51579999999998
Conv_12,211.84629999999999
Add_13,395.9418
Relu_14,275.2855
Conv_15,204.9681
Relu_16,70.7581
Conv_17,278.4897
Relu_18,70.89160000000001
Conv_19,208.1798
Add_20,395.8372
Relu_21,276.0632
Conv_22,207.24689999999998
Relu_23,70.855
Conv_24,280.5655
Relu_25,71.4448
Conv_26,209.8526
Add_27,395.9628
Relu_28,275.5107
Conv_29,365.20529999999997
Relu_30,139.4213
Conv_31,424.1492
Relu_32,36.8628
Conv_33,185.3909
Conv_34,356.8062
Add_35,199.0625
Relu_36,139.2742
Conv_37,196.6478
Relu_38,37.8485
Conv_39,254.60229999999999
Relu_40,36.952400000000004
Conv_41,184.3884
Add_42,198.7732
Relu_43,139.5135
Conv_44,195.26139999999998
Relu_45,36.882
Conv_46,264.26279999999997
Relu_47,36.7836
Conv_48,184.7167
Add_49,198.8057
Relu_50,139.311
Conv_51,198.3086
Relu_52,36.9011
Conv_53,261.6078
Relu_54,36.8699
Conv_55,185.1492
Add_56,199.2864
Relu_57,139.4639
Conv_58,378.2016
Relu_59,70.93480000000001
Conv_60,914.1478000000001
Relu_61,70.901
Conv_62,675.6777
Conv_63,1219.8519
Add_64,394.6875
Relu_65,275.317
Conv_66,721.5855
Relu_67,72.9191
Conv_68,1800.6563999999998
Relu_69,70.9172
Conv_70,660.4924
Add_71,394.48429999999996
Relu_72,275.62359999999995
Conv_73,726.5275
Relu_74,71.2248
Conv_75,1733.5801999999999
Relu_76,70.7278
Conv_77,660.3426
Add_78,394.6954
Relu_79,275.4792
Conv_80,733.5962
Relu_81,71.24539999999999
Conv_82,1680.4559
Relu_83,70.8299
Conv_84,664.2266999999999
Add_85,394.76759999999996
Relu_86,275.3001
Conv_87,714.2313
Relu_88,71.0307
Conv_89,1623.9382
Relu_90,70.8447
Conv_91,657.377
Add_92,394.3244
Relu_93,282.1126
Conv_94,714.6781
Relu_95,71.2404
Conv_96,1713.3228000000001
Relu_97,71.236
Conv_98,665.4644000000001
Add_99,394.8968
Relu_100,275.136
Conv_101,723.2328
Relu_102,70.70989999999999
Conv_103,1665.8918
Relu_104,70.88189999999999
Conv_105,657.4333
Add_106,395.1845
Relu_107,275.6733
Conv_108,723.778
Relu_109,71.4915
Conv_110,1591.65
Relu_111,71.189
Conv_112,663.9288
Add_113,394.5502
Relu_114,274.985
Conv_115,729.4118000000001
Relu_116,71.3509
Conv_117,1545.7792
Relu_118,71.1496
Conv_119,662.2703
Add_120,394.84459999999996
Relu_121,275.3327
Conv_122,725.2444
Relu_123,71.34339999999999
Conv_124,1628.2188
Relu_125,71.11189999999999
Conv_126,660.435
Add_127,398.5537
Relu_128,275.5132
Conv_129,728.8561
Relu_130,71.2226
Conv_131,1669.8003
Relu_132,71.71289999999999
Conv_133,662.3315
Add_134,394.47929999999997
Relu_135,275.5318
Conv_136,730.6277
Relu_137,71.0733
Conv_138,1559.5406
Relu_139,71.2759
Conv_140,677.4011999999999
Add_141,394.7289
Relu_142,276.0202
Conv_143,730.2535
Relu_144,72.4321
Conv_145,1639.0433
Relu_146,71.0765
Conv_147,660.3297
Add_148,394.9808
Relu_149,276.878
Conv_150,723.6716
Relu_151,71.5034
Conv_152,1615.1111
Relu_153,71.0532
Conv_154,674.3088
Add_155,394.4883
Relu_156,275.3514
Conv_157,719.0600999999999
Relu_158,71.15639999999999
Conv_159,1655.38
Relu_160,71.2531
Conv_161,663.5662
Add_162,394.3796
Relu_163,275.87870000000004
Conv_164,721.8906
Relu_165,72.1828
Conv_166,1707.8434
Relu_167,71.039
Conv_168,664.7024
Add_169,394.3716
Relu_170,275.5244
Conv_171,727.2354
Relu_172,71.18889999999999
Conv_173,1531.0747
Relu_174,71.2563
Conv_175,670.6571
Add_176,395.01340000000005
Relu_177,276.3132
Conv_178,717.3379
Relu_179,71.0292
Conv_180,1530.9003
Relu_181,71.36410000000001
Conv_182,660.7297
Add_183,394.5695
Relu_184,275.5152
Conv_185,720.5826
Relu_186,71.63810000000001
Conv_187,1669.0309
Relu_188,71.3506
Conv_189,663.5645999999999
Add_190,394.72659999999996
Relu_191,275.30440000000004
Conv_192,708.6794
Relu_193,71.689
Conv_194,1559.1321
Relu_195,71.3755
Conv_196,660.111
Add_197,394.4278
Relu_198,275.59740000000005
Conv_199,720.1215
Relu_200,71.26469999999999
Conv_201,1565.7874
Relu_202,71.0921
Conv_203,659.9626
Add_204,394.7663
Relu_205,275.589
Conv_206,719.722
Relu_207,71.1731
Conv_208,1591.3866
Relu_209,71.1447
Conv_210,662.5138000000001
Add_211,394.8902
Relu_212,275.29179999999997
Conv_213,725.0753000000001
Relu_214,71.54180000000001
Conv_215,1756.314
Relu_216,71.3575
Conv_217,664.6936999999999
Add_218,394.9948
Relu_219,275.4488
Conv_220,1277.3383000000001
Relu_221,140.0758
Conv_222,8673.3255
Relu_223,139.46820000000002
Conv_224,3069.4627
Conv_225,8413.7374
Add_226,775.1131
Relu_227,548.6542
Conv_228,3080.2974
Relu_229,139.4565
Conv_230,8753.8989
Relu_231,139.68329999999997
Conv_232,3000.443
Add_233,787.8023000000001
Relu_234,549.8029
Conv_235,2907.0696000000003
Relu_236,139.4011
Conv_237,8673.0514
Relu_238,139.5803
Conv_239,2849.3861
Add_240,784.1981999999999
Relu_241,549.3075
Conv_242,23435.3642
Relu_243,139.5929
Shape_244,7.1006
Gather_246,7.6375
Conv_247,110.74119999999999
Shape_248,7.0908
Gather_249,8.535200000000001
Gather_251,8.5278
Unsqueeze_252,7.211
Unsqueeze_253,7.533
Concat_254,15.1083
Reshape_255,9.0146
Transpose_256,13.9845
Conv_257,107.7937
Conv_258,671.0862
Shape_259,6.4956000000000005
Gather_260,7.6835
Gather_261,8.7096
Unsqueeze_262,7.5257
Unsqueeze_263,7.549300000000001
Concat_264,14.379
Reshape_265,8.3189
