node,latency
Conv_0,50.4201
Relu_1,44.5376
Conv_2,116.9918
Relu_3,44.3065
Conv_4,228.0214
Relu_5,84.5792
MaxPool_6,59.183
Conv_7,36.7329
Relu_8,23.5942
Conv_9,105.0528
Relu_10,23.7967
Conv_11,93.3696
Conv_12,94.2658
Add_13,125.3151
Relu_14,84.81410000000001
Conv_15,101.5797
Relu_16,23.715400000000002
Conv_17,105.0762
Relu_18,23.7487
Conv_19,93.8827
Add_20,126.1202
Relu_21,84.8863
Conv_22,102.1662
Relu_23,23.560599999999997
Conv_24,105.0755
Relu_25,23.7408
Conv_26,93.8546
Add_27,125.92439999999999
Relu_28,88.9527
Conv_29,167.8415
Relu_30,44.2539
Conv_31,205.724
Relu_32,12.0282
Conv_33,92.1785
Conv_34,167.9194
Add_35,65.00959999999999
Relu_36,44.249199999999995
Conv_37,97.9191
Relu_38,11.7942
Conv_39,109.3697
Relu_40,11.8254
Conv_41,92.235
Add_42,65.827
Relu_43,44.2836
Conv_44,96.9548
Relu_45,11.9958
Conv_46,108.5763
Relu_47,11.9683
Conv_48,91.49260000000001
Add_49,65.1059
Relu_50,44.3971
Conv_51,96.73519999999999
Relu_52,11.9131
Conv_53,108.9965
Relu_54,15.2258
Conv_55,91.76169999999999
Add_56,64.7011
Relu_57,45.4448
Conv_58,185.033
Relu_59,23.6296
Conv_60,354.6386
Relu_61,23.7604
Conv_62,307.32059999999996
Conv_63,684.0673
Add_64,125.7384
Relu_65,84.7795
Conv_66,356.32
Relu_67,23.5744
Conv_68,770.7224
Relu_69,23.7033
Conv_70,312.8715
Add_71,125.65360000000001
Relu_72,84.862
Conv_73,357.4277
Relu_74,23.6597
Conv_75,759.3272
Relu_76,23.777
Conv_77,309.58959999999996
Add_78,125.7265
Relu_79,84.83460000000001
Conv_80,356.0783
Relu_81,23.811799999999998
Conv_82,763.8819
Relu_83,26.886
Conv_84,306.9821
Add_85,125.9725
Relu_86,84.535
Conv_87,356.376
Relu_88,23.869799999999998
Conv_89,757.474
Relu_90,23.8696
Conv_91,311.4272
Add_92,125.7254
Relu_93,84.6614
Conv_94,356.2799
Relu_95,23.7494
Conv_96,750.4826999999999
Relu_97,23.774099999999997
Conv_98,305.8015
Add_99,125.8027
Relu_100,84.7045
Conv_101,356.5344
Relu_102,23.734599999999997
Conv_103,776.0576
Relu_104,23.5936
Conv_105,302.5849
Add_106,125.9533
Relu_107,84.5684
Conv_108,356.5369
Relu_109,23.9642
Conv_110,767.7818000000001
Relu_111,23.6773
Conv_112,306.9012
Add_113,125.10730000000001
Relu_114,85.1897
Conv_115,357.095
Relu_116,23.6419
Conv_117,777.3705
Relu_118,24.7513
Conv_119,304.5335
Add_120,125.32860000000001
Relu_121,84.6124
Conv_122,356.3678
Relu_123,23.7747
Conv_124,767.128
Relu_125,23.918
Conv_126,310.7333
Add_127,125.2081
Relu_128,84.71419999999999
Conv_129,359.56440000000003
Relu_130,23.8552
Conv_131,767.2193000000001
Relu_132,23.818099999999998
Conv_133,310.9875
Add_134,125.2121
Relu_135,84.6958
Conv_136,359.4688
Relu_137,23.836299999999998
Conv_138,775.2925
Relu_139,23.6585
Conv_140,312.20009999999996
Add_141,125.3445
Relu_142,85.0307
Conv_143,356.76529999999997
Relu_144,23.836299999999998
Conv_145,776.3058000000001
Relu_146,23.8875
Conv_147,315.6991
Add_148,125.2379
Relu_149,85.0006
Conv_150,357.0629
Relu_151,25.4414
Conv_152,755.6799
Relu_153,24.5706
Conv_154,312.9763
Add_155,125.1233
Relu_156,84.6855
Conv_157,357.47
Relu_158,23.9919
Conv_159,758.663
Relu_160,23.6538
Conv_161,306.6469
Add_162,125.575
Relu_163,84.706
Conv_164,356.34159999999997
Relu_165,23.819599999999998
Conv_166,751.1995
Relu_167,23.734900000000003
Conv_168,314.6271
Add_169,125.1756
Relu_170,84.6422
Conv_171,356.1606
Relu_172,23.789099999999998
Conv_173,767.3481999999999
Relu_174,23.7267
Conv_175,306.929
Add_176,125.3726
Relu_177,85.0306
Conv_178,356.0465
Relu_179,24.473200000000002
Conv_180,755.7746999999999
Relu_181,23.6092
Conv_182,316.7401
Add_183,125.5018
Relu_184,85.41189999999999
Conv_185,356.16020000000003
Relu_186,23.563299999999998
