node,latency
Shape_0,9.2377
Gather_2,10.164100000000001
Shape_3,8.908
Gather_5,9.1558
Conv_6,97.9008
Relu_7,16.930400000000002
MaxPool_8,16.7226
Conv_9,11.9151
Relu_10,7.4977
Conv_11,47.9804
Relu_12,7.2752
Conv_13,36.1607
Conv_14,35.9919
Add_15,22.7976
Relu_16,16.977
Conv_17,25.395799999999998
Relu_18,7.3679
Conv_19,48.059400000000004
Relu_20,7.3544
Conv_21,35.578900000000004
Add_22,22.818099999999998
Relu_23,16.7865
Conv_24,24.7097
Relu_25,7.3696
Conv_26,48.180699999999995
Relu_27,7.7162
Conv_28,35.9448
Add_29,23.0149
Relu_30,17.029
Conv_31,41.9274
Relu_32,9.9628
Conv_33,55.302699999999994
Relu_34,7.1827
Conv_35,25.7288
Conv_36,45.488
Add_37,12.7036
Relu_38,9.458
Conv_39,27.6289
Relu_40,7.1671000000000005
Conv_41,53.5015
Relu_42,8.700899999999999
Conv_43,25.8324
Add_44,12.5383
Relu_45,9.7104
Conv_46,27.733400000000003
Relu_47,7.0949
Conv_48,54.251599999999996
Relu_49,8.049100000000001
Conv_50,25.34
Add_51,12.776
Relu_52,9.7462
Conv_53,27.7379
Relu_54,7.0028999999999995
Conv_55,55.293699999999994
Relu_56,7.1828
Conv_57,25.7165
Add_58,12.8725
Relu_59,9.9312
Conv_60,37.1664
Relu_61,8.0542
Conv_62,106.6373
Relu_63,7.3152
Conv_64,67.5061
Conv_65,123.19330000000001
Add_66,22.939400000000003
Relu_67,16.9241
Conv_68,66.4563
Relu_69,7.347300000000001
Conv_70,107.219
Relu_71,7.332199999999999
Conv_72,66.3132
Add_73,23.065
Relu_74,17.037200000000002
Conv_75,67.0937
Relu_76,7.4314
Conv_77,108.5945
Relu_78,8.1039
Conv_79,66.37010000000001
Add_80,23.0981
Relu_81,17.045
Conv_82,66.4155
Relu_83,7.4576
Conv_84,107.218
Relu_85,7.448
Conv_86,66.7732
Add_87,22.947599999999998
Relu_88,16.872700000000002
Conv_89,67.93960000000001
