node,latency
Shape_0,7.604
Gather_2,9.263200000000001
Shape_3,7.2489
Gather_5,9.665899999999999
Conv_6,348.17859999999996
Relu_7,198.6455
MaxPool_8,137.454
Conv_9,61.2602
Relu_10,52.326699999999995
Conv_11,152.944
Relu_12,52.4898
Conv_13,189.26420000000002
Conv_14,188.0058
Add_15,301.15709999999996
Relu_16,199.5913
Conv_17,161.914
Relu_18,52.3226
Conv_19,153.0923
Relu_20,52.243900000000004
Conv_21,190.58970000000002
Add_22,301.0924
Relu_23,199.0611
Conv_24,159.1485
Relu_25,52.336
Conv_26,153.28470000000002
Relu_27,52.3867
Conv_28,187.4913
Add_29,300.89340000000004
Relu_30,198.3035
Conv_31,243.207
Relu_32,100.99510000000001
Conv_33,252.5997
Relu_34,27.2992
Conv_35,138.2808
Conv_36,241.9029
Add_37,152.4455
Relu_38,100.9772
Conv_39,121.7824
Relu_40,27.3165
Conv_41,152.00920000000002
Relu_42,27.1497
Conv_43,137.64020000000002
Add_44,152.0225
Relu_45,101.0943
Conv_46,121.4957
Relu_47,27.3185
Conv_48,152.3448
Relu_49,27.3285
Conv_50,139.77120000000002
Add_51,152.3194
Relu_52,100.95960000000001
Conv_53,121.5981
Relu_54,27.3697
Conv_55,151.5615
Relu_56,27.217299999999998
Conv_57,138.36870000000002
Add_58,152.2547
Relu_59,101.0233
Conv_60,232.34560000000002
Relu_61,53.0107
Conv_62,523.6921
Relu_63,52.5391
Conv_64,444.8387
Conv_65,864.9961
Add_66,301.1121
Relu_67,199.2129
Conv_68,463.3492
Relu_69,52.300599999999996
Conv_70,990.1655999999999
Relu_71,55.9907
Conv_72,447.8882
Add_73,301.2638
Relu_74,198.3954
Conv_75,460.5507
Relu_76,52.3426
Conv_77,990.3932
Relu_78,52.319300000000005
Conv_79,445.70029999999997
Add_80,301.29359999999997
Relu_81,198.6741
Conv_82,474.4614
Relu_83,52.3709
Conv_84,990.1448
Relu_85,52.2859
Conv_86,447.59270000000004
Add_87,300.915
Relu_88,198.2454
Conv_89,473.3368
Relu_90,52.476
Conv_91,991.5399
Relu_92,52.3197
Conv_93,445.61129999999997
Add_94,301.1941
Relu_95,198.5246
Conv_96,473.90959999999995
Relu_97,52.3493
Conv_98,990.2644
Relu_99,52.2977
Conv_100,448.4618
Add_101,300.8973
Relu_102,198.5037
Conv_103,452.36920000000003
Relu_104,52.420199999999994
Conv_105,990.1600999999999
Relu_106,52.431
Conv_107,448.11740000000003
Add_108,301.1968
Relu_109,198.4239
Conv_110,504.8587
Relu_111,52.1761
Conv_112,990.1786
Relu_113,52.3029
Conv_114,446.2454
Add_115,301.3772
Relu_116,198.5112
Conv_117,491.224
Relu_118,52.378099999999996
Conv_119,990.0014
Relu_120,52.3077
Conv_121,448.99
Add_122,301.03490000000005
Relu_123,198.59720000000002
Conv_124,488.3645
Relu_125,52.4778
Conv_126,987.3756
Relu_127,53.2333
Conv_128,447.1688
Add_129,301.3813
Relu_130,198.39829999999998
Conv_131,509.0333
Relu_132,52.224199999999996
Conv_133,989.7233
Relu_134,52.399
Conv_135,445.066
Add_136,301.1225
Relu_137,198.4341
Conv_138,452.3651
