node,latency
Shape_0,9.2926
Gather_2,11.411
Shape_3,7.582199999999999
Gather_5,9.8169
Conv_6,271.71029999999996
Relu_7,120.063
MaxPool_8,81.6682
Conv_9,37.9499
Relu_10,32.7708
Conv_11,132.6749
Relu_12,32.809400000000004
Conv_13,99.67660000000001
Conv_14,99.68130000000001
Add_15,174.7029
Relu_16,122.3112
Conv_17,90.9469
Relu_18,32.8152
Conv_19,125.0333
Relu_20,32.8851
Conv_21,98.5197
Add_22,174.6763
Relu_23,122.31819999999999
Conv_24,95.12689999999999
Relu_25,32.8411
Conv_26,127.2585
Relu_27,32.8216
Conv_28,99.42739999999999
Add_29,174.7485
Relu_30,122.13289999999999
Conv_31,156.52779999999998
Relu_32,62.430800000000005
Conv_33,210.75060000000002
Relu_34,6.7667
Conv_35,88.76169999999999
Conv_36,162.08610000000002
Add_37,88.8666
Relu_38,62.384
Conv_39,98.21130000000001
Relu_40,8.2765
Conv_41,143.03539999999998
Relu_42,7.1548
Conv_43,91.3163
Add_44,89.07889999999999
Relu_45,62.4975
Conv_46,98.05189999999999
Relu_47,6.6488000000000005
Conv_48,141.41660000000002
Relu_49,7.4877
Conv_50,89.8989
Add_51,89.8502
Relu_52,62.386
Conv_53,99.5751
Relu_54,6.8769
Conv_55,141.1791
Relu_56,6.3979
Conv_57,89.72030000000001
Add_58,89.0145
Relu_59,62.4824
Conv_60,156.21620000000001
Relu_61,34.103199999999994
Conv_62,470.3107
Relu_63,32.897
Conv_64,315.899
Conv_65,566.7236
Add_66,174.6875
Relu_67,122.1207
Conv_68,332.0849
Relu_69,32.9892
Conv_70,663.5295
Relu_71,32.9305
Conv_72,315.5735
Add_73,174.754
Relu_74,122.106
Conv_75,333.38779999999997
Relu_76,32.8039
Conv_77,654.2697
Relu_78,32.6441
Conv_79,312.2575
Add_80,174.9479
Relu_81,121.899
Conv_82,332.5146
Relu_83,32.9272
Conv_84,666.5495
Relu_85,32.9664
Conv_86,311.806
Add_87,174.58010000000002
Relu_88,122.37289999999999
Conv_89,331.7256
Relu_90,32.903400000000005
Conv_91,656.8011
Relu_92,32.8568
Conv_93,313.63190000000003
Add_94,178.8621
Relu_95,122.11739999999999
Conv_96,329.201
Relu_97,32.933699999999995
Conv_98,643.1025
Relu_99,32.8784
Conv_100,310.7674
Add_101,176.73329999999999
Relu_102,123.1824
Conv_103,329.2267
Relu_104,32.7879
Conv_105,646.3525999999999
Relu_106,32.8257
Conv_107,312.393
Add_108,174.7714
Relu_109,122.28880000000001
Conv_110,330.59659999999997
Relu_111,32.979
Conv_112,649.8068000000001
Relu_113,32.8594
Conv_114,308.2727
Add_115,173.8808
Relu_116,122.2073
Conv_117,329.4402
Relu_118,33.4017
Conv_119,657.3004
Relu_120,33.2416
Conv_121,309.7781
Add_122,174.5192
Relu_123,122.2224
Conv_124,328.14070000000004
Relu_125,32.903400000000005
Conv_126,650.9467
Relu_127,32.8397
Conv_128,310.1969
Add_129,174.3955
Relu_130,122.31439999999999
Conv_131,301.1383
Relu_132,32.8359
Conv_133,643.8886
Relu_134,32.889199999999995
Conv_135,311.0835
Add_136,174.36929999999998
Relu_137,122.3267
Conv_138,331.29179999999997
Relu_139,32.7475
Conv_140,650.6646999999999
Relu_141,33.586400000000005
Conv_142,311.50840000000005
Add_143,174.1956
Relu_144,122.1315
Conv_145,327.1125
Relu_146,33.0251
Conv_147,641.9257
Relu_148,33.0282
Conv_149,312.4196
Add_150,173.99720000000002
Relu_151,122.1473
Conv_152,329.6915
Relu_153,32.8115
Conv_154,657.3331
Relu_155,32.8215
Conv_156,309.67609999999996
Add_157,174.0659
Relu_158,121.9829
Conv_159,331.8534
Relu_160,32.965900000000005
Conv_161,651.3326999999999
Relu_162,33.0667
Conv_163,312.1985
Add_164,174.08429999999998
Relu_165,123.4302
Conv_166,330.0707
Relu_167,33.6141
Conv_168,657.254
Relu_169,32.8048
Conv_170,311.76120000000003
Add_171,174.2544
Relu_172,122.7848
Conv_173,334.7215
Relu_174,32.8718
Conv_175,642.2932
Relu_176,32.829
Conv_177,311.2965
Add_178,174.11520000000002
