node,latency
Shape_0,8.1601
Gather_2,8.4325
Shape_3,9.4901
Gather_5,8.9703
Conv_6,114.001
Relu_7,39.7151
MaxPool_8,29.2883
Conv_9,19.8015
Relu_10,10.3207
Conv_11,47.8988
Relu_12,10.4149
Conv_13,48.541199999999996
Conv_14,48.182300000000005
Add_15,57.499199999999995
Relu_16,39.1856
Conv_17,49.103699999999996
Relu_18,10.215
Conv_19,47.9474
Relu_20,10.2156
Conv_21,48.5556
Add_22,57.8205
Relu_23,39.1768
Conv_24,49.408
Relu_25,10.337399999999999
Conv_26,47.9169
Relu_27,10.320799999999998
Conv_28,47.964
Add_29,57.7101
Relu_30,39.105199999999996
Conv_31,79.7752
Relu_32,21.8793
Conv_33,125.7734
Relu_34,7.0033
Conv_35,45.3701
Conv_36,80.8427
Add_37,31.3101
Relu_38,21.2863
Conv_39,60.7259
Relu_40,6.6917
Conv_41,56.761900000000004
Relu_42,6.393800000000001
Conv_43,45.9192
Add_44,31.4652
Relu_45,21.1845
Conv_46,61.0727
Relu_47,6.6846000000000005
Conv_48,56.7409
Relu_49,7.8774
Conv_50,45.774800000000006
Add_51,30.961299999999998
Relu_52,21.359299999999998
Conv_53,61.711
Relu_54,6.268
Conv_55,56.706199999999995
Relu_56,6.724399999999999
Conv_57,45.1909
Add_58,31.2177
Relu_59,21.414
Conv_60,85.74130000000001
Relu_61,10.344
Conv_62,204.2833
Relu_63,10.2663
Conv_64,151.28220000000002
Conv_65,298.7018
Add_66,60.6893
Relu_67,39.3505
Conv_68,161.4149
Relu_69,10.321
Conv_70,327.9499
Relu_71,10.3405
Conv_72,150.907
Add_73,57.835
Relu_74,39.1724
Conv_75,161.71689999999998
Relu_76,10.2657
Conv_77,328.309
Relu_78,10.209700000000002
Conv_79,151.2846
Add_80,57.7412
Relu_81,39.2691
Conv_82,161.389
Relu_83,10.307799999999999
Conv_84,327.66740000000004
Relu_85,10.274
Conv_86,151.6411
Add_87,57.8797
Relu_88,39.1464
Conv_89,161.5373
Relu_90,10.3149
Conv_91,328.5387
Relu_92,10.3254
Conv_93,150.41389999999998
Add_94,57.6095
