node,latency
Conv_1,37.0136
Relu_2,19.1613
Conv_3,287.7894
Relu_4,19.3063
Conv_5,257.471
Relu_6,268.162
MaxPool_7,32.8669
Conv_8,23.6075
Relu_9,10.76
Conv_10,123.2873
Relu_11,10.7847
Conv_12,159.9768
Conv_13,160.3268
Add_14,432.8735
Relu_15,266.8657
Conv_16,54.9972
Relu_17,10.934299999999999
Conv_18,122.7878
Relu_19,11.760299999999999
Conv_20,161.1442
Add_21,429.34709999999995
Relu_22,265.0001
Conv_23,55.973099999999995
Relu_24,10.8158
Conv_25,121.9189
Relu_26,10.8407
Conv_27,161.1655
Add_28,429.883
Relu_29,267.9031
Conv_30,107.844
Relu_31,18.8875
Conv_32,113.7416
Relu_33,7.275399999999999
Conv_34,52.9441
Conv_35,105.781
Add_36,58.9093
Relu_37,18.765700000000002
Conv_38,63.0666
Relu_39,7.3664
Conv_40,103.03989999999999
Relu_41,7.367100000000001
Conv_42,52.7488
Add_43,58.3935
Relu_44,18.7598
Conv_45,63.195800000000006
Relu_46,7.371899999999999
Conv_47,102.54169999999999
Relu_48,7.2924
Conv_49,52.5481
Add_50,58.6788
Relu_51,18.8002
Conv_52,62.9229
Relu_53,7.179399999999999
Conv_54,102.4605
Relu_55,7.2538
Conv_56,53.5525
Add_57,64.9176
Relu_58,18.650299999999998
Conv_59,96.97489999999999
Relu_60,10.8072
Conv_61,293.9906
Relu_62,10.9818
Conv_63,190.7633
Conv_64,366.9747
Add_65,405.2382
Relu_66,270.5841
Conv_67,178.1177
Relu_68,10.7741
Conv_69,297.9865
Relu_70,10.9043
Conv_71,188.86610000000002
Add_72,410.9221
Relu_73,275.2145
Conv_74,176.375
Relu_75,10.877799999999999
Conv_76,295.5423
Relu_77,10.757
Conv_78,188.2381
Add_79,429.0446
Relu_80,268.0417
Conv_81,179.3805
Relu_82,10.8789
Conv_83,292.8462
Relu_84,10.678600000000001
Conv_85,188.64270000000002
Add_86,404.6107
Relu_87,268.77320000000003
Conv_88,175.5014
Relu_89,11.1429
Conv_90,292.21070000000003
Relu_91,10.8155
Conv_92,188.5609
Add_93,430.23
Relu_94,267.2434
Conv_95,176.0368
Relu_96,10.9956
Conv_97,291.0338
Relu_98,10.7089
Conv_99,188.62429999999998
Add_100,431.4983
Relu_101,266.8065
Conv_102,179.9521
Relu_103,11.0049
Conv_104,289.7697
Relu_105,11.2095
Conv_106,188.2152
Add_107,404.5545
Relu_108,269.56690000000003
Conv_109,179.4546
Relu_110,10.743
Conv_111,290.59740000000005
Relu_112,10.9101
Conv_113,180.8555
Add_114,404.5437
Relu_115,269.6385
Conv_116,178.8413
Relu_117,10.918299999999999
Conv_118,290.998
Relu_119,10.8604
Conv_120,181.342
Add_121,410.5837
Relu_122,269.9114
Conv_123,180.942
Relu_124,10.8149
Conv_125,291.2176
Relu_126,10.7013
Conv_127,181.3606
Add_128,405.53740000000005
Relu_129,269.3635
Conv_130,177.48160000000001
Relu_131,10.8862
Conv_132,302.0892
Relu_133,10.733799999999999
Conv_134,181.2346
Add_135,405.3083
Relu_136,268.98720000000003
Conv_137,179.7466
Relu_138,10.6919
Conv_139,277.2384
Relu_140,10.8495
Conv_141,182.30270000000002
Add_142,404.2447
Relu_143,269.45340000000004
Conv_144,179.75820000000002
Relu_145,10.911200000000001
Conv_146,290.9859
Relu_147,10.784799999999999
Conv_148,181.3234
Add_149,430.8266
Relu_150,265.2826
Conv_151,181.0548
Relu_152,10.8555
Conv_153,292.3254
Relu_154,10.808200000000001
Conv_155,180.58679999999998
Add_156,406.2427
Relu_157,266.565
Conv_158,177.1951
Relu_159,10.894
Conv_160,291.6284
Relu_161,10.6753
Conv_162,181.35129999999998
Add_163,405.1657
Relu_164,267.4392
Conv_165,178.7537
Relu_166,10.891
Conv_167,288.4409
Relu_168,11.3947
Conv_169,178.1404
Add_170,414.2427
Relu_171,269.9432
Conv_172,176.5119
Relu_173,10.872
Conv_174,288.488
Relu_175,10.8431
Conv_176,178.6215
Add_177,419.85220000000004
Relu_178,266.9085
Conv_179,178.84879999999998
Relu_180,10.8414
Conv_181,298.5716
Relu_182,10.731200000000001
Conv_183,177.1475
Add_184,409.26
Relu_185,267.15040000000005
Conv_186,179.7335
Relu_187,10.966899999999999
Conv_188,288.9943
Relu_189,10.8669
Conv_190,179.03570000000002
Add_191,410.5939
Relu_192,267.3551
Conv_193,176.2095
Relu_194,10.908299999999999
Conv_195,273.6715
Relu_196,10.8734
Conv_197,178.1192
Add_198,404.9719
Relu_199,269.3841
Conv_200,178.4537
Relu_201,10.8467
Conv_202,288.4739
Relu_203,10.7209
Conv_204,176.9365
Add_205,410.86670000000004
Relu_206,271.9566
Conv_207,177.8346
Relu_208,10.9515
Conv_209,289.66859999999997
Relu_210,10.7942
Conv_211,177.1654
Add_212,428.7119
Relu_213,268.5711
Conv_214,177.0252
Relu_215,10.9642
Conv_216,291.1696
Relu_217,10.7785
Conv_218,176.4596
Add_219,430.8012
Relu_220,269.51529999999997
Conv_221,336.59459999999996
Relu_222,18.9833
Conv_223,1059.4248
Relu_224,18.0374
Conv_225,630.2981
Conv_226,1218.9276
Add_227,803.6336
Relu_228,570.5227
Conv_229,641.5228000000001
Relu_230,19.0
Conv_231,1066.4916
Relu_232,19.612
Conv_233,634.9947
Add_234,802.8173
Relu_235,565.9271
Conv_236,641.1978
Relu_237,19.1403
Conv_238,1061.3566
Relu_239,17.839599999999997
Conv_240,626.5391
Add_241,805.954
Relu_242,571.0366
GlobalAveragePool_243,271.78959999999995
Conv_244,9.8695
Relu_245,7.2987
Shape_246,8.1125
Gather_247,9.241
Shape_248,7.1203
Slice_251,7.3833
Cast_252,7.2698
Concat_253,11.546899999999999
Resize_255,35.4876
Conv_256,632.893
Relu_257,17.7539
Conv_258,5008.527
Relu_259,18.8717
Conv_260,4982.972900000001
Relu_261,19.059
Conv_262,4972.1142
Relu_263,18.7432
Concat_264,715.7035999999999
Conv_265,7058.4694
Relu_266,18.9411
Conv_267,31.685599999999997
Shape_268,7.3079
Slice_269,7.890899999999999
Concat_270,10.9704
Resize_271,128.0577
ArgMax_272,269.9985
