node,latency
Conv_1,202.6216
Relu_2,226.1885
Conv_3,591.7414
Relu_4,226.3106
Conv_5,942.2256
Relu_6,449.0386
MaxPool_7,305.9524
Conv_8,140.0433
Relu_9,115.2665
Conv_10,328.3126
Relu_11,114.9983
Conv_12,383.1193
Conv_13,382.9089
Add_14,682.6139000000001
Relu_15,448.89340000000004
Conv_16,329.7517
Relu_17,115.1761
Conv_18,328.0337
Relu_19,115.01610000000001
Conv_20,383.95090000000005
Add_21,682.5985
Relu_22,449.4334
Conv_23,331.4946
Relu_24,114.9858
Conv_25,327.8517
Relu_26,114.9019
Conv_27,382.71590000000003
Add_28,683.1784
Relu_29,449.125
Conv_30,510.80359999999996
Relu_31,226.3846
Conv_32,562.9954
Relu_33,59.464400000000005
Conv_34,283.7371
Conv_35,502.847
Add_36,343.5786
Relu_37,226.2161
Conv_38,263.41429999999997
Relu_39,59.4543
Conv_40,293.0155
Relu_41,59.6055
Conv_42,283.7792
Add_43,342.9527
Relu_44,226.2395
Conv_45,269.1003
Relu_46,59.371
Conv_47,289.64979999999997
Relu_48,59.3822
Conv_49,283.4595
Add_50,342.6955
Relu_51,227.44529999999997
Conv_52,268.0903
Relu_53,59.465300000000006
Conv_54,293.1575
Relu_55,59.6312
Conv_56,285.92990000000003
Add_57,343.1126
Relu_58,226.2571
Conv_59,500.66859999999997
Relu_60,115.4218
Conv_61,1013.0561
Relu_62,115.16189999999999
Conv_63,989.1061
Conv_64,1908.6306000000002
Add_65,682.6622
Relu_66,449.3271
Conv_67,985.9051
Relu_68,115.10910000000001
Conv_69,2145.2318
Relu_70,115.582
Conv_71,998.0791999999999
Add_72,682.6688
Relu_73,449.1522
Conv_74,1017.6656999999999
Relu_75,115.5119
Conv_76,2206.634
Relu_77,114.8725
Conv_78,996.3946
Add_79,682.3086999999999
Relu_80,449.12559999999996
Conv_81,996.2249
Relu_82,114.9628
Conv_83,2144.9792
Relu_84,114.99260000000001
Conv_85,997.1441
Add_86,682.8064
Relu_87,448.9555
Conv_88,1007.3601
Relu_89,114.99980000000001
