node,latency
Conv_1,134.9529
Relu_2,137.3172
Conv_3,415.3893
Relu_4,139.3187
Conv_5,685.5889
Relu_6,275.4817
MaxPool_7,167.2403
Conv_8,80.43469999999999
Relu_9,71.0751
Conv_10,282.99440000000004
Relu_11,71.13860000000001
Conv_12,206.78979999999999
Conv_13,210.7091
Add_14,396.0766
Relu_15,276.00890000000004
Conv_16,203.1551
Relu_17,71.03139999999999
Conv_18,279.148
Relu_19,71.30510000000001
Conv_20,206.9014
Add_21,396.4744
Relu_22,275.42609999999996
Conv_23,205.8736
Relu_24,71.2525
Conv_25,280.90090000000004
Relu_26,71.1187
Conv_27,206.8564
Add_28,396.1158
Relu_29,275.78929999999997
Conv_30,353.1436
Relu_31,139.5223
Conv_32,415.7623
Relu_33,36.6824
Conv_34,182.5882
Conv_35,352.7017
Add_36,198.82139999999998
Relu_37,139.1927
Conv_38,191.00979999999998
Relu_39,36.706900000000005
Conv_40,252.7577
Relu_41,36.758300000000006
Conv_42,182.4698
Add_43,198.923
Relu_44,139.4921
Conv_45,193.3565
Relu_46,36.7801
Conv_47,251.4866
Relu_48,36.7536
Conv_49,182.509
Add_50,198.7988
Relu_51,139.0326
Conv_52,193.69879999999998
Relu_53,36.7019
Conv_54,250.4133
Relu_55,36.7052
Conv_56,182.9932
Add_57,199.2819
Relu_58,139.3202
Conv_59,369.5335
Relu_60,70.8334
Conv_61,901.3144
Relu_62,71.0038
Conv_63,666.2628000000001
Conv_64,1202.2157
Add_65,394.6885
Relu_66,275.3615
Conv_67,702.0473000000001
Relu_68,70.80260000000001
Conv_69,1595.8431
Relu_70,70.9342
Conv_71,655.235
Add_72,394.3767
Relu_73,276.61990000000003
Conv_74,710.9746
Relu_75,71.54
Conv_76,1581.4898
Relu_77,71.10210000000001
Conv_78,655.1455
Add_79,394.6467
Relu_80,275.5161
Conv_81,702.4796
Relu_82,71.1544
Conv_83,1585.2248
Relu_84,71.00110000000001
Conv_85,651.156
Add_86,394.6444
Relu_87,275.6544
Conv_88,710.7416
Relu_89,71.4175
Conv_90,1511.9838
Relu_91,72.2633
Conv_92,651.5753000000001
Add_93,394.5924
Relu_94,275.7818
Conv_95,711.7083
Relu_96,71.66969999999999
Conv_97,1595.0803
Relu_98,71.1497
Conv_99,652.8208000000001
Add_100,394.7496
Relu_101,276.03459999999995
Conv_102,718.9176
Relu_103,71.352
Conv_104,1628.8408
Relu_105,71.06639999999999
Conv_106,651.5600999999999
Add_107,394.6218
Relu_108,275.5088
Conv_109,712.1059
Relu_110,71.2761
Conv_111,1579.8558
Relu_112,71.4413
Conv_113,661.1208
Add_114,394.9063
Relu_115,276.0895
Conv_116,705.0079000000001
Relu_117,71.68769999999999
Conv_118,1579.8961000000002
Relu_119,71.5916
Conv_120,651.5209
Add_121,394.59740000000005
Relu_122,275.54679999999996
Conv_123,718.2805999999999
Relu_124,71.6616
Conv_125,1656.728
Relu_126,71.5947
Conv_127,656.0608000000001
Add_128,394.5924
Relu_129,275.7389
Conv_130,713.3559
Relu_131,71.7162
Conv_132,1628.5399
Relu_133,71.46310000000001
Conv_134,653.0251
Add_135,394.5174
Relu_136,275.4109
Conv_137,710.4906
Relu_138,73.268
Conv_139,1697.8643
Relu_140,71.5475
Conv_141,653.8371999999999
Add_142,394.80859999999996
Relu_143,275.8803
Conv_144,708.6560999999999
Relu_145,71.5834
Conv_146,1528.1841000000002
Relu_147,72.8844
Conv_148,655.0175
Add_149,394.7189
Relu_150,275.551
Conv_151,711.3741
Relu_152,72.0665
Conv_153,1514.5394
Relu_154,71.7145
Conv_155,657.0218000000001
Add_156,394.5842
Relu_157,275.891
Conv_158,701.3542
Relu_159,73.1113
Conv_160,1513.2561
Relu_161,72.8412
Conv_162,653.5798000000001
Add_163,394.6781
Relu_164,275.6176
Conv_165,711.9765
Relu_166,71.8014
Conv_167,1606.8027
Relu_168,71.37780000000001
Conv_169,656.4599000000001
Add_170,394.6125
Relu_171,276.09229999999997
Conv_172,717.7269
Relu_173,71.5359
Conv_174,1611.9202
Relu_175,71.5348
Conv_176,657.8994
Add_177,394.4148
Relu_178,275.6626
Conv_179,711.1649
Relu_180,71.7115
Conv_181,1541.1998999999998
Relu_182,71.8931
Conv_183,652.1721
Add_184,394.53679999999997
Relu_185,276.1871
Conv_186,710.5586
Relu_187,71.5915
Conv_188,1534.0623999999998
Relu_189,71.7445
Conv_190,661.1033
Add_191,394.5532
Relu_192,275.621
Conv_193,712.5258
Relu_194,71.479
Conv_195,1625.2096000000001
Relu_196,71.9166
Conv_197,670.284
Add_198,394.785
Relu_199,275.8195
Conv_200,717.8463
Relu_201,72.593
Conv_202,1581.2295
Relu_203,73.4076
Conv_204,656.6687
Add_205,394.691
Relu_206,275.69440000000003
Conv_207,702.2207
Relu_208,71.5755
Conv_209,1627.5587
Relu_210,71.5845
Conv_211,651.4393
Add_212,394.6237
Relu_213,276.03229999999996
Conv_214,706.6798
Relu_215,71.6822
Conv_216,1662.6383
Relu_217,71.548
Conv_218,655.2516999999999
Add_219,394.6303
Relu_220,275.3846
Conv_221,1263.4146
Relu_222,139.1958
Conv_223,8489.7124
Relu_224,139.48170000000002
Conv_225,2905.3105
Conv_226,8104.2092
Add_227,775.8885
Relu_228,549.0861
Conv_229,2720.9697
Relu_230,139.36610000000002
Conv_231,8539.864599999999
Relu_232,139.1746
Conv_233,2640.8967000000002
Add_234,782.9137
Relu_235,548.9505
Conv_236,2847.0106
Relu_237,139.3605
Conv_238,8364.0934
Relu_239,138.9175
Conv_240,2632.9434
Add_241,775.4775
Relu_242,552.4536999999999
GlobalAveragePool_243,281.32390000000004
Conv_244,16.476599999999998
Relu_245,6.8312
Shape_246,7.3521
Gather_247,9.1259
Shape_248,6.6662
Slice_251,8.2451
Cast_252,8.4574
Concat_253,12.762
Resize_255,145.4041
Conv_256,2727.1877000000004
Relu_257,138.958
Conv_258,35071.1325
Relu_259,139.484
Conv_260,32552.6144
Relu_261,139.5764
Conv_262,32155.229
Relu_263,139.4151
Concat_264,683.6895
Conv_265,40752.8734
Relu_266,139.7423
Conv_267,82.1516
Shape_268,7.0815
Slice_269,8.9505
Concat_270,12.722
Resize_271,254.24179999999998
ArgMax_272,430.8778
