node,latency
Conv_1,44.3699
Relu_2,45.376599999999996
Conv_3,116.9568
Relu_4,44.219800000000006
Conv_5,225.5081
Relu_6,84.4682
MaxPool_7,59.1029
Conv_8,36.6403
Relu_9,23.7482
Conv_10,105.26339999999999
Relu_11,23.814
Conv_12,94.0171
Conv_13,94.1523
Add_14,128.6347
Relu_15,84.74610000000001
Conv_16,101.8297
Relu_17,23.5918
Conv_18,105.19839999999999
Relu_19,23.5103
Conv_20,93.89689999999999
Add_21,125.4422
Relu_22,84.8588
Conv_23,102.0212
Relu_24,23.6393
Conv_25,105.0938
Relu_26,23.5683
Conv_27,94.298
Add_28,125.5054
Relu_29,84.6402
Conv_30,169.7092
Relu_31,44.3231
Conv_32,205.62429999999998
Relu_33,13.9378
Conv_34,91.7347
Conv_35,167.85029999999998
Add_36,64.9889
Relu_37,44.2255
Conv_38,96.7913
Relu_39,11.8318
Conv_40,108.89
Relu_41,11.867799999999999
Conv_42,95.88080000000001
Add_43,65.1057
Relu_44,44.2423
Conv_45,96.67389999999999
Relu_46,12.1044
Conv_47,108.956
Relu_48,12.029
Conv_49,91.7234
Add_50,65.00959999999999
Relu_51,44.0848
Conv_52,97.24560000000001
Relu_53,12.1898
Conv_54,109.0502
Relu_55,12.2089
Conv_56,91.5128
Add_57,65.15169999999999
Relu_58,44.2104
Conv_59,185.4291
Relu_60,23.9105
Conv_61,354.875
Relu_62,23.667099999999998
Conv_63,310.4062
Conv_64,708.0456999999999
Add_65,126.609
Relu_66,84.4975
Conv_67,357.2794
Relu_68,23.8178
Conv_69,752.2090999999999
Relu_70,23.6448
Conv_71,310.02909999999997
Add_72,125.482
Relu_73,84.463
Conv_74,356.2493
Relu_75,23.7272
Conv_76,775.7888
Relu_77,23.8693
Conv_78,311.15
Add_79,125.55930000000001
Relu_80,84.5259
Conv_81,356.00690000000003
Relu_82,23.8697
Conv_83,751.0897
Relu_84,23.931
Conv_85,318.313
Add_86,125.4134
Relu_87,84.40769999999999
Conv_88,356.138
Relu_89,23.668
Conv_90,765.3946
Relu_91,23.855400000000003
Conv_92,308.2873
Add_93,125.5282
Relu_94,84.4772
Conv_95,356.1969
Relu_96,23.642799999999998
Conv_97,759.3138
Relu_98,23.834
Conv_99,311.17440000000005
Add_100,125.62519999999999
Relu_101,84.9093
Conv_102,357.3387
Relu_103,23.706799999999998
Conv_104,767.6492
Relu_105,23.7521
Conv_106,307.1477
Add_107,125.797
Relu_108,84.45139999999999
Conv_109,356.2717
Relu_110,23.629
Conv_111,759.0224000000001
Relu_112,23.7725
Conv_113,309.59990000000005
Add_114,125.3271
Relu_115,84.90639999999999
Conv_116,356.3799
Relu_117,23.833099999999998
Conv_118,758.5068
Relu_119,23.816200000000002
Conv_120,310.9482
Add_121,125.2278
Relu_122,84.6537
Conv_123,356.1826
Relu_124,23.9193
Conv_125,757.7035
Relu_126,23.786900000000003
Conv_127,313.9158
Add_128,125.1837
Relu_129,84.6183
Conv_130,356.54940000000005
Relu_131,23.673
Conv_132,758.7798
Relu_133,23.796200000000002
Conv_134,311.9856
Add_135,126.01889999999999
Relu_136,84.8793
Conv_137,356.2521
Relu_138,23.6449
Conv_139,797.5561
Relu_140,23.6615
Conv_141,315.4783
Add_142,125.3236
Relu_143,84.7545
Conv_144,356.84290000000004
Relu_145,24.394299999999998
Conv_146,751.2769000000001
Relu_147,23.6945
Conv_148,313.87129999999996
Add_149,125.2755
Relu_150,84.9045
Conv_151,356.3299
Relu_152,24.921400000000002
Conv_153,786.1888
Relu_154,23.780099999999997
Conv_155,311.26570000000004
Add_156,125.1995
Relu_157,84.4726
Conv_158,356.3154
Relu_159,23.656599999999997
Conv_160,768.1751999999999
Relu_161,23.728
Conv_162,304.85240000000005
Add_163,125.431
Relu_164,84.77539999999999
Conv_165,356.41040000000004
Relu_166,23.6941
Conv_167,758.1054
Relu_168,23.6889
Conv_169,310.1796
Add_170,125.69330000000001
Relu_171,84.48389999999999
Conv_172,357.1448
Relu_173,24.539
Conv_174,778.013
Relu_175,23.6791
Conv_176,311.8705
Add_177,125.39110000000001
Relu_178,84.5787
Conv_179,356.62940000000003
Relu_180,23.909
Conv_181,759.0771
Relu_182,23.7484
Conv_183,310.62359999999995
Add_184,125.03160000000001
Relu_185,84.4233
Conv_186,356.23879999999997
Relu_187,23.700200000000002
Conv_188,758.4345999999999
Relu_189,25.407799999999998
Conv_190,307.00840000000005
Add_191,125.27289999999999
Relu_192,84.6007
Conv_193,356.209
Relu_194,23.7873
Conv_195,782.5400999999999
Relu_196,23.7258
Conv_197,309.80409999999995
