node,latency
Conv_1,36.2098
Relu_2,18.8191
Conv_3,287.1581
Relu_4,19.0336
Conv_5,258.0046
Relu_6,263.8157
MaxPool_7,32.6563
Conv_8,23.734299999999998
Relu_9,10.904200000000001
Conv_10,122.8801
Relu_11,10.8045
Conv_12,160.6802
Conv_13,159.90820000000002
Add_14,430.6187
Relu_15,267.8029
Conv_16,54.9326
Relu_17,10.7864
Conv_18,125.6131
Relu_19,10.7249
Conv_20,160.12920000000003
Add_21,415.9113
Relu_22,264.52209999999997
Conv_23,55.828199999999995
Relu_24,10.8676
Conv_25,121.30810000000001
Relu_26,10.7074
Conv_27,160.4134
Add_28,430.8854
Relu_29,269.969
Conv_30,108.2135
Relu_31,18.9336
Conv_32,120.2776
Relu_33,7.2717
Conv_34,55.3005
Conv_35,105.74289999999999
Add_36,58.063199999999995
Relu_37,18.846
Conv_38,62.442
Relu_39,7.14
Conv_40,103.5787
Relu_41,7.1036
Conv_42,52.4531
Add_43,58.4914
Relu_44,18.6785
Conv_45,62.5433
Relu_46,7.2097
Conv_47,102.3193
Relu_48,7.1512
Conv_49,53.051
Add_50,58.288199999999996
Relu_51,18.7007
Conv_52,62.6686
Relu_53,7.2132
Conv_54,103.3432
Relu_55,7.1236999999999995
Conv_56,53.535199999999996
Add_57,64.9639
Relu_58,18.86
Conv_59,131.325
Relu_60,10.764299999999999
Conv_61,292.48220000000003
Relu_62,10.7183
Conv_63,189.47029999999998
Conv_64,365.153
Add_65,430.99309999999997
Relu_66,267.5685
Conv_67,176.086
Relu_68,10.787799999999999
Conv_69,283.7178
Relu_70,10.7705
Conv_71,187.7548
Add_72,408.54490000000004
Relu_73,267.1687
Conv_74,178.32920000000001
Relu_75,11.3062
Conv_76,295.4255
Relu_77,10.8668
Conv_78,188.31920000000002
Add_79,408.1402
Relu_80,270.893
Conv_81,177.5648
Relu_82,10.700899999999999
Conv_83,293.838
Relu_84,10.7523
Conv_85,188.9299
Add_86,407.7422
Relu_87,268.8349
Conv_88,176.8854
Relu_89,10.743799999999998
Conv_90,285.34740000000005
Relu_91,10.731200000000001
Conv_92,188.3954
Add_93,404.6904
Relu_94,269.63390000000004
Conv_95,178.92239999999998
Relu_96,10.8571
Conv_97,290.3498
Relu_98,12.4508
Conv_99,187.57379999999998
Add_100,408.6467
Relu_101,269.59959999999995
Conv_102,176.95329999999998
Relu_103,10.9149
Conv_104,283.5932
Relu_105,10.774799999999999
Conv_106,188.5406
Add_107,423.7357
Relu_108,273.827
Conv_109,180.1739
Relu_110,10.8565
Conv_111,289.40959999999995
Relu_112,10.6637
Conv_113,181.3704
Add_114,431.9028
Relu_115,270.1535
Conv_116,176.912
Relu_117,10.7433
Conv_118,291.06579999999997
Relu_119,10.8154
Conv_120,181.1676
Add_121,411.14320000000004
Relu_122,268.805
Conv_123,178.94310000000002
Relu_124,10.8635
Conv_125,298.32340000000005
Relu_126,10.8435
Conv_127,180.9986
Add_128,404.6593
Relu_129,266.956
Conv_130,179.3543
Relu_131,11.1284
Conv_132,284.101
Relu_133,10.8286
Conv_134,181.9942
Add_135,408.1123
Relu_136,270.13079999999997
Conv_137,181.1569
Relu_138,11.549299999999999
Conv_139,289.8937
Relu_140,10.7479
Conv_141,182.12279999999998
Add_142,410.0925
Relu_143,266.0193
Conv_144,181.8581
Relu_145,10.844299999999999
Conv_146,283.0464
Relu_147,10.7515
Conv_148,181.1472
Add_149,405.5783
Relu_150,267.8085
Conv_151,179.04479999999998
Relu_152,11.0853
Conv_153,284.00759999999997
Relu_154,10.986600000000001
Conv_155,182.48229999999998
Add_156,406.2889
Relu_157,265.7331
Conv_158,178.5984
Relu_159,10.7614
Conv_160,289.2061
Relu_161,10.7488
Conv_162,182.2875
Add_163,425.2315
Relu_164,269.9537
