node,latency
Conv_1,202.5305
Relu_2,226.2605
Conv_3,593.9195
Relu_4,226.25220000000002
Conv_5,934.9399000000001
Relu_6,449.0645
MaxPool_7,306.2669
Conv_8,140.2634
Relu_9,115.0617
Conv_10,327.7547
Relu_11,114.961
Conv_12,382.17440000000005
Conv_13,383.43940000000003
Add_14,682.5929
Relu_15,449.1815
Conv_16,332.3716
Relu_17,115.02289999999999
Conv_18,328.6734
Relu_19,115.166
Conv_20,381.8651
Add_21,682.6796999999999
Relu_22,449.2212
Conv_23,331.0411
Relu_24,115.3348
Conv_25,327.8461
Relu_26,115.0767
Conv_27,384.25509999999997
Add_28,683.1633
Relu_29,449.15340000000003
Conv_30,513.8429
Relu_31,226.29579999999999
Conv_32,563.5391999999999
Relu_33,59.3956
Conv_34,283.9974
Conv_35,506.1143
Add_36,343.2812
Relu_37,226.2955
Conv_38,262.5881
Relu_39,59.3901
Conv_40,291.0219
Relu_41,59.286
Conv_42,283.1725
Add_43,342.9686
Relu_44,226.1555
Conv_45,269.4908
Relu_46,59.4
Conv_47,291.8763
Relu_48,59.5622
Conv_49,282.96709999999996
Add_50,343.2861
Relu_51,226.1541
Conv_52,269.4447
Relu_53,59.4557
Conv_54,286.358
Relu_55,59.3406
Conv_56,283.9508
Add_57,343.0507
Relu_58,226.4149
Conv_59,515.1348
Relu_60,115.09689999999999
Conv_61,1009.3834
Relu_62,115.8772
Conv_63,996.9724
Conv_64,1936.8189
Add_65,682.6005
Relu_66,449.1706
Conv_67,985.3462
Relu_68,114.9517
Conv_69,2234.231
Relu_70,115.1503
Conv_71,996.316
Add_72,682.5586
Relu_73,449.08790000000005
Conv_74,989.2834
Relu_75,115.0321
Conv_76,2159.4397000000004
Relu_77,114.98110000000001
Conv_78,1013.8998
Add_79,683.0077
Relu_80,449.0621
Conv_81,982.1043000000001
Relu_82,115.0415
Conv_83,2229.501
Relu_84,115.5255
Conv_85,995.433
Add_86,682.1454
Relu_87,449.2319
Conv_88,997.0176
Relu_89,115.1749
Conv_90,2138.1207999999997
Relu_91,115.01010000000001
Conv_92,995.2941999999999
Add_93,682.944
Relu_94,449.13140000000004
Conv_95,987.8079
Relu_96,114.94630000000001
Conv_97,2253.5625
Relu_98,115.0126
Conv_99,984.7456
Add_100,682.8295
Relu_101,449.1232
Conv_102,1003.1463
Relu_103,115.0753
Conv_104,2159.5782999999997
Relu_105,115.1007
Conv_106,987.4231
Add_107,682.8185
Relu_108,449.2699
Conv_109,1032.1543000000001
Relu_110,115.2563
Conv_111,2157.9662000000003
Relu_112,115.0995
Conv_113,995.632
Add_114,683.27
Relu_115,449.14529999999996
Conv_116,997.827
Relu_117,115.2652
Conv_118,2145.9944
Relu_119,115.0077
Conv_120,984.72
Add_121,682.8968000000001
Relu_122,450.502
Conv_123,998.8578
Relu_124,114.9573
Conv_125,2234.7616000000003
Relu_126,115.1563
Conv_127,996.714
Add_128,683.0332
Relu_129,449.22240000000005
Conv_130,1009.2271999999999
Relu_131,115.0665
Conv_132,2234.3237999999997
Relu_133,115.6215
Conv_134,997.733
Add_135,683.0234
Relu_136,449.5601
Conv_137,997.4846
Relu_138,114.99560000000001
Conv_139,2255.623
Relu_140,115.0621
Conv_141,986.4507
Add_142,685.5503
Relu_143,449.11859999999996
Conv_144,1005.4375
Relu_145,115.1579
Conv_146,2253.1468999999997
Relu_147,115.14189999999999
Conv_148,995.2437
Add_149,682.4873
Relu_150,449.1515
Conv_151,997.6681
Relu_152,115.0302
Conv_153,2152.8955
Relu_154,115.1123
Conv_155,995.5327
Add_156,682.5049
Relu_157,449.65070000000003
Conv_158,1010.3176
Relu_159,115.0444
Conv_160,2151.4523
Relu_161,115.9773
Conv_162,998.8832
Add_163,682.4981
Relu_164,449.8852
Conv_165,984.3514
Relu_166,114.9273
Conv_167,2161.0724
Relu_168,115.0065
Conv_169,989.626
Add_170,682.3644
Relu_171,449.0219
Conv_172,1002.6141
Relu_173,115.08539999999999
Conv_174,2212.9352000000003
Relu_175,115.0034
Conv_176,996.35
Add_177,682.8799
Relu_178,449.04429999999996
Conv_179,1021.637
Relu_180,115.063
Conv_181,2145.1835
Relu_182,115.9196
Conv_183,984.9831999999999
Add_184,682.6723000000001
Relu_185,449.30159999999995
Conv_186,994.0629
Relu_187,114.89689999999999
Conv_188,2165.4058999999997
Relu_189,115.03710000000001
Conv_190,1011.5549
Add_191,683.7106
Relu_192,449.3145
Conv_193,983.9826999999999
Relu_194,114.9229
Conv_195,2191.0394
Relu_196,114.9868
Conv_197,1012.8093
Add_198,682.5616
Relu_199,449.53209999999996
Conv_200,1007.8764
Relu_201,114.929
Conv_202,2191.581
Relu_203,114.849
Conv_204,984.3493000000001
Add_205,682.4901
Relu_206,449.0095
Conv_207,983.6084000000001
Relu_208,115.59089999999999
Conv_209,2180.547
Relu_210,115.06389999999999
Conv_211,995.0214
Add_212,682.4866999999999
Relu_213,449.12859999999995
Conv_214,1009.6889
Relu_215,114.8968
Conv_216,2178.3817999999997
Relu_217,115.5796
Conv_218,1001.7072
Add_219,682.2138
Relu_220,449.01759999999996
Conv_221,1873.6927
Relu_222,226.5481
Conv_223,8633.4393
Relu_224,226.26379999999997
Conv_225,3945.9544
Conv_226,8765.5915
Add_227,1359.7681
