node,latency
Conv_1,131.5539
Relu_2,137.5105
Conv_3,412.6777
Relu_4,140.10670000000002
Conv_5,678.5069
Relu_6,275.7545
MaxPool_7,167.3177
Conv_8,81.137
Relu_9,71.163
Conv_10,280.28909999999996
Relu_11,71.08760000000001
Conv_12,211.4522
Conv_13,209.8448
Add_14,396.11690000000004
Relu_15,275.4176
Conv_16,203.6444
Relu_17,71.0918
Conv_18,279.4268
Relu_19,71.1545
Conv_20,207.959
Add_21,396.39979999999997
Relu_22,275.56109999999995
Conv_23,211.912
Relu_24,71.2725
Conv_25,284.5287
Relu_26,71.0518
Conv_27,210.06289999999998
Add_28,396.0875
Relu_29,275.1979
Conv_30,353.0411
Relu_31,139.35379999999998
Conv_32,417.6745
Relu_33,36.7068
Conv_34,182.679
Conv_35,352.8775
Add_36,198.9279
Relu_37,139.6536
Conv_38,193.45839999999998
Relu_39,36.7975
Conv_40,251.6719
Relu_41,36.7135
Conv_42,183.6428
Add_43,198.9805
Relu_44,139.3932
Conv_45,194.6949
Relu_46,36.6821
Conv_47,251.9514
Relu_48,36.6908
Conv_49,181.47279999999998
Add_50,198.4267
Relu_51,139.4796
Conv_52,192.4621
Relu_53,36.6588
Conv_54,251.5882
Relu_55,36.7902
Conv_56,182.35520000000002
Add_57,199.3676
Relu_58,139.0771
Conv_59,370.7331
Relu_60,71.0888
Conv_61,887.573
Relu_62,71.3719
Conv_63,663.4036
Conv_64,1204.1224
Add_65,394.62579999999997
Relu_66,275.75559999999996
Conv_67,710.5790999999999
Relu_68,71.4148
Conv_69,1664.5178999999998
Relu_70,71.2771
Conv_71,655.2154
Add_72,394.7575
Relu_73,275.8596
Conv_74,711.6908000000001
Relu_75,71.46239999999999
Conv_76,1623.0301000000002
Relu_77,71.5808
Conv_78,649.8932
Add_79,394.892
Relu_80,275.2339
Conv_81,717.803
Relu_82,72.12310000000001
Conv_83,1629.342
Relu_84,71.121
Conv_85,653.891
Add_86,395.533
Relu_87,275.5415
Conv_88,711.2171
Relu_89,71.4003
Conv_90,1540.1589
Relu_91,71.409
Conv_92,655.6026999999999
Add_93,394.7213
Relu_94,275.4463
Conv_95,711.2579000000001
Relu_96,71.2951
Conv_97,1618.0982
Relu_98,72.882
Conv_99,651.5159
Add_100,394.7091
Relu_101,281.8497
Conv_102,705.2088
Relu_103,71.61619999999999
Conv_104,1639.8933
Relu_105,71.211
Conv_106,651.5052
Add_107,394.6069
Relu_108,275.2305
Conv_109,705.4730999999999
Relu_110,71.5897
Conv_111,1514.7584
Relu_112,71.3052
Conv_113,651.3041999999999
Add_114,394.6252
Relu_115,276.0779
Conv_116,698.2661999999999
Relu_117,71.39110000000001
Conv_118,1530.9743999999998
Relu_119,71.5066
Conv_120,654.7699
Add_121,394.697
Relu_122,275.9165
Conv_123,707.6372
Relu_124,71.4563
Conv_125,1493.2989
Relu_126,71.3956
Conv_127,652.5436
Add_128,394.5711
Relu_129,276.18190000000004
Conv_130,709.4713
Relu_131,71.33139999999999
Conv_132,1644.7697
Relu_133,71.2225
Conv_134,657.0959
Add_135,394.72409999999996
Relu_136,275.8082
Conv_137,712.8569
Relu_138,71.2555
Conv_139,1616.8381000000002
Relu_140,71.35239999999999
Conv_141,656.7071
Add_142,394.79359999999997
Relu_143,275.9122
Conv_144,717.265
Relu_145,71.68730000000001
Conv_146,1556.8203999999998
Relu_147,71.2185
Conv_148,656.9715
Add_149,394.7745
Relu_150,275.7767
Conv_151,711.5226
Relu_152,72.13669999999999
Conv_153,1642.2521000000002
Relu_154,71.31739999999999
Conv_155,653.9277
Add_156,394.7236
Relu_157,276.3222
Conv_158,706.1651999999999
Relu_159,71.2227
Conv_160,1640.8121999999998
Relu_161,71.2875
Conv_162,653.5066999999999
Add_163,394.4937
Relu_164,276.89209999999997
Conv_165,704.029
Relu_166,71.32639999999999
Conv_167,1631.624
Relu_168,71.3707
Conv_169,654.3664
Add_170,394.68359999999996
Relu_171,275.4878
Conv_172,702.4642
Relu_173,71.34089999999999
Conv_174,1595.8614
Relu_175,71.2615
Conv_176,655.9411
Add_177,394.689
Relu_178,275.804
Conv_179,706.2395
Relu_180,71.2789
Conv_181,1628.3546000000001
Relu_182,71.3402
Conv_183,658.8745
Add_184,394.71520000000004
Relu_185,275.814
Conv_186,702.9395
Relu_187,72.5138
Conv_188,1579.4653999999998
Relu_189,71.4682
Conv_190,656.3409
Add_191,394.74129999999997
Relu_192,276.4003
Conv_193,702.7714
Relu_194,72.6491
Conv_195,1645.5801999999999
Relu_196,71.2375
Conv_197,653.4156999999999
Add_198,395.75329999999997
Relu_199,275.7354
Conv_200,704.31
Relu_201,71.60560000000001
Conv_202,1565.971
Relu_203,71.343
Conv_204,655.6283000000001
Add_205,394.6992
Relu_206,275.5836
Conv_207,708.1106
Relu_208,71.3295
Conv_209,1493.0257
Relu_210,71.406
Conv_211,651.95
Add_212,394.7094
Relu_213,276.181
Conv_214,703.1478000000001
Relu_215,71.2914
Conv_216,1615.747
Relu_217,71.3185
Conv_218,651.5237
Add_219,394.65709999999996
Relu_220,275.4175
Conv_221,1255.8382
Relu_222,139.5147
Conv_223,8447.6669
Relu_224,139.493
Conv_225,2597.3035
Conv_226,8242.4666
Add_227,784.2545
Relu_228,549.1698
Conv_229,2759.8669
Relu_230,139.2259
Conv_231,8553.781
Relu_232,139.372
Conv_233,2735.4329
Add_234,776.9417
Relu_235,548.978
Conv_236,2950.8657000000003
Relu_237,139.62320000000003
Conv_238,8432.5683
Relu_239,139.145
Conv_240,2678.3374
Add_241,788.4285
Relu_242,548.8335
GlobalAveragePool_243,281.253
Conv_244,17.4743
Relu_245,6.8406
Shape_246,7.3726
Gather_247,8.6584
Shape_248,8.093300000000001
Slice_251,8.0205
Cast_252,8.551200000000001
Concat_253,10.903
Resize_255,135.01979999999998
Conv_256,2703.5557999999996
Relu_257,139.4759
Conv_258,983.8616999999999
Relu_259,548.5636999999999
Conv_260,2901.6922000000004
Relu_261,139.435
Conv_262,897.1166
Relu_263,549.2385
Conv_264,2755.1225
Relu_265,139.3375
Conv_266,849.6522
Relu_267,549.345
Conv_268,2755.678
Relu_269,139.3715
Concat_270,674.9096999999999
Conv_271,28049.1575
Relu_272,139.2173
Conv_273,197.83339999999998
Relu_274,55.7119
Shape_275,7.3645
Gather_276,11.8888
Shape_277,7.481199999999999
Slice_278,8.565100000000001
Cast_279,9.6127
Concat_280,12.757100000000001
Resize_281,572.261
Concat_282,587.3025
Conv_283,673.6415
Relu_284,599.9954
Conv_285,3352.9446000000003
Relu_286,550.6728
Conv_287,612.9149
Relu_288,549.2345
Conv_289,2613.9037999999996
Relu_290,551.9457
Conv_291,281.32
Shape_292,6.8697
Slice_293,7.7047
Concat_294,11.161
Resize_295,243.1983
ArgMax_296,414.4982
