node,latency
Conv_1,44.9381
Relu_2,44.145300000000006
Conv_3,117.1017
Relu_4,44.4163
Conv_5,226.2516
Relu_6,84.4491
MaxPool_7,58.8821
Conv_8,36.6885
Relu_9,23.7035
Conv_10,105.5828
Relu_11,23.7795
Conv_12,93.72810000000001
Conv_13,94.6413
Add_14,125.679
Relu_15,84.8809
Conv_16,105.47789999999999
Relu_17,23.7142
Conv_18,104.6492
Relu_19,23.6734
Conv_20,94.281
Add_21,126.7985
Relu_22,84.75710000000001
Conv_23,101.5741
Relu_24,23.625799999999998
Conv_25,105.83619999999999
Relu_26,23.651
Conv_27,94.422
Add_28,125.5144
Relu_29,84.4611
Conv_30,172.4898
Relu_31,44.2284
Conv_32,207.664
Relu_33,11.8628
Conv_34,91.7505
Conv_35,168.3044
Add_36,65.3525
Relu_37,44.2744
Conv_38,97.40939999999999
Relu_39,11.8308
Conv_40,108.68939999999999
Relu_41,11.841700000000001
Conv_42,92.4009
Add_43,65.1474
Relu_44,44.3861
Conv_45,97.301
Relu_46,12.209200000000001
Conv_47,108.9468
Relu_48,12.1781
Conv_49,91.619
Add_50,64.9714
Relu_51,44.3687
Conv_52,97.9856
Relu_53,11.9628
Conv_54,110.35589999999999
Relu_55,12.129700000000001
Conv_56,92.6803
Add_57,65.022
Relu_58,44.2581
Conv_59,185.1744
Relu_60,23.9831
Conv_61,354.8163
Relu_62,23.7604
Conv_63,309.8304
Conv_64,693.586
Add_65,125.4242
Relu_66,84.6898
Conv_67,356.28990000000005
Relu_68,23.7957
Conv_69,758.7916
Relu_70,23.777
Conv_71,303.5381
Add_72,125.5947
Relu_73,84.63369999999999
Conv_74,356.25690000000003
Relu_75,23.6624
Conv_76,759.6476
Relu_77,23.709799999999998
Conv_78,307.3025
Add_79,125.6641
Relu_80,84.51
Conv_81,356.2635
Relu_82,23.941
Conv_83,751.2551
Relu_84,23.691
Conv_85,313.1891
Add_86,125.366
Relu_87,84.74119999999999
Conv_88,356.1386
Relu_89,24.5149
Conv_90,758.4923
Relu_91,24.164099999999998
Conv_92,302.61490000000003
Add_93,126.0958
Relu_94,84.63719999999999
Conv_95,356.4304
Relu_96,23.7558
Conv_97,761.2098000000001
Relu_98,23.8631
Conv_99,303.09270000000004
Add_100,126.2612
Relu_101,84.5454
Conv_102,356.2819
Relu_103,23.7882
Conv_104,806.8309
Relu_105,23.86
Conv_106,309.7309
Add_107,125.38419999999999
Relu_108,84.724
Conv_109,356.237
Relu_110,23.7685
Conv_111,757.2615999999999
Relu_112,23.9207
Conv_113,310.4454
Add_114,125.45739999999999
Relu_115,84.5212
Conv_116,356.8388
Relu_117,23.7263
Conv_118,759.2784
Relu_119,23.851
Conv_120,302.60790000000003
Add_121,125.0373
Relu_122,84.5928
Conv_123,356.2328
Relu_124,23.6757
Conv_125,766.6784
Relu_126,23.8855
Conv_127,302.9879
Add_128,125.2522
Relu_129,84.6244
Conv_130,356.47709999999995
Relu_131,23.7102
Conv_132,758.6007
Relu_133,23.744
Conv_134,314.6708
Add_135,125.33439999999999
Relu_136,84.70960000000001
Conv_137,357.4334
Relu_138,23.896099999999997
Conv_139,750.8528
Relu_140,23.8726
Conv_141,314.21090000000004
Add_142,125.35119999999999
Relu_143,84.6633
Conv_144,356.55109999999996
Relu_145,23.8064
Conv_146,757.4516
Relu_147,23.832
Conv_148,311.9271
Add_149,125.5171
Relu_150,84.83210000000001
Conv_151,356.6385
Relu_152,24.049
Conv_153,752.3670999999999
Relu_154,23.8023
Conv_155,309.0427
Add_156,126.64439999999999
Relu_157,85.0261
Conv_158,356.7887
Relu_159,23.6952
Conv_160,757.4276
Relu_161,23.8075
Conv_162,303.2765
Add_163,125.3656
Relu_164,84.7428
Conv_165,356.5663
Relu_166,23.698400000000003
Conv_167,767.4835
Relu_168,24.386599999999998
Conv_169,311.4371
Add_170,125.433
Relu_171,84.60719999999999
Conv_172,356.40290000000005
Relu_173,23.6994
Conv_174,775.556
Relu_175,23.7167
Conv_176,310.0915
Add_177,125.243
Relu_178,84.4797
Conv_179,356.3484
Relu_180,23.685599999999997
Conv_181,767.7348000000001
Relu_182,23.7458
Conv_183,311.9123
Add_184,125.32910000000001
Relu_185,84.70439999999999
Conv_186,356.0713
Relu_187,23.772299999999998
Conv_188,758.8548000000001
Relu_189,23.6633
Conv_190,312.0022
Add_191,125.35
Relu_192,85.4153
Conv_193,356.67159999999996
Relu_194,23.6988
Conv_195,759.795
Relu_196,23.6021
Conv_197,313.98
Add_198,125.1828
Relu_199,84.68639999999999
Conv_200,356.21290000000005
Relu_201,23.7759
Conv_202,767.4335
Relu_203,23.6508
Conv_204,302.61240000000004
Add_205,125.50919999999999
Relu_206,84.6237
Conv_207,356.0319
Relu_208,23.8208
Conv_209,750.9043
Relu_210,23.6235
Conv_211,310.9597
Add_212,125.4816
Relu_213,84.4743
Conv_214,358.784
Relu_215,23.7364
Conv_216,760.0781999999999
Relu_217,23.606
Conv_218,308.99890000000005
Add_219,125.36110000000001
Relu_220,84.9111
Conv_221,638.4279
Relu_222,44.246300000000005
Conv_223,2721.655
Relu_224,44.2067
Conv_225,1277.8953999999999
Conv_226,2478.6929
Add_227,246.82989999999998
Relu_228,165.0758
