node,latency
Conv_0,36.8426
Relu_1,18.0141
Conv_2,145.20329999999998
Relu_3,19.1517
Conv_4,261.8285
Relu_5,268.24129999999997
MaxPool_6,33.109199999999994
Conv_7,23.848
Relu_8,10.549
Conv_9,125.58139999999999
Relu_10,10.5705
Conv_11,160.216
Conv_12,159.996
Add_13,430.3438
Relu_14,267.8242
Conv_15,55.9201
Relu_16,10.7902
Conv_17,122.1611
Relu_18,10.6703
Conv_19,161.1195
Add_20,432.0194
Relu_21,268.5213
Conv_22,55.9905
Relu_23,10.803
Conv_24,121.6821
Relu_25,11.0964
Conv_26,159.9171
Add_27,429.53740000000005
Relu_28,268.7496
Conv_29,111.7915
Relu_30,18.7744
Conv_31,121.23780000000001
Relu_32,7.259600000000001
Conv_33,53.62
Conv_34,109.1754
Add_35,58.5455
Relu_36,18.877200000000002
Conv_37,63.0435
Relu_38,7.1212
Conv_39,106.4147
Relu_40,7.1723
Conv_41,52.7749
Add_42,58.6405
Relu_43,19.0663
Conv_44,63.5673
Relu_45,7.3587
Conv_46,101.34039999999999
Relu_47,7.283
Conv_48,53.8161
Add_49,59.3005
Relu_50,19.0093
Conv_51,63.3246
Relu_52,7.3656999999999995
Conv_53,101.8203
Relu_54,7.2646999999999995
Conv_55,53.5388
Add_56,64.683
Relu_57,19.1218
Conv_58,99.704
Relu_59,10.846
Conv_60,282.6321
Relu_61,10.946200000000001
Conv_62,193.0144
Conv_63,375.7397
Add_64,415.45029999999997
Relu_65,268.2429
Conv_66,180.2956
Relu_67,11.136700000000001
Conv_68,299.2981
Relu_69,10.6993
Conv_70,189.658
Add_71,429.7694
Relu_72,267.73240000000004
Conv_73,180.91279999999998
Relu_74,10.421100000000001
Conv_75,302.501
Relu_76,10.7614
Conv_77,189.521
Add_78,427.46229999999997
Relu_79,270.9466
Conv_80,180.1121
Relu_81,10.767100000000001
Conv_82,299.5017
Relu_83,10.7947
Conv_84,189.89870000000002
Add_85,405.34229999999997
Relu_86,266.5315
Conv_87,179.2861
Relu_88,11.0891
Conv_89,299.5188
Relu_90,10.8161
Conv_91,189.5196
Add_92,404.7645
Relu_93,268.6707
Conv_94,179.56210000000002
Relu_95,11.376
Conv_96,296.93059999999997
