node,latency
Conv_0,203.2909
Relu_1,226.16639999999998
Conv_2,597.1415
Relu_3,226.2354
Conv_4,947.0099
Relu_5,449.087
MaxPool_6,305.9853
Conv_7,140.4664
Relu_8,114.9652
Conv_9,327.695
Relu_10,115.0986
Conv_11,383.252
Conv_12,383.5845
Add_13,682.3948
Relu_14,449.1357
Conv_15,331.21840000000003
Relu_16,115.1139
Conv_17,327.71040000000005
Relu_18,114.90910000000001
Conv_19,385.4566
Add_20,682.5817
Relu_21,449.1904
Conv_22,330.9125
Relu_23,115.0402
Conv_24,328.0621
Relu_25,115.1545
Conv_26,382.90340000000003
Add_27,682.4771
Relu_28,448.948
Conv_29,506.9879
Relu_30,226.2502
Conv_31,562.2464
Relu_32,59.549099999999996
Conv_33,284.2187
Conv_34,504.3916
Add_35,343.1486
Relu_36,226.2044
Conv_37,266.3659
Relu_38,59.5477
Conv_39,293.22709999999995
Relu_40,59.4789
Conv_41,284.3105
Add_42,343.10159999999996
Relu_43,226.22820000000002
Conv_44,263.26759999999996
Relu_45,59.5214
Conv_46,288.967
Relu_47,59.4535
Conv_48,284.0082
Add_49,343.19440000000003
Relu_50,226.29979999999998
Conv_51,264.8388
Relu_52,59.469199999999994
Conv_53,286.91459999999995
Relu_54,59.3789
Conv_55,284.352
Add_56,343.21090000000004
Relu_57,226.2008
Conv_58,510.6636
Relu_59,114.9412
Conv_60,1009.3061
Relu_61,114.9311
Conv_62,985.9515
Conv_63,1905.2447
Add_64,682.8936
Relu_65,449.2935
Conv_66,1005.6665
Relu_67,115.0239
Conv_68,2170.9556000000002
Relu_69,114.9675
Conv_70,997.1080999999999
Add_71,682.7088
Relu_72,449.0727
Conv_73,986.5958
Relu_74,115.3852
Conv_75,2166.4485
Relu_76,114.9742
Conv_77,996.6748
Add_78,682.7532
Relu_79,449.0537
Conv_80,1007.524
Relu_81,115.50019999999999
Conv_82,2151.3784
Relu_83,116.36189999999999
Conv_84,996.9141999999999
Add_85,682.6284
Relu_86,449.015
Conv_87,1000.3307
Relu_88,115.09689999999999
Conv_89,2148.4426000000003
Relu_90,114.9846
Conv_91,997.0279
Add_92,682.1998000000001
Relu_93,449.1249
Conv_94,996.4104
Relu_95,115.647
Conv_96,2158.0407999999998
Relu_97,115.1094
Conv_98,1000.3618
Add_99,682.583
Relu_100,451.14320000000004
Conv_101,1009.3394000000001
Relu_102,115.4838
Conv_103,2156.8182
Relu_104,115.004
Conv_105,996.6445
Add_106,682.3568
Relu_107,449.318
Conv_108,1030.6756
Relu_109,115.18130000000001
Conv_110,2213.5208
Relu_111,115.1663
Conv_112,999.7535
Add_113,684.6476
Relu_114,452.6327
Conv_115,983.5739
Relu_116,115.1808
Conv_117,2181.2182000000003
Relu_118,118.0231
Conv_119,984.5498
Add_120,682.0576
Relu_121,449.0455
Conv_122,987.7096
Relu_123,115.3028
Conv_124,2164.0659
Relu_125,115.09710000000001
Conv_126,1000.8188
Add_127,682.5350999999999
Relu_128,449.0624
Conv_129,997.6383000000001
Relu_130,115.2791
Conv_131,2162.096
Relu_132,115.1267
Conv_133,1000.2425999999999
Add_134,682.817
Relu_135,449.37559999999996
Conv_136,984.0132
Relu_137,115.2727
Conv_138,2179.9416
Relu_139,115.239
Conv_140,984.7984
Add_141,682.4641
Relu_142,449.4152
Conv_143,996.6988
Relu_144,115.1809
Conv_145,2130.4822999999997
Relu_146,115.1046
Conv_147,997.9348
Add_148,682.4857
Relu_149,449.606
Conv_150,998.5617
Relu_151,115.12939999999999
Conv_152,2229.0512999999996
Relu_153,115.1203
Conv_154,1002.2249
Add_155,682.9060999999999
Relu_156,449.423
Conv_157,998.0824
Relu_158,115.0855
Conv_159,2182.784
Relu_160,115.29039999999999
Conv_161,1001.8396
Add_162,682.8629
Relu_163,449.0344
Conv_164,994.2456
Relu_165,115.023
Conv_166,2152.7644
Relu_167,115.033
Conv_168,997.8941
Add_169,682.6859000000001
Relu_170,449.1609
Conv_171,1007.3038
Relu_172,115.17830000000001
Conv_173,2151.3903
Relu_174,115.0247
Conv_175,996.25
Add_176,682.6945
Relu_177,449.04429999999996
Conv_178,996.3593000000001
Relu_179,114.9513
Conv_180,2164.6925
Relu_181,115.0126
Conv_182,997.4141
Add_183,682.595
Relu_184,449.08340000000004
Conv_185,989.6958000000001
Relu_186,115.1154
Conv_187,2257.2673
Relu_188,115.14110000000001
Conv_189,1001.7809
Add_190,682.6981999999999
Relu_191,449.2975
Conv_192,996.5747
Relu_193,114.9764
Conv_194,2183.7922999999996
Relu_195,115.00019999999999
Conv_196,985.8939
Add_197,683.2268
Relu_198,449.5097
Conv_199,986.8276
Relu_200,114.96719999999999
Conv_201,2277.8257000000003
Relu_202,115.0476
Conv_203,997.0217
Add_204,682.6099
Relu_205,449.0401
Conv_206,1007.5569
Relu_207,115.09410000000001
Conv_208,2150.8997999999997
Relu_209,115.0708
Conv_210,984.5822
Add_211,682.5095
Relu_212,449.069
Conv_213,1037.9978
Relu_214,115.1982
Conv_215,2144.2197
Relu_216,114.97210000000001
Conv_217,1018.8008000000001
Add_218,684.552
Relu_219,449.3587
Conv_220,1854.1857
Relu_221,226.48329999999999
Conv_222,8610.444300000001
Relu_223,226.38170000000002
Conv_224,4009.8842999999997
Conv_225,8836.060099999999
Add_226,1359.8481000000002
Relu_227,894.0712
Conv_228,3889.0037
Relu_229,226.421
Conv_230,8656.856699999998
Relu_231,226.3029
Conv_232,3951.1771
Add_233,1359.7247
Relu_234,894.3031
Conv_235,3767.0638
Relu_236,226.327
Conv_237,8894.6465
Relu_238,226.4169
Conv_239,3874.2508
Add_240,1361.101
Relu_241,893.7318
Conv_242,32703.699399999998
Relu_243,226.259
Shape_244,6.781
Gather_246,8.3979
Conv_247,506.6162
Unsqueeze_248,7.1579
Concat_249,14.6511
Reshape_250,119.11439999999999
Transpose_251,123.4591
Conv_252,506.44640000000004
Reshape_253,119.3967
Transpose_254,124.18360000000001
Conv_255,505.8803
Reshape_256,118.8948
ReduceMean_257,283.8071
Sub_258,115.95230000000001
ReduceMean_259,60.9416
Sub_260,118.786
MatMul_261,1869.2051999999999
Shape_262,9.0745
Gather_264,8.6317
Cast_265,7.5115
Pow_267,6.136100000000001
Div_268,913.9055
Div_270,893.0415
Softmax_271,1206.188
MatMul_272,1923.9561999999999
Transpose_273,124.6751
Gather_274,9.2989
Gather_276,7.9485
Unsqueeze_277,8.6477
Unsqueeze_278,6.9811000000000005
Concat_279,15.6429
Reshape_280,118.9644
Conv_281,127.1005
Concat_282,13.4709
Reshape_283,7.107
Softmax_284,10.8593
MatMul_285,64.1497
Transpose_286,7.984100000000001
Concat_287,17.496599999999997
Reshape_288,7.1832
Add_289,118.5428
Conv_290,496.59740000000005
Add_291,343.3533
Conv_292,5185.095
Relu_293,226.2025
Concat_294,1135.3681000000001
Conv_295,44483.644100000005
Relu_296,226.9896
Conv_297,131.6045
Shape_298,7.0926
Slice_301,8.1025
Concat_302,16.793599999999998
Resize_304,437.6978
ArgMax_305,870.8711
