node,latency
Conv_0,134.3244
Relu_1,136.3876
Conv_2,414.7648
Relu_3,139.56429999999997
Conv_4,681.6418000000001
Relu_5,275.4101
MaxPool_6,167.005
Conv_7,81.99680000000001
Relu_8,71.14110000000001
Conv_9,277.57140000000004
Relu_10,71.20339999999999
Conv_11,206.975
Conv_12,208.7928
Add_13,396.3071
Relu_14,276.0313
Conv_15,204.2196
Relu_16,71.06439999999999
Conv_17,277.77009999999996
Relu_18,72.60539999999999
Conv_19,207.6361
Add_20,396.15340000000003
Relu_21,276.5601
Conv_22,204.038
Relu_23,71.3763
Conv_24,277.3224
Relu_25,71.3714
Conv_26,206.6814
Add_27,396.0686
Relu_28,275.35490000000004
Conv_29,351.1429
Relu_30,139.4929
Conv_31,414.0654
Relu_32,36.6754
Conv_33,179.179
Conv_34,353.41970000000003
Add_35,198.8353
Relu_36,139.3038
Conv_37,192.5699
Relu_38,36.7984
Conv_39,255.13479999999998
Relu_40,36.749
Conv_41,182.1231
Add_42,198.7959
Relu_43,139.39370000000002
Conv_44,192.75060000000002
Relu_45,36.827400000000004
Conv_46,249.7252
Relu_47,36.8251
Conv_48,183.2839
Add_49,198.83620000000002
Relu_50,139.3399
Conv_51,198.8915
Relu_52,36.8567
Conv_53,251.1739
Relu_54,36.7353
Conv_55,183.4288
Add_56,199.2872
Relu_57,139.34820000000002
Conv_58,371.4929
Relu_59,70.8391
Conv_60,909.8682
Relu_61,70.9802
Conv_62,662.7565999999999
Conv_63,1205.8709
Add_64,394.7976
Relu_65,275.211
Conv_66,709.8363
Relu_67,70.6941
Conv_68,1723.5434
Relu_69,71.0705
Conv_70,656.3823000000001
Add_71,394.9508
Relu_72,275.3292
Conv_73,709.7554
Relu_74,71.0373
Conv_75,1527.8564
Relu_76,71.1722
Conv_77,651.9324
Add_78,394.4777
Relu_79,275.25640000000004
Conv_80,717.8542
Relu_81,71.02080000000001
Conv_82,1513.2523999999999
Relu_83,70.9754
Conv_84,663.5916
Add_85,394.6968
Relu_86,275.712
Conv_87,708.9415
Relu_88,71.0788
Conv_89,1526.6935
Relu_90,71.0589
Conv_91,652.7086999999999
Add_92,395.4123
Relu_93,275.4669
Conv_94,705.2359
Relu_95,71.25789999999999
Conv_96,1595.0977
Relu_97,70.8913
Conv_98,666.8141999999999
Add_99,394.587
Relu_100,276.4701
Conv_101,711.0518000000001
Relu_102,71.2765
Conv_103,1588.2341999999999
Relu_104,71.3544
Conv_105,651.6399
Add_106,394.3514
Relu_107,275.99190000000004
Conv_108,705.335
Relu_109,71.292
Conv_110,1633.4773
Relu_111,71.41669999999999
Conv_112,651.4055999999999
Add_113,394.80409999999995
Relu_114,275.3825
Conv_115,705.6405
Relu_116,71.6088
Conv_117,1637.3566
Relu_118,71.2808
Conv_119,656.849
Add_120,394.60540000000003
Relu_121,275.66909999999996
Conv_122,708.0108
Relu_123,71.6632
Conv_124,1529.9878999999999
Relu_125,71.4231
Conv_126,651.5741999999999
Add_127,394.59990000000005
Relu_128,275.2528
Conv_129,718.3333
Relu_130,72.4292
Conv_131,1579.6884
Relu_132,71.2441
Conv_133,654.5125
Add_134,394.3073
Relu_135,275.61629999999997
Conv_136,715.944
Relu_137,72.023
Conv_138,1638.3715
Relu_139,71.3337
Conv_140,654.1722
Add_141,394.395
Relu_142,275.6966
Conv_143,711.1828
Relu_144,71.3028
Conv_145,1616.233
Relu_146,71.4475
Conv_147,652.7794
Add_148,394.49129999999997
Relu_149,275.58529999999996
Conv_150,718.8588000000001
Relu_151,71.3155
Conv_152,1622.6779
Relu_153,71.7471
Conv_154,662.0971999999999
Add_155,394.3899
Relu_156,275.318
Conv_157,708.9738000000001
Relu_158,71.4255
Conv_159,1611.0323999999998
Relu_160,71.4112
Conv_161,653.3705
Add_162,394.753
Relu_163,275.7864
Conv_164,705.9695
Relu_165,71.56389999999999
Conv_166,1546.631
Relu_167,71.5312
Conv_168,656.4118000000001
Add_169,394.62190000000004
Relu_170,275.0891
Conv_171,710.9584
Relu_172,71.6129
Conv_173,1627.3161
Relu_174,71.27810000000001
Conv_175,672.735
Add_176,394.6125
Relu_177,275.37309999999997
Conv_178,700.1668000000001
Relu_179,71.4254
Conv_180,1612.9122
Relu_181,71.4254
Conv_182,656.3326
Add_183,394.9663
Relu_184,275.4101
Conv_185,702.6024
Relu_186,71.3538
Conv_187,1617.7618
Relu_188,71.3091
Conv_189,658.3428
Add_190,394.6027
Relu_191,275.6288
Conv_192,708.8844
Relu_193,71.4022
Conv_194,1623.8973
Relu_195,72.148
Conv_196,657.948
Add_197,394.7654
Relu_198,276.0839
Conv_199,701.6866
Relu_200,71.2641
Conv_201,1629.1412
Relu_202,71.8077
Conv_203,651.5461
Add_204,394.57509999999996
Relu_205,275.27979999999997
Conv_206,709.2017
Relu_207,71.49610000000001
Conv_208,1648.8325
Relu_209,71.5479
Conv_210,657.448
Add_211,399.0013
Relu_212,275.7516
Conv_213,711.5904
Relu_214,71.3725
Conv_215,1634.9125
Relu_216,71.46539999999999
Conv_217,662.9119000000001
Add_218,394.5123
Relu_219,275.59770000000003
Conv_220,1272.1283999999998
Relu_221,139.2221
Conv_222,8417.052099999999
Relu_223,139.47220000000002
Conv_224,2701.6877000000004
Conv_225,8171.0717
Add_226,788.2976
Relu_227,548.9918
Conv_228,2755.6447000000003
Relu_229,139.2378
Conv_230,8582.645199999999
Relu_231,139.0229
Conv_232,2826.8979
Add_233,772.8045
Relu_234,551.422
Conv_235,2771.1159
Relu_236,139.41060000000002
Conv_237,8377.282299999999
Relu_238,139.3536
Conv_239,2641.8842999999997
Add_240,775.1638
Relu_241,549.0261999999999
Conv_242,21926.2849
Relu_243,139.31289999999998
Shape_244,11.1129
Gather_246,10.0991
Conv_247,364.0982
Unsqueeze_248,8.0191
Concat_249,14.5645
Reshape_250,72.0693
Transpose_251,79.17960000000001
Conv_252,372.4887
Reshape_253,72.02189999999999
Transpose_254,79.6593
Conv_255,371.4189
Reshape_256,72.1314
ReduceMean_257,216.1536
Sub_258,72.2235
ReduceMean_259,35.3711
Sub_260,72.053
MatMul_261,1325.2696
Shape_262,7.2293
Gather_264,9.5525
Cast_265,7.5573999999999995
Pow_267,6.4578999999999995
Div_268,589.8271
Div_270,591.1028
Softmax_271,560.4354000000001
MatMul_272,1379.5329
Transpose_273,80.721
Gather_274,7.6579
Gather_276,8.4504
Unsqueeze_277,8.4952
Unsqueeze_278,8.4907
Concat_279,18.593400000000003
Reshape_280,72.2128
Conv_281,70.0991
Concat_282,16.9719
Reshape_283,8.6402
Softmax_284,9.3512
MatMul_285,36.602599999999995
Transpose_286,8.471200000000001
Concat_287,18.0577
Reshape_288,7.966
Add_289,72.1597
Conv_290,337.5394
Add_291,199.4805
Conv_292,5514.3838
Relu_293,139.2549
Concat_294,690.8611999999999
Conv_295,40657.0615
Relu_296,139.42020000000002
Conv_297,81.6332
Shape_298,7.1896
Slice_301,8.229700000000001
Concat_302,12.9413
Resize_304,253.0535
ArgMax_305,416.55920000000003
