node,latency
Conv_0,44.1328
Relu_1,44.671800000000005
Conv_2,116.30210000000001
Relu_3,44.854699999999994
Conv_4,228.4085
Relu_5,84.47160000000001
MaxPool_6,58.8525
Conv_7,37.6697
Relu_8,24.9399
Conv_9,105.04039999999999
Relu_10,23.659200000000002
Conv_11,93.7838
Conv_12,94.417
Add_13,125.992
Relu_14,84.8745
Conv_15,101.9902
Relu_16,23.8341
Conv_17,105.5235
Relu_18,23.654799999999998
Conv_19,93.733
Add_20,125.4925
Relu_21,85.839
Conv_22,102.29360000000001
Relu_23,23.5912
Conv_24,105.2791
Relu_25,23.6467
Conv_26,93.0993
Add_27,125.5662
Relu_28,84.99730000000001
Conv_29,174.0411
Relu_30,45.641400000000004
Conv_31,205.7659
Relu_32,12.965
Conv_33,93.8839
Conv_34,168.19910000000002
Add_35,64.87469999999999
Relu_36,44.2978
Conv_37,96.8975
Relu_38,12.0281
Conv_39,109.0935
Relu_40,11.906600000000001
Conv_41,92.5012
Add_42,65.0204
Relu_43,44.4546
Conv_44,96.80460000000001
Relu_45,11.8864
Conv_46,108.3635
Relu_47,11.937299999999999
Conv_48,91.6049
Add_49,64.7839
Relu_50,44.5211
Conv_51,97.5903
Relu_52,11.8081
Conv_53,109.2879
Relu_54,12.239799999999999
Conv_55,92.7128
Add_56,65.0966
Relu_57,44.1797
Conv_58,184.6958
Relu_59,23.809
Conv_60,354.9925
Relu_61,23.6086
Conv_62,308.7473
Conv_63,697.3643000000001
Add_64,125.5042
Relu_65,84.9739
Conv_66,356.6133
Relu_67,23.593700000000002
Conv_68,757.5975
Relu_69,23.7702
Conv_70,305.1448
Add_71,125.3592
Relu_72,84.5733
Conv_73,356.0337
Relu_74,23.7437
Conv_75,750.9323
Relu_76,23.8175
Conv_77,312.9128
Add_78,126.4617
Relu_79,84.7496
Conv_80,356.24
Relu_81,23.8753
Conv_82,767.5301
Relu_83,23.7877
Conv_84,303.046
Add_85,125.495
Relu_86,84.62589999999999
Conv_87,356.1995
Relu_88,24.7155
Conv_89,763.1972
Relu_90,23.770599999999998
Conv_91,313.83140000000003
Add_92,125.5264
Relu_93,84.5864
Conv_94,356.14279999999997
Relu_95,25.3305
Conv_96,775.9799
Relu_97,23.7082
Conv_98,311.7786
Add_99,125.4556
Relu_100,84.54
Conv_101,356.93359999999996
Relu_102,23.8543
Conv_103,767.246
Relu_104,23.825400000000002
Conv_105,309.3006
Add_106,125.5176
Relu_107,84.9187
Conv_108,356.1112
Relu_109,23.783
Conv_110,767.6687
Relu_111,23.776799999999998
Conv_112,308.7476
Add_113,125.2061
Relu_114,84.5913
Conv_115,356.1127
Relu_116,23.801099999999998
Conv_117,758.6511999999999
Relu_118,24.096400000000003
Conv_119,307.2946
Add_120,126.0741
Relu_121,84.6611
Conv_122,356.248
Relu_123,23.874200000000002
Conv_124,750.5109
Relu_125,23.7037
Conv_126,309.2529
Add_127,125.2598
Relu_128,84.7537
Conv_129,356.334
Relu_130,23.8172
Conv_131,751.0952
Relu_132,23.7509
Conv_133,311.0716
Add_134,125.174
Relu_135,84.6353
Conv_136,356.4268
Relu_137,23.9121
Conv_138,750.8109000000001
Relu_139,23.909200000000002
Conv_140,313.1829
Add_141,125.38839999999999
Relu_142,84.6154
Conv_143,356.2286
Relu_144,23.820400000000003
Conv_145,752.6579
Relu_146,23.696900000000003
Conv_147,314.9644
Add_148,125.3835
Relu_149,84.9142
Conv_150,357.00620000000004
Relu_151,23.9788
Conv_152,764.213
Relu_153,23.737299999999998
Conv_154,309.8312
Add_155,125.43910000000001
Relu_156,84.741
Conv_157,356.9638
Relu_158,23.7892
Conv_159,766.4906
Relu_160,23.7085
Conv_161,312.5484
Add_162,125.4164
Relu_163,84.8118
Conv_164,356.7837
Relu_165,23.8079
Conv_166,758.037
Relu_167,23.7396
Conv_168,312.0575
Add_169,125.53960000000001
Relu_170,85.1634
Conv_171,357.332
Relu_172,23.805400000000002
Conv_173,759.1975
Relu_174,23.794900000000002
Conv_175,306.0829
Add_176,125.0847
Relu_177,84.5126
Conv_178,356.2542
Relu_179,23.7705
Conv_180,758.7936
Relu_181,23.684
Conv_182,311.7679
Add_183,125.05239999999999
Relu_184,85.12889999999999
Conv_185,356.1377
Relu_186,23.7766
Conv_187,776.64
Relu_188,23.78
Conv_189,304.6322
Add_190,125.43169999999999
Relu_191,84.77510000000001
Conv_192,356.2137
Relu_193,23.6732
Conv_194,752.1242
Relu_195,25.7888
Conv_196,316.04720000000003
Add_197,125.1123
Relu_198,84.5967
Conv_199,356.36220000000003
Relu_200,23.9596
Conv_201,753.448
Relu_202,23.894599999999997
Conv_203,311.8297
Add_204,125.07260000000001
Relu_205,84.80069999999999
Conv_206,356.4932
Relu_207,23.7107
Conv_208,758.1514
Relu_209,23.844
Conv_210,310.1545
Add_211,125.4499
Relu_212,84.6603
Conv_213,356.398
Relu_214,23.8325
Conv_215,769.7057
Relu_216,23.8797
Conv_217,309.9769
Add_218,125.42660000000001
Relu_219,84.82910000000001
Conv_220,637.9166
Relu_221,44.6096
Conv_222,2709.7702999999997
Relu_223,44.4071
Conv_224,1280.5668999999998
Conv_225,2513.2639
Add_226,246.5058
Relu_227,165.4691
Conv_228,1260.1383999999998
Relu_229,44.4538
Conv_230,2710.7602
Relu_231,44.4982
Conv_232,1276.4198999999999
Add_233,246.4564
Relu_234,165.1225
Conv_235,1259.8753000000002
Relu_236,44.438
Conv_237,2709.5512999999996
Relu_238,44.351800000000004
Conv_239,1276.947
Add_240,246.583
Relu_241,165.5443
Conv_242,5346.75
Relu_243,44.398900000000005
Shape_244,6.6727
Gather_246,9.4242
Conv_247,184.9519
Unsqueeze_248,7.7118
Concat_249,15.7576
Reshape_250,25.7
Transpose_251,29.465
Conv_252,185.5315
Reshape_253,25.916
Transpose_254,29.4492
Conv_255,185.79489999999998
Reshape_256,25.9253
ReduceMean_257,220.2404
Sub_258,27.7455
ReduceMean_259,14.3969
Sub_260,27.5995
MatMul_261,578.1679
Shape_262,6.7123
Gather_264,10.102
Cast_265,9.2772
Pow_267,7.5951
Div_268,165.904
Div_270,165.96110000000002
Softmax_271,254.0374
MatMul_272,652.9448000000001
Transpose_273,28.9505
Gather_274,8.5254
Gather_276,9.179200000000002
Unsqueeze_277,8.322700000000001
Unsqueeze_278,7.3591999999999995
Concat_279,16.5687
Reshape_280,25.9595
Conv_281,49.9483
Concat_282,13.554799999999998
Reshape_283,7.424
Softmax_284,7.7775
MatMul_285,14.1269
Transpose_286,7.4573
Concat_287,17.028200000000002
Reshape_288,8.186300000000001
Add_289,27.7318
Conv_290,171.4136
Add_291,65.17280000000001
Conv_292,1288.3142
Relu_293,44.2384
Concat_294,212.45239999999998
Conv_295,6655.9862
Relu_296,44.337
Conv_297,54.1321
Shape_298,6.5442
Slice_301,7.6728000000000005
Concat_302,12.693200000000001
Resize_304,114.1063
ArgMax_305,202.57229999999998
