node,latency
Shape_0,8.5084
Gather_2,10.2638
Gather_4,12.6232
Sub_6,7.0939
Sub_7,6.9328
Div_9,7.1223
Cast_10,7.4397
Sub_11,7.964300000000001
Div_12,8.093300000000001
Cast_13,7.5391
Sub_14,7.0613
Unsqueeze_15,7.9878
Unsqueeze_16,9.409600000000001
Unsqueeze_17,8.0109
Unsqueeze_18,7.9857
Concat_19,19.579900000000002
Shape_21,7.570600000000001
Gather_22,8.9188
Sub_23,7.9668
Cast_24,8.0561
Concat_26,12.0212
Slice_29,7.668399999999999
Slice_33,7.7085
Slice_34,7.6175
Concat_35,12.0387
Cast_36,7.7268
Pad_38,34.764
Conv_39,645.2193000000001
Sigmoid_40,1106.5004
Mul_41,1610.6398000000002
Shape_42,7.4882
Gather_43,9.447
Gather_44,9.4504
Sub_46,6.9425
Sub_47,7.036899999999999
Div_48,6.9561
Cast_49,7.434399999999999
Sub_50,7.1282
Div_51,7.0571
Cast_52,8.403
Sub_53,7.0388
Unsqueeze_54,7.8358
Unsqueeze_55,7.8547
Unsqueeze_56,8.0383
Unsqueeze_57,8.0092
Concat_58,19.9832
Shape_59,7.434
Gather_60,8.817200000000001
Sub_61,7.32
Cast_62,7.8533
Concat_64,12.4058
Slice_65,9.233799999999999
Slice_66,7.6212
Slice_67,7.846100000000001
Concat_68,12.4397
Cast_69,7.8628
Pad_70,1131.4205
Conv_71,1126.6162
Sigmoid_72,1104.4951
Mul_73,1590.0911
GlobalAveragePool_74,594.9415
Conv_75,7.7556
Sigmoid_76,6.9751
Mul_77,6.9855
Conv_78,7.5179
Sigmoid_79,6.831
Mul_80,1102.6843000000001
Conv_81,739.0174000000001
Shape_82,7.3438
Gather_83,9.9043
Gather_84,8.683
Sub_85,7.0408
Sub_86,7.0337
Div_87,7.003100000000001
Cast_88,7.297899999999999
Sub_89,7.048
Div_90,7.0507
Cast_91,7.181
Sub_92,7.440600000000001
Unsqueeze_93,7.8049
Unsqueeze_94,7.949
Unsqueeze_95,7.9133000000000004
Unsqueeze_96,7.9192
Concat_97,19.3198
Shape_98,7.1395
Gather_99,9.864600000000001
Sub_100,7.4196
Cast_101,7.7842
Concat_103,11.94
Slice_104,7.5294
Slice_105,7.6467
Slice_106,7.5701
Concat_107,11.742799999999999
Cast_108,7.8123000000000005
Pad_109,506.0408
Conv_110,503.7815
Sigmoid_111,496.37140000000005
Mul_112,700.1103
GlobalAveragePool_113,325.7567
Conv_114,7.648
Sigmoid_115,6.9327
Mul_116,11.3962
Conv_117,7.5205
Sigmoid_118,7.3302
Mul_119,496.8065
Conv_120,493.61359999999996
Add_121,703.7141
Shape_122,7.2736
Gather_123,9.4551
Gather_124,9.4776
Sub_125,7.0136
Sub_126,6.9841999999999995
Div_127,7.8756
Cast_128,7.3096000000000005
Sub_129,7.0218
Div_130,7.0038
Cast_131,7.739199999999999
Sub_132,7.0918
