node,latency
Shape_0,7.2681000000000004
Gather_2,7.62
Gather_4,8.302200000000001
Sub_6,6.235600000000001
Sub_7,6.4386
Div_9,6.187399999999999
Cast_10,7.0185
Sub_11,7.1213999999999995
Div_12,6.8401000000000005
Cast_13,6.6271
Sub_14,6.2199
Unsqueeze_15,7.0648
Unsqueeze_16,7.2198
Unsqueeze_17,7.073600000000001
Unsqueeze_18,7.0682
Concat_19,16.2167
Shape_21,6.9182
Gather_22,7.6357
Sub_23,6.6483
Cast_24,6.634
Concat_26,12.6927
Slice_29,7.0682
Slice_33,7.4796000000000005
Slice_34,6.9418
Concat_35,11.7484
Cast_36,6.6686000000000005
Pad_38,293.9493
Conv_39,1414.216
Sigmoid_40,1729.0141999999998
Mul_41,2641.151
Shape_42,6.1457
Gather_43,8.2049
Gather_44,9.082
Sub_46,7.803
Sub_47,7.4765
Div_48,7.2714
Cast_49,7.1064
Sub_50,6.7126
Div_51,6.7346
Cast_52,6.9967
Sub_53,6.9996
Unsqueeze_54,8.976899999999999
Unsqueeze_55,7.9197
Unsqueeze_56,9.058399999999999
Unsqueeze_57,7.9381
Concat_58,18.9832
Shape_59,8.7627
Gather_60,7.4613000000000005
Sub_61,6.3049
Cast_62,7.2414
Concat_64,10.262
Slice_65,6.7765
Slice_66,7.1036
Slice_67,6.842899999999999
Concat_68,10.6685
Cast_69,6.5036000000000005
Pad_70,1742.9665
Conv_71,2227.4617000000003
Sigmoid_72,1728.2236
Mul_73,2640.7594
GlobalAveragePool_74,994.5378000000001
Conv_75,6.6783
Sigmoid_76,6.609100000000001
Mul_77,6.2197
Conv_78,6.6295
Sigmoid_79,6.935899999999999
Mul_80,1733.8791999999999
Conv_81,1329.263
Shape_82,8.4501
Gather_83,7.9666999999999994
Gather_84,8.723799999999999
Sub_85,6.4425
Sub_86,5.9162
Div_87,6.0664
Cast_88,6.420100000000001
Sub_89,5.9835
Div_90,7.0915
Cast_91,6.3309
Sub_92,6.0371999999999995
Unsqueeze_93,6.8241000000000005
Unsqueeze_94,7.8976999999999995
Unsqueeze_95,6.789899999999999
Unsqueeze_96,6.9157
Concat_97,18.689
Shape_98,6.3072
Gather_99,7.971
Sub_100,6.7091
Cast_101,6.3426
Concat_103,9.3762
Slice_104,6.3677
Slice_105,6.4738
Slice_106,6.4611
Concat_107,13.2235
Cast_108,6.4095
Pad_109,776.8643000000001
Conv_110,967.7518
Sigmoid_111,770.4376
Mul_112,1171.7364
GlobalAveragePool_113,497.878
Conv_114,6.6799
Sigmoid_115,6.5844
Mul_116,9.9457
Conv_117,6.7786
Sigmoid_118,6.695399999999999
Mul_119,773.1104
Conv_120,831.5409000000001
Add_121,1171.6595
Shape_122,6.8871
Gather_123,8.3032
Gather_124,8.0869
Sub_125,5.9976
Sub_126,6.0371999999999995
Div_127,5.8778999999999995
Cast_128,6.6567
Sub_129,6.1704
Div_130,6.2045
Cast_131,6.4388000000000005
Sub_132,5.9986999999999995
Unsqueeze_133,7.0638000000000005
Unsqueeze_134,8.8994
Unsqueeze_135,6.7757
Unsqueeze_136,6.9738
Concat_137,15.126700000000001
Shape_138,7.196899999999999
Gather_139,7.5503
Sub_140,6.4332
Cast_141,7.1101
Concat_143,10.0991
Slice_144,9.3738
Slice_145,6.1414
Slice_146,6.8855
Concat_147,11.8269
Cast_148,6.3389
Pad_149,776.5555
Conv_150,959.3894
Sigmoid_151,770.4724
Mul_152,1171.3573000000001
GlobalAveragePool_153,499.1357
Conv_154,6.521100000000001
Sigmoid_155,6.837
Mul_156,9.6264
Conv_157,6.2545
Sigmoid_158,7.230300000000001
Mul_159,773.0517
Conv_160,831.0282
Add_161,1176.7545
Shape_162,6.9125
Gather_163,9.5379
Gather_164,9.1925
Sub_165,6.031
Sub_166,6.6247
Div_167,6.046
Cast_168,6.4692
Sub_169,5.9671
Div_170,6.007
Cast_171,6.476
Sub_172,5.9157
Unsqueeze_173,6.9111
Unsqueeze_174,11.505700000000001
Unsqueeze_175,6.8422
