node,latency
Shape_0,8.059
Gather_2,8.912799999999999
Gather_4,11.0398
Sub_6,7.2625
Sub_7,6.822
Div_9,6.583699999999999
Cast_10,7.4121999999999995
Sub_11,7.7894
Div_12,8.4005
Cast_13,7.8013
Sub_14,7.1417
Unsqueeze_15,7.829
Unsqueeze_16,8.488
Unsqueeze_17,8.3494
Unsqueeze_18,8.476899999999999
Concat_19,19.933799999999998
Shape_21,7.088100000000001
Gather_22,11.9686
Sub_23,7.4197
Cast_24,7.595899999999999
Concat_26,11.516
Slice_29,7.1156999999999995
Slice_33,7.2817
Slice_34,7.1486
Concat_35,11.65
Cast_36,7.6841
Pad_38,181.25570000000002
Conv_39,782.8960999999999
Sigmoid_40,1064.8338999999999
Mul_41,1527.1289
Shape_42,6.9547
Gather_43,8.9722
Gather_44,10.351
Sub_46,6.5968
Sub_47,6.9554
Div_48,7.0161999999999995
Cast_49,7.3407
Sub_50,6.8623
Div_51,6.8835
Cast_52,7.7395
Sub_53,6.4813
Unsqueeze_54,7.7365
Unsqueeze_55,9.311200000000001
Unsqueeze_56,7.7524
Unsqueeze_57,7.5468
Concat_58,18.004
Shape_59,6.619
Gather_60,8.2695
Sub_61,8.8225
Cast_62,7.543100000000001
Concat_64,10.8126
Slice_65,7.068
Slice_66,6.8866000000000005
Slice_67,9.3849
Concat_68,11.5082
Cast_69,7.626399999999999
Pad_70,1080.2721999999999
Conv_71,1324.7402
Sigmoid_72,1061.2506
Mul_73,1525.5136
GlobalAveragePool_74,603.2529000000001
Conv_75,7.4336
Sigmoid_76,6.7906
Mul_77,6.6535
Conv_78,7.1968000000000005
Sigmoid_79,7.1926000000000005
Mul_80,1066.0376
Conv_81,773.5285
Shape_82,6.0828
Gather_83,8.6791
Gather_84,10.3271
Sub_85,6.4961
Sub_86,7.0871
Div_87,6.7375
Cast_88,7.752800000000001
Sub_89,6.262
Div_90,6.5091
Cast_91,7.0728
Sub_92,6.6398
Unsqueeze_93,13.187100000000001
Unsqueeze_94,7.2858
Unsqueeze_95,7.1648000000000005
Unsqueeze_96,8.1584
Concat_97,19.637900000000002
Shape_98,6.4737
Gather_99,8.8649
Sub_100,8.338
Cast_101,7.1841
Concat_103,10.6155
Slice_104,6.6928
Slice_105,6.3746
Slice_106,7.3011
Concat_107,10.1648
Cast_108,7.1395
Pad_109,480.9398
Conv_110,631.6460999999999
Sigmoid_111,472.9187
Mul_112,677.6609
GlobalAveragePool_113,338.0337
Conv_114,7.4982
Sigmoid_115,7.595
Mul_116,13.1314
Conv_117,8.363
Sigmoid_118,6.051399999999999
Mul_119,473.8974
Conv_120,522.5928
Add_121,677.4909
Shape_122,6.6362
Gather_123,8.980799999999999
Gather_124,8.7225
Sub_125,6.4531
Sub_126,6.5393
Div_127,7.1813
Cast_128,7.0055
Sub_129,6.5265
Div_130,7.0106
Cast_131,7.9795
Sub_132,6.882
Unsqueeze_133,8.3457
Unsqueeze_134,7.565600000000001
Unsqueeze_135,7.6221000000000005
Unsqueeze_136,7.5491
Concat_137,19.313299999999998
Shape_138,6.7377
Gather_139,7.7866
Sub_140,7.518
Cast_141,7.1588
Concat_143,10.7612
Slice_144,7.836600000000001
Slice_145,7.3344
Slice_146,8.4835
Concat_147,11.7625
Cast_148,7.11
Pad_149,480.9879
Conv_150,630.111
Sigmoid_151,473.2339
Mul_152,677.6661
GlobalAveragePool_153,337.3248
Conv_154,7.7198
Sigmoid_155,6.8871
Mul_156,10.909
Conv_157,7.5361
Sigmoid_158,9.5776
Mul_159,470.2345
Conv_160,522.208
Add_161,677.7166
Shape_162,7.1908
Gather_163,8.370700000000001
Gather_164,12.0023
Sub_165,6.6965
Sub_166,7.6899
Div_167,7.6055
Cast_168,7.4928
Sub_169,6.9182
Div_170,6.6122
Cast_171,7.5032
Sub_172,6.9916
Unsqueeze_173,10.5499
Unsqueeze_174,8.0138
Unsqueeze_175,8.2979
Unsqueeze_176,8.440299999999999
Concat_177,18.005599999999998
