node,latency
Shape_0,7.9052
Gather_2,7.8488
Gather_4,8.4947
Sub_6,7.2813
Sub_7,6.9222
Div_9,7.2714
Cast_10,6.7932
Sub_11,8.3147
Div_12,6.459899999999999
Cast_13,6.6967
Sub_14,6.5071
Unsqueeze_15,7.2683
Unsqueeze_16,14.5225
Unsqueeze_17,7.231199999999999
Unsqueeze_18,7.3214
Concat_19,19.9547
Shape_21,6.6536
Gather_22,7.7489
Sub_23,6.915100000000001
Cast_24,7.199
Concat_26,11.5286
Slice_29,7.605
Slice_33,6.9478
Slice_34,6.7163
Concat_35,10.062700000000001
Cast_36,8.2676
Pad_38,73.9234
Conv_39,316.6715
Sigmoid_40,316.84659999999997
Mul_41,475.03159999999997
Shape_42,8.5633
Gather_43,8.7317
Gather_44,9.0172
Sub_46,7.027
Sub_47,7.2432
Div_48,6.9643999999999995
Cast_49,6.7905
Sub_50,6.801
Div_51,6.6395
Cast_52,8.810799999999999
Sub_53,7.043399999999999
Unsqueeze_54,7.603800000000001
Unsqueeze_55,7.5009
Unsqueeze_56,7.4755
Unsqueeze_57,7.2698
Concat_58,17.9969
Shape_59,6.6144
Gather_60,8.0167
Sub_61,8.617
Cast_62,7.2923
Concat_64,11.299
Slice_65,6.8825
Slice_66,6.9797
Slice_67,6.7416
Concat_68,10.308200000000001
Cast_69,8.429
Pad_70,367.8009
Conv_71,411.0482
Sigmoid_72,316.7127
Mul_73,475.3166
GlobalAveragePool_74,309.204
Conv_75,7.0362
Sigmoid_76,7.0733999999999995
Mul_77,7.1455
Conv_78,6.8477
Sigmoid_79,8.914399999999999
Mul_80,363.1233
Conv_81,267.733
Shape_82,7.0746
Gather_83,8.6913
Gather_84,8.475200000000001
Sub_85,7.0131000000000006
Sub_86,7.016
Div_87,6.5579
Cast_88,6.7062
Sub_89,7.0424
Div_90,6.5062
Cast_91,6.8698999999999995
Sub_92,7.3048
Unsqueeze_93,8.122300000000001
Unsqueeze_94,11.3111
Unsqueeze_95,8.0829
Unsqueeze_96,8.3344
Concat_97,17.454099999999997
Shape_98,7.1129
Gather_99,7.9323999999999995
Sub_100,7.1966
Cast_101,6.8648
Concat_103,13.6968
Slice_104,7.0027
Slice_105,7.0605
Slice_106,7.0473
Concat_107,12.930200000000001
Cast_108,6.7073
Pad_109,165.2254
Conv_110,185.7905
Sigmoid_111,143.6298
Mul_112,213.1633
GlobalAveragePool_113,260.7411
Conv_114,6.7693
Sigmoid_115,6.8408999999999995
Mul_116,6.7277
Conv_117,7.2278
Sigmoid_118,8.8026
Mul_119,163.9455
Conv_120,169.9828
Add_121,213.0257
Shape_122,6.9677
Gather_123,9.1822
Gather_124,8.5557
Sub_125,6.603800000000001
Sub_126,6.4247
Div_127,6.3086
Cast_128,7.0756000000000006
Sub_129,9.370299999999999
Div_130,7.9212
Cast_131,7.0054
Sub_132,6.5378
Unsqueeze_133,7.2565
Unsqueeze_134,7.319
Unsqueeze_135,7.2702
Unsqueeze_136,7.2417
Concat_137,18.5517
Shape_138,6.611
Gather_139,7.9269
Sub_140,7.4708000000000006
Cast_141,6.8389
Concat_143,11.750200000000001
Slice_144,7.106199999999999
Slice_145,7.0501000000000005
Slice_146,7.0065
Concat_147,11.463299999999998
Cast_148,7.739199999999999
Pad_149,165.1969
Conv_150,185.1838
Sigmoid_151,143.00570000000002
Mul_152,213.0433
GlobalAveragePool_153,262.1775
Conv_154,7.1383
Sigmoid_155,8.0723
Mul_156,10.677100000000001
Conv_157,7.0097
Sigmoid_158,6.488
Mul_159,163.805
Conv_160,170.3491
Add_161,213.5849
Shape_162,7.6631
Gather_163,9.1336
Gather_164,8.1455
Sub_165,6.339899999999999
Sub_166,6.4343
Div_167,6.226100000000001
Cast_168,6.7008
Sub_169,6.2197
Div_170,6.272
Cast_171,6.6662
Sub_172,6.3275
Unsqueeze_173,7.6116
Unsqueeze_174,7.599600000000001
Unsqueeze_175,7.5458
Unsqueeze_176,7.2403
Concat_177,18.3275
Shape_178,7.3629
Gather_179,8.0265
Sub_180,7.011100000000001
Cast_181,7.151
Concat_183,10.215200000000001
Slice_184,7.173
Slice_185,8.616100000000001
Slice_186,7.7997
Concat_187,11.0075
Cast_188,6.7883000000000004
Pad_189,165.3413
Conv_190,186.00310000000002
Sigmoid_191,142.88170000000002
Mul_192,213.032
GlobalAveragePool_193,262.1309
Conv_194,7.464
Sigmoid_195,7.7109
Mul_196,11.059
Conv_197,8.6927
Sigmoid_198,7.5106
Mul_199,163.9026
Conv_200,170.17510000000001
Add_201,213.0358
Conv_202,658.9683
Sigmoid_203,836.5689
Mul_204,1264.5901999999999
Shape_205,6.9051
Gather_206,9.5755
Gather_207,8.8116
Sub_209,6.513
Sub_210,6.2628
Div_211,6.2118
Cast_212,7.0557
Sub_213,8.345600000000001
Div_214,6.3228
Cast_215,7.1153
