node,latency
Conv_0,37.178599999999996
Relu_1,19.0269
Conv_2,147.0753
Relu_3,19.228900000000003
Conv_4,263.0324
Relu_5,267.7305
MaxPool_6,33.259800000000006
Conv_7,23.793
Relu_8,10.889700000000001
Conv_9,126.0414
Relu_10,10.7083
Conv_11,159.9462
Conv_12,160.11370000000002
Add_13,429.2795
Relu_14,269.0194
Conv_15,56.5848
Relu_16,10.9601
Conv_17,125.8145
Relu_18,10.9248
Conv_19,160.7754
Add_20,428.5957
Relu_21,270.1683
Conv_22,56.5045
Relu_23,10.287600000000001
Conv_24,122.2457
Relu_25,10.9409
Conv_26,160.8764
Add_27,413.3463
Relu_28,265.242
Conv_29,111.8978
Relu_30,19.2037
Conv_31,121.5799
Relu_32,7.158399999999999
Conv_33,53.6103
Conv_34,110.6177
Add_35,58.6818
Relu_36,18.030099999999997
Conv_37,63.2104
Relu_38,7.507
Conv_39,102.7188
Relu_40,7.2955
Conv_41,53.820699999999995
Add_42,58.9101
Relu_43,18.9191
Conv_44,63.791
Relu_45,7.3134
Conv_46,106.6689
Relu_47,7.231199999999999
Conv_48,53.219300000000004
Add_49,58.2391
Relu_50,19.2279
Conv_51,63.2359
Relu_52,7.3391
Conv_53,101.4409
Relu_54,7.3906
Conv_55,53.939699999999995
Add_56,64.588
Relu_57,19.0593
Conv_58,98.164
Relu_59,10.3741
Conv_60,282.39570000000003
Relu_61,10.9284
Conv_62,192.6439
Conv_63,374.6398
Add_64,405.0634
Relu_65,269.9128
Conv_66,182.7385
Relu_67,10.75
Conv_68,310.6795
Relu_69,10.7458
Conv_70,189.2078
Add_71,405.3704
Relu_72,268.1112
Conv_73,179.7912
Relu_74,10.854299999999999
Conv_75,301.58790000000005
Relu_76,11.1519
Conv_77,189.6705
Add_78,406.491
Relu_79,267.877
Conv_80,180.2701
Relu_81,11.1608
Conv_82,283.3873
Relu_83,10.970600000000001
Conv_84,189.85520000000002
Add_85,430.415
Relu_86,267.85290000000003
Conv_87,182.60670000000002
Relu_88,10.9296
Conv_89,298.0744
Relu_90,10.718
Conv_91,189.3232
Add_92,410.446
Relu_93,269.8548
Conv_94,180.6237
Relu_95,12.139299999999999
Conv_96,283.0864
Relu_97,10.8321
Conv_98,189.711
Add_99,405.0539
Relu_100,269.0522
Conv_101,180.602
Relu_102,11.1444
Conv_103,287.5046
Relu_104,10.5775
Conv_105,189.5901
Add_106,426.41990000000004
Relu_107,268.7652
Conv_108,180.97420000000002
Relu_109,10.859
Conv_110,296.721
Relu_111,10.802700000000002
Conv_112,184.7456
Add_113,410.21909999999997
Relu_114,267.37359999999995
Conv_115,183.7454
Relu_116,10.942200000000001
Conv_117,296.3075
Relu_118,10.8104
Conv_119,182.69039999999998
Add_120,429.28490000000005
Relu_121,269.09659999999997
Conv_122,180.6215
Relu_123,10.5637
Conv_124,297.2278
Relu_125,10.8066
Conv_126,182.75539999999998
Add_127,417.4434
Relu_128,266.84659999999997
Conv_129,182.1947
Relu_130,12.3377
Conv_131,286.1947
Relu_132,10.7222
Conv_133,184.2555
Add_134,415.9049
Relu_135,266.8629
Conv_136,184.9916
Relu_137,11.014700000000001
Conv_138,295.15590000000003
Relu_139,10.747
Conv_140,183.749
Add_141,412.66790000000003
Relu_142,269.0025
Conv_143,181.31470000000002
Relu_144,10.7708
Conv_145,281.3122
Relu_146,10.744399999999999
Conv_147,184.1201
Add_148,417.9137
Relu_149,268.8497
Conv_150,180.42829999999998
Relu_151,11.007100000000001
Conv_152,288.71459999999996
Relu_153,10.7226
Conv_154,182.96720000000002
Add_155,407.1519
Relu_156,268.20640000000003
Conv_157,180.142
Relu_158,10.8056
Conv_159,280.5245
Relu_160,10.7439
Conv_161,182.9182
Add_162,427.6304
Relu_163,267.5173
Conv_164,181.0995
Relu_165,10.9893
Conv_166,300.7136
Relu_167,10.7179
Conv_168,178.2487
Add_169,406.4828
Relu_170,270.20959999999997
Conv_171,180.2163
Relu_172,10.975100000000001
Conv_173,278.3505
Relu_174,10.7595
Conv_175,179.8526
Add_176,405.6587
Relu_177,269.3375
Conv_178,182.537
Relu_179,10.8568
Conv_180,295.20709999999997
Relu_181,10.4209
Conv_182,179.8275
Add_183,427.4813
Relu_184,266.7395
Conv_185,178.9641
Relu_186,10.985700000000001
Conv_187,280.0339
Relu_188,10.905899999999999
Conv_189,179.8988
Add_190,413.2162
Relu_191,266.5437
Conv_192,178.3117
Relu_193,10.873
Conv_194,284.9735
Relu_195,10.753
Conv_196,179.3876
Add_197,406.209
Relu_198,268.2206
Conv_199,180.7786
Relu_200,10.74
Conv_201,292.72
Relu_202,10.8338
Conv_203,178.49779999999998
Add_204,412.1078
Relu_205,267.718
Conv_206,182.39939999999999
Relu_207,10.8105
Conv_208,279.64320000000004
Relu_209,11.1825
Conv_210,178.85139999999998
Add_211,431.8497
Relu_212,266.7735
Conv_213,179.9867
Relu_214,10.951799999999999
Conv_215,281.9006
Relu_216,11.2275
Conv_217,178.9875
Add_218,403.6723
Relu_219,269.9728
Conv_220,344.97909999999996
Relu_221,19.1887
Conv_222,1047.8374000000001
Relu_223,19.0422
Conv_224,640.936
Conv_225,1243.9631000000002
Add_226,814.1105
Relu_227,567.1559
Conv_228,656.7366999999999
Relu_229,17.9154
Conv_230,1060.6046999999999
Relu_231,19.3625
Conv_232,648.014
Add_233,806.2654
Relu_234,567.5025
Conv_235,653.259
Relu_236,19.1214
Conv_237,1052.3161
Relu_238,19.085900000000002
Conv_239,639.1038000000001
Add_240,807.9617
Relu_241,569.2153000000001
Conv_242,5415.2258
Relu_243,18.968
Conv_244,188.9785
Shape_245,7.2318999999999996
Gather_247,9.363
Gather_249,8.698
Gather_251,10.2404
Gather_253,10.3392
Mul_254,7.1049
Unsqueeze_255,7.985600000000001
Unsqueeze_256,8.0105
Unsqueeze_257,7.8586
Concat_258,15.9045
Reshape_259,19.2132
Concat_260,15.5236
Shape_261,8.3464
Expand_263,7.3253
Tile_264,7.6525
Transpose_265,29.2293
MatMul_266,28.790599999999998
Softmax_267,16.888900000000003
ReduceL1_268,105.79260000000001
Clip_269,6.9204
Shape_270,7.3934
Expand_271,7.522399999999999
Div_272,7.5091
MatMul_273,30.443
ReduceL2_274,28.7167
Clip_275,6.985399999999999
Shape_276,7.302899999999999
Expand_277,7.339899999999999
Div_278,7.251
MatMul_279,29.6865
Softmax_280,17.0344
ReduceL1_281,106.4591
Clip_282,6.8599
Shape_283,7.0778
Expand_284,7.6072
Div_285,7.3546000000000005
MatMul_286,28.8807
ReduceL2_287,28.663400000000003
Clip_288,6.780399999999999
Shape_289,7.3955
Expand_290,7.4822
Div_291,7.2726999999999995
MatMul_292,28.8505
Softmax_293,17.021900000000002
ReduceL1_294,106.29560000000001
Clip_295,7.778899999999999
Shape_296,7.3713999999999995
Expand_297,7.5611999999999995
Div_298,7.410699999999999
MatMul_299,29.0217
ReduceL2_300,28.721799999999998
Clip_301,6.8739
Shape_302,7.3629
Expand_303,7.4634
Div_304,7.268
Transpose_305,13.7879
MatMul_306,25.7803
Unsqueeze_307,9.537700000000001
Unsqueeze_308,7.9675
Concat_309,19.181
Reshape_310,18.9343
Relu_311,18.859099999999998
Conv_312,182.7369
Add_313,55.869
Relu_314,18.904799999999998
Conv_315,582.3883000000001
Relu_316,10.9728
Concat_317,651.8053000000001
Conv_318,3326.7437999999997
Relu_319,10.9774
Conv_320,18.6962
Shape_321,8.126199999999999
Slice_324,8.0319
Concat_325,11.7218
Resize_327,125.43589999999999
ArgMax_328,270.047
