node,latency
Conv_0,204.3448
Relu_1,226.16029999999998
Conv_2,594.0015
Relu_3,226.1447
Conv_4,938.4445999999999
Relu_5,449.01340000000005
MaxPool_6,305.8482
Conv_7,141.6439
Relu_8,115.0393
Conv_9,327.1102
Relu_10,114.94630000000001
Conv_11,382.2642
Conv_12,382.9184
Add_13,683.3051999999999
Relu_14,449.09409999999997
Conv_15,332.3141
Relu_16,114.9677
Conv_17,327.8275
Relu_18,115.13419999999999
Conv_19,384.541
Add_20,682.559
Relu_21,449.22429999999997
Conv_22,333.3748
Relu_23,115.2506
Conv_24,327.6633
Relu_25,114.8486
Conv_26,383.1777
Add_27,682.6437
Relu_28,449.1826
Conv_29,508.35409999999996
Relu_30,226.3935
Conv_31,561.7674000000001
Relu_32,59.4706
Conv_33,283.9494
Conv_34,503.4622
Add_35,342.65
Relu_36,226.30720000000002
Conv_37,262.75579999999997
Relu_38,59.6847
Conv_39,289.8152
Relu_40,59.4016
Conv_41,287.243
Add_42,342.9883
Relu_43,226.3088
Conv_44,262.679
Relu_45,59.501400000000004
Conv_46,293.3245
Relu_47,59.7637
Conv_48,284.36670000000004
Add_49,344.1123
Relu_50,226.2653
Conv_51,263.5648
Relu_52,59.2765
Conv_53,290.57390000000004
Relu_54,59.445
Conv_55,283.4368
Add_56,342.761
Relu_57,227.3826
Conv_58,509.668
Relu_59,115.0648
Conv_60,1007.6474000000001
Relu_61,114.90480000000001
Conv_62,995.9137
Conv_63,1909.2792
Add_64,682.3066
Relu_65,449.5163
Conv_66,1014.1516
Relu_67,115.10560000000001
Conv_68,2144.5981
Relu_69,114.9932
Conv_70,985.5476
Add_71,682.5091
Relu_72,449.214
Conv_73,983.7323
Relu_74,115.0165
Conv_75,2164.1564
Relu_76,115.0527
Conv_77,999.5181
Add_78,682.5611
Relu_79,449.1953
Conv_80,995.5903000000001
Relu_81,114.9906
Conv_82,2152.6246
Relu_83,114.9542
Conv_84,985.9864
Add_85,682.5065
Relu_86,449.0342
Conv_87,1018.4875
Relu_88,114.9473
Conv_89,2155.8676
Relu_90,115.0552
Conv_91,986.5446999999999
Add_92,682.6728
Relu_93,448.94259999999997
Conv_94,1006.8679000000001
Relu_95,114.8697
Conv_96,2203.2383999999997
Relu_97,115.02289999999999
Conv_98,997.6634
Add_99,682.6794
Relu_100,449.0241
Conv_101,986.4368000000001
Relu_102,115.0409
Conv_103,2279.5637
Relu_104,115.038
Conv_105,1012.1075999999999
Add_106,682.7714
Relu_107,449.20279999999997
Conv_108,984.5094
Relu_109,115.0052
Conv_110,2165.1814
Relu_111,115.1244
Conv_112,984.9415
Add_113,682.2666999999999
Relu_114,450.7242
Conv_115,1007.7352
Relu_116,115.0407
Conv_117,2175.9491000000003
Relu_118,115.0198
Conv_119,984.2095
Add_120,684.0375
Relu_121,449.2553
Conv_122,1009.8868
Relu_123,115.006
Conv_124,2200.4303999999997
Relu_125,115.7325
Conv_126,998.8727
Add_127,683.1565
Relu_128,449.49359999999996
Conv_129,976.6076999999999
Relu_130,115.0539
Conv_131,2144.5862
Relu_132,114.9434
Conv_133,994.4787
Add_134,683.8488000000001
Relu_135,449.0071
Conv_136,1008.9881
Relu_137,115.0394
Conv_138,2144.6304
Relu_139,114.9874
Conv_140,996.4061999999999
Add_141,682.5928
Relu_142,449.76
Conv_143,997.8408000000001
Relu_144,115.14989999999999
Conv_145,2161.8653999999997
Relu_146,115.2586
Conv_147,986.7934
Add_148,685.5785
Relu_149,449.27759999999995
Conv_150,976.7114
Relu_151,114.9683
Conv_152,2198.9588
Relu_153,115.039
Conv_154,996.7081
Add_155,683.2615
Relu_156,449.25190000000003
Conv_157,984.9522
Relu_158,115.3006
Conv_159,2204.0398
Relu_160,115.0847
Conv_161,1000.8526999999999
Add_162,684.1435
Relu_163,449.54240000000004
Conv_164,994.4394
Relu_165,115.1015
Conv_166,2171.5987999999998
Relu_167,115.0193
Conv_168,997.8253000000001
Add_169,682.5482
Relu_170,449.27259999999995
Conv_171,996.0838
Relu_172,114.91969999999999
Conv_173,2183.8817999999997
Relu_174,114.7358
Conv_175,987.5674
Add_176,684.7133
Relu_177,449.2669
Conv_178,1006.3716
Relu_179,115.0133
Conv_180,2156.8359
Relu_181,114.8767
Conv_182,996.5322
Add_183,682.7296
Relu_184,449.12870000000004
Conv_185,976.2429000000001
Relu_186,114.9982
Conv_187,2135.3469
Relu_188,115.18360000000001
Conv_189,997.1864
Add_190,684.1857
Relu_191,449.252
Conv_192,1013.4959
Relu_193,114.8271
Conv_194,2182.3678
Relu_195,116.4645
Conv_196,986.215
Add_197,685.4386999999999
Relu_198,450.52209999999997
Conv_199,996.884
Relu_200,115.0541
Conv_201,2163.8903999999998
Relu_202,115.23230000000001
Conv_203,1012.5579
Add_204,683.1458
Relu_205,449.80409999999995
Conv_206,985.4511
Relu_207,114.94139999999999
Conv_208,2200.806
Relu_209,114.7883
Conv_210,986.6274000000001
Add_211,682.8267
Relu_212,448.9581
Conv_213,1003.1171999999999
Relu_214,115.6926
Conv_215,2279.5959
Relu_216,114.9663
Conv_217,996.3196999999999
Add_218,682.6133000000001
Relu_219,449.0805
Conv_220,1868.6928
Relu_221,226.2053
Conv_222,8781.687300000001
Relu_223,226.37460000000002
Conv_224,3898.5906
Conv_225,8925.786300000002
Add_226,1359.2891000000002
Relu_227,894.0386
Conv_228,3696.3467
Relu_229,226.2697
Conv_230,8906.4854
Relu_231,226.27120000000002
Conv_232,3920.5699
Add_233,1359.8372
Relu_234,894.1546999999999
Conv_235,3804.9832
Relu_236,226.3326
Conv_237,8675.7766
Relu_238,226.4819
Conv_239,3970.0078
Add_240,1359.4166
Relu_241,893.9961
Conv_242,32183.1087
Relu_243,226.35379999999998
Conv_244,961.7135
Shape_245,6.8227
Gather_247,7.4201999999999995
Gather_249,8.031
Gather_251,7.9251000000000005
Gather_253,7.447100000000001
Mul_254,6.7261999999999995
Unsqueeze_255,7.053100000000001
Unsqueeze_256,7.0201
Unsqueeze_257,7.0975
Concat_258,13.7168
Reshape_259,233.7092
Concat_260,12.269200000000001
Shape_261,6.216
Expand_263,6.43
Tile_264,14.2835
Transpose_265,241.9478
MatMul_266,395.65229999999997
Softmax_267,62.4431
ReduceL1_268,198.1584
Clip_269,6.293100000000001
Shape_270,6.097600000000001
Expand_271,39.711
Div_272,46.412
MatMul_273,426.6826
ReduceL2_274,53.3732
Clip_275,6.1544
Shape_276,6.189100000000001
Expand_277,9.084
Div_278,6.7396
MatMul_279,395.14529999999996
Softmax_280,63.3061
ReduceL1_281,200.67589999999998
Clip_282,6.5146999999999995
Shape_283,7.0397
Expand_284,31.8294
Div_285,46.002900000000004
MatMul_286,422.89959999999996
ReduceL2_287,51.8842
Clip_288,5.9932
Shape_289,8.7486
Expand_290,8.9101
Div_291,6.6176
MatMul_292,395.2443
Softmax_293,62.4104
ReduceL1_294,198.5881
Clip_295,5.9948999999999995
Shape_296,7.0391
Expand_297,33.0235
Div_298,46.0272
MatMul_299,426.89979999999997
ReduceL2_300,50.896699999999996
Clip_301,6.9823
Shape_302,6.9014
Expand_303,8.834700000000002
Div_304,6.612
Transpose_305,38.5385
MatMul_306,195.8056
Unsqueeze_307,6.9937
Unsqueeze_308,7.0447
Concat_309,15.236799999999999
Reshape_310,234.0507
Relu_311,226.93210000000002
Conv_312,950.0926999999999
Add_313,343.4187
Relu_314,226.2306
Conv_315,1978.5431999999998
Relu_316,115.17439999999999
Concat_317,1022.8153000000001
Conv_318,14461.9736
Relu_319,115.0978
Conv_320,75.3797
Shape_321,6.0231
Slice_324,6.5717
Concat_325,9.469700000000001
Resize_327,425.09590000000003
ArgMax_328,875.0941
