node,latency
Conv_0,135.6968
Relu_1,136.39829999999998
Conv_2,414.62379999999996
Relu_3,139.55120000000002
Conv_4,678.2986
Relu_5,276.1728
MaxPool_6,166.8175
Conv_7,81.7614
Relu_8,71.4675
Conv_9,284.8097
Relu_10,71.14689999999999
Conv_11,207.49779999999998
Conv_12,209.5944
Add_13,396.24670000000003
Relu_14,275.1157
Conv_15,203.78289999999998
Relu_16,71.12339999999999
Conv_17,280.6355
Relu_18,71.1554
Conv_19,207.547
Add_20,398.02340000000004
Relu_21,275.8873
Conv_22,204.4818
Relu_23,70.9192
Conv_24,278.601
Relu_25,71.08239999999999
Conv_26,207.49470000000002
Add_27,396.23609999999996
Relu_28,275.1069
Conv_29,358.892
Relu_30,139.3653
Conv_31,428.8046
Relu_32,37.0345
Conv_33,185.1421
Conv_34,356.23040000000003
Add_35,198.9544
Relu_36,139.1262
Conv_37,195.4459
Relu_38,36.6993
Conv_39,253.0125
Relu_40,36.969
Conv_41,181.875
Add_42,199.027
Relu_43,139.6815
Conv_44,192.6936
Relu_45,36.9732
Conv_46,258.3387
Relu_47,36.8605
Conv_48,181.7579
Add_49,198.86610000000002
Relu_50,139.3625
Conv_51,195.6513
Relu_52,37.2587
Conv_53,251.0984
Relu_54,36.9074
Conv_55,182.44039999999998
Add_56,199.6926
Relu_57,139.4724
Conv_58,366.50559999999996
Relu_59,71.18939999999999
Conv_60,879.3385
Relu_61,71.038
Conv_62,664.1511999999999
Conv_63,1246.6771999999999
Add_64,394.6648
Relu_65,275.7532
Conv_66,710.1373000000001
Relu_67,71.2145
Conv_68,1718.2821000000001
Relu_69,70.80630000000001
Conv_70,659.1936999999999
Add_71,394.36359999999996
Relu_72,275.9608
Conv_73,704.9425
Relu_74,71.2657
Conv_75,1519.5698
Relu_76,71.0112
Conv_77,656.5785999999999
Add_78,394.616
Relu_79,275.9171
Conv_80,709.6351999999999
Relu_81,71.964
Conv_82,1580.9512
Relu_83,71.3462
Conv_84,650.9322
Add_85,394.61920000000003
Relu_86,275.4298
Conv_87,709.212
Relu_88,71.25880000000001
Conv_89,1553.8368
Relu_90,70.79889999999999
Conv_91,652.8551
Add_92,394.66270000000003
Relu_93,275.881
Conv_94,709.2203000000001
Relu_95,71.1767
Conv_96,1542.3491999999999
Relu_97,70.89139999999999
Conv_98,650.0355999999999
Add_99,394.5727
Relu_100,275.8339
Conv_101,706.5946
Relu_102,71.3062
Conv_103,1565.1851000000001
Relu_104,71.0984
Conv_105,651.44
Add_106,394.7931
Relu_107,275.7162
Conv_108,707.4021
Relu_109,71.0873
Conv_110,1641.9578000000001
Relu_111,71.17139999999999
Conv_112,651.9853
Add_113,394.6499
Relu_114,275.4192
Conv_115,707.2739
Relu_116,71.0775
Conv_117,1573.3928999999998
Relu_118,71.335
Conv_119,650.7597
Add_120,395.7402
Relu_121,275.6023
Conv_122,715.7456
Relu_123,71.5895
Conv_124,1517.9606999999999
Relu_125,71.3518
Conv_126,656.7591
Add_127,395.022
Relu_128,275.3035
Conv_129,711.7443000000001
Relu_130,71.322
Conv_131,1595.2915
Relu_132,71.1682
Conv_133,652.331
Add_134,394.6412
Relu_135,276.78290000000004
Conv_136,718.3761
Relu_137,71.49
Conv_138,1631.8804
Relu_139,71.3245
Conv_140,664.1228000000001
Add_141,394.5026
Relu_142,275.86409999999995
Conv_143,709.6972
Relu_144,71.2975
