node,latency
Conv_0,49.1383
Relu_1,44.257
Conv_2,118.275
Relu_3,44.088800000000006
Conv_4,227.7269
Relu_5,84.45089999999999
MaxPool_6,59.3074
Conv_7,36.9114
Relu_8,23.735400000000002
Conv_9,105.49860000000001
Relu_10,23.8111
Conv_11,93.84689999999999
Conv_12,95.4335
Add_13,125.25389999999999
Relu_14,84.892
Conv_15,101.9398
Relu_16,23.6004
Conv_17,105.106
Relu_18,23.7483
Conv_19,94.53280000000001
Add_20,125.493
Relu_21,84.4588
Conv_22,101.8268
Relu_23,23.6861
Conv_24,104.764
Relu_25,23.7254
Conv_26,94.0564
Add_27,125.413
Relu_28,85.0938
Conv_29,168.5996
Relu_30,44.818599999999996
Conv_31,205.7269
Relu_32,11.9761
Conv_33,91.9418
Conv_34,170.58829999999998
Add_35,65.28659999999999
Relu_36,44.1072
Conv_37,96.7905
Relu_38,11.953
Conv_39,109.31660000000001
Relu_40,12.107700000000001
Conv_41,92.5348
Add_42,64.8426
Relu_43,44.281
Conv_44,96.768
Relu_45,11.917399999999999
Conv_46,109.1108
Relu_47,11.983799999999999
Conv_48,92.6969
Add_49,65.15780000000001
Relu_50,44.1008
Conv_51,96.7914
Relu_52,11.885299999999999
Conv_53,109.05080000000001
Relu_54,12.178600000000001
Conv_55,92.8697
Add_56,64.9375
Relu_57,44.3049
Conv_58,184.90210000000002
Relu_59,23.9102
Conv_60,355.5622
Relu_61,23.894
Conv_62,311.7119
Conv_63,685.3219
Add_64,125.324
Relu_65,84.5558
Conv_66,356.19190000000003
Relu_67,23.996
Conv_68,759.8171
Relu_69,24.0036
Conv_70,307.675
Add_71,125.3117
Relu_72,84.3549
Conv_73,356.2801
Relu_74,23.771099999999997
Conv_75,758.7231999999999
Relu_76,24.050900000000002
Conv_77,313.3664
Add_78,125.6852
Relu_79,84.722
Conv_80,356.47
Relu_81,23.933799999999998
Conv_82,767.6521
Relu_83,23.9283
Conv_84,309.7602
Add_85,125.31939999999999
Relu_86,84.7681
Conv_87,356.4371
Relu_88,23.7335
Conv_89,786.86
Relu_90,23.5927
Conv_91,310.93109999999996
Add_92,125.395
Relu_93,84.4183
Conv_94,356.2087
Relu_95,23.5894
Conv_96,757.8172
Relu_97,24.1114
Conv_98,313.9751
Add_99,125.4028
Relu_100,84.3447
Conv_101,356.1143
Relu_102,23.6502
Conv_103,766.9878
Relu_104,23.8934
Conv_105,318.24129999999997
Add_106,125.2409
Relu_107,84.60730000000001
Conv_108,356.21090000000004
Relu_109,23.7268
Conv_110,758.7136999999999
Relu_111,23.8547
Conv_112,311.8148
Add_113,125.2968
Relu_114,84.7533
Conv_115,356.5767
Relu_116,23.8115
Conv_117,751.6451999999999
Relu_118,23.7118
Conv_119,312.71790000000004
Add_120,125.2068
Relu_121,84.6742
Conv_122,356.21909999999997
Relu_123,23.736099999999997
Conv_124,759.2684
Relu_125,23.8247
Conv_126,302.8583
Add_127,125.1498
Relu_128,84.54960000000001
Conv_129,357.1391
Relu_130,23.7904
Conv_131,757.6650999999999
Relu_132,23.761200000000002
Conv_133,317.161
Add_134,125.2897
Relu_135,84.7037
Conv_136,356.3835
Relu_137,23.720200000000002
Conv_138,763.4431999999999
Relu_139,23.6843
Conv_140,311.62559999999996
Add_141,125.33139999999999
Relu_142,85.5111
Conv_143,357.1048
Relu_144,23.635
Conv_145,758.6356999999999
Relu_146,23.7299
Conv_147,311.5937
Add_148,126.0048
Relu_149,85.1922
Conv_150,357.2592
Relu_151,23.7387
Conv_152,759.2411
Relu_153,23.9648
Conv_154,317.0808
Add_155,125.1288
Relu_156,84.6939
Conv_157,356.836
Relu_158,24.1956
Conv_159,758.1926
Relu_160,23.8417
Conv_161,302.47520000000003
Add_162,125.2584
Relu_163,84.6987
Conv_164,356.66679999999997
Relu_165,23.776799999999998
Conv_166,768.4103
Relu_167,24.838900000000002
Conv_168,312.9371
Add_169,125.2295
Relu_170,84.5345
Conv_171,356.3553
Relu_172,23.8277
Conv_173,759.7161
Relu_174,23.915
Conv_175,310.36109999999996
Add_176,125.3544
Relu_177,84.72739999999999
Conv_178,356.2661
Relu_179,23.823
Conv_180,759.8124
Relu_181,23.8262
Conv_182,305.01779999999997
Add_183,125.243
Relu_184,84.6987
Conv_185,356.638
Relu_186,23.6232
Conv_187,768.0279
Relu_188,23.828599999999998
Conv_189,313.7826
Add_190,125.3184
Relu_191,84.74560000000001
Conv_192,357.3905
Relu_193,23.8528
Conv_194,757.5136
Relu_195,23.805400000000002
Conv_196,309.69590000000005
Add_197,125.1923
Relu_198,84.54480000000001
Conv_199,356.84540000000004
Relu_200,24.0315
Conv_201,767.0234
Relu_202,23.7593
Conv_203,309.5205
Add_204,125.1765
Relu_205,84.58739999999999
Conv_206,356.48359999999997
Relu_207,23.868
Conv_208,768.9199
Relu_209,23.8259
Conv_210,309.7889
Add_211,125.4952
Relu_212,84.81439999999999
Conv_213,356.5587
Relu_214,23.668200000000002
Conv_215,751.2932
Relu_216,23.7995
Conv_217,311.9265
Add_218,125.53269999999999
Relu_219,84.6574
Conv_220,638.5411
Relu_221,44.3931
Conv_222,2713.0139
Relu_223,44.348699999999994
Conv_224,1283.0313
Conv_225,2490.2772
Add_226,246.4211
Relu_227,165.56429999999997
Conv_228,1254.8473000000001
Relu_229,44.2234
Conv_230,2710.8523
Relu_231,44.2209
Conv_232,1282.323
Add_233,246.48229999999998
Relu_234,165.2915
Conv_235,1255.1055
Relu_236,45.504599999999996
Conv_237,2711.6405
Relu_238,44.3016
Conv_239,1276.5716
Add_240,246.44029999999998
Relu_241,165.48020000000002
Conv_242,5339.4975
Relu_243,44.229099999999995
Conv_244,344.29470000000003
Shape_245,7.3821
Gather_247,8.8043
Gather_249,7.840199999999999
Gather_251,8.384
Gather_253,8.8354
Mul_254,7.098
Unsqueeze_255,8.6464
Unsqueeze_256,8.4889
Unsqueeze_257,7.9916
Concat_258,13.6099
Reshape_259,47.1579
Concat_260,14.9017
Shape_261,6.825
Expand_263,7.1949
Tile_264,7.4226
Transpose_265,49.6179
MatMul_266,57.97
Softmax_267,15.037
ReduceL1_268,127.4705
Clip_269,6.3516
Shape_270,6.9925
Expand_271,10.395100000000001
Div_272,9.5831
MatMul_273,65.8015
ReduceL2_274,34.3269
Clip_275,6.787
Shape_276,10.2525
Expand_277,6.748
Div_278,6.8212
MatMul_279,58.232
Softmax_280,15.0468
ReduceL1_281,127.7007
Clip_282,6.9121999999999995
Shape_283,7.5123
Expand_284,9.0861
Div_285,9.059
MatMul_286,66.0578
ReduceL2_287,34.3855
Clip_288,6.3209
Shape_289,6.9859
Expand_290,7.1742
Div_291,6.7466
MatMul_292,58.4661
Softmax_293,15.0116
ReduceL1_294,128.0403
Clip_295,6.2233
Shape_296,7.014600000000001
Expand_297,9.0082
Div_298,9.010200000000001
MatMul_299,65.7545
ReduceL2_300,34.416199999999996
Clip_301,7.1719
Shape_302,6.5127
Expand_303,8.0825
Div_304,7.958600000000001
Transpose_305,12.264
MatMul_306,47.8568
Unsqueeze_307,7.517399999999999
Unsqueeze_308,11.0675
Concat_309,17.4937
Reshape_310,46.9829
Relu_311,44.382400000000004
Conv_312,370.6135
Add_313,64.96509999999999
Relu_314,44.5658
Conv_315,694.6641
Relu_316,24.077
Concat_317,191.05339999999998
Conv_318,3450.8959
Relu_319,23.8063
Conv_320,30.5628
Shape_321,6.4529
Slice_324,7.5115
Concat_325,12.649
Resize_327,115.4577
ArgMax_328,200.48160000000001
