node,latency
Conv_0,37.405800000000006
Relu_1,18.945700000000002
Conv_2,144.94570000000002
Relu_3,19.2569
Conv_4,262.86490000000003
Relu_5,263.936
MaxPool_6,33.017
Conv_7,23.923099999999998
Relu_8,10.5756
Conv_9,122.12819999999999
Relu_10,10.8961
Conv_11,160.3635
Conv_12,160.41979999999998
Add_13,430.8691
Relu_14,270.5962
Conv_15,55.446
Relu_16,10.987
Conv_17,126.1645
Relu_18,10.786299999999999
Conv_19,159.8113
Add_20,430.3175
Relu_21,268.4074
Conv_22,56.873599999999996
Relu_23,10.7369
Conv_24,124.5422
Relu_25,10.984399999999999
Conv_26,160.9772
Add_27,430.08
Relu_28,267.6809
Conv_29,112.0993
Relu_30,18.8937
Conv_31,121.2029
Relu_32,7.1034
Conv_33,53.6531
Conv_34,107.89489999999999
Add_35,58.6691
Relu_36,18.9827
Conv_37,63.2085
Relu_38,7.3499
Conv_39,102.6582
Relu_40,7.4625
Conv_41,54.482800000000005
Add_42,58.4711
Relu_43,19.1022
Conv_44,63.4439
Relu_45,7.3015
Conv_46,101.74430000000001
Relu_47,7.3327
Conv_48,53.021699999999996
Add_49,58.7058
Relu_50,19.172
Conv_51,62.932199999999995
Relu_52,7.4512
Conv_53,101.46719999999999
Relu_54,7.6545
Conv_55,53.692
Add_56,64.46130000000001
Relu_57,18.9988
Conv_58,134.1384
Relu_59,10.7376
Conv_60,292.232
Relu_61,10.772200000000002
Conv_62,191.5541
Conv_63,373.5283
Add_64,429.16040000000004
Relu_65,267.96709999999996
Conv_66,179.6139
Relu_67,10.4341
Conv_68,303.54690000000005
Relu_69,10.7451
Conv_70,189.9711
Add_71,429.3207
Relu_72,269.3105
Conv_73,180.3098
Relu_74,11.754
Conv_75,301.1092
Relu_76,10.8034
Conv_77,189.0551
Add_78,404.5049
Relu_79,268.0484
Conv_80,183.7063
Relu_81,10.8865
Conv_82,307.28679999999997
Relu_83,10.799700000000001
Conv_84,189.6438
Add_85,407.5534
Relu_86,268.0265
Conv_87,180.8528
Relu_88,10.7646
Conv_89,290.0292
Relu_90,10.7245
Conv_91,189.6933
Add_92,432.67490000000004
Relu_93,267.36440000000005
Conv_94,179.96429999999998
Relu_95,10.7611
Conv_96,287.8247
Relu_97,10.7889
Conv_98,189.85070000000002
Add_99,430.46029999999996
Relu_100,269.3014
Conv_101,180.76170000000002
Relu_102,10.7849
Conv_103,295.1159
Relu_104,11.4532
Conv_105,189.78220000000002
Add_106,430.32509999999996
Relu_107,267.435
Conv_108,182.1082
Relu_109,10.8634
Conv_110,302.97720000000004
Relu_111,10.8971
Conv_112,184.282
Add_113,407.46509999999995
Relu_114,267.1348
Conv_115,185.29270000000002
Relu_116,11.0664
Conv_117,284.66990000000004
Relu_118,10.9095
Conv_119,184.19920000000002
Add_120,429.01390000000004
Relu_121,270.2376
Conv_122,185.2579
Relu_123,10.8522
Conv_124,281.5168
Relu_125,10.7486
Conv_126,183.958
Add_127,410.4751
Relu_128,268.7088
Conv_129,181.61329999999998
Relu_130,10.9715
Conv_131,307.6807
Relu_132,11.5637
Conv_133,185.9348
Add_134,420.798
Relu_135,269.3018
Conv_136,182.0601
Relu_137,10.894
Conv_138,296.7851
Relu_139,10.293
Conv_140,184.7788
Add_141,417.19
Relu_142,267.64590000000004
Conv_143,182.3528
Relu_144,11.0791
Conv_145,298.1342
Relu_146,10.585
Conv_147,183.31560000000002
Add_148,416.2983
Relu_149,269.2557
Conv_150,182.21439999999998
Relu_151,10.7233
Conv_152,289.4763
Relu_153,10.868799999999998
Conv_154,184.27720000000002
Add_155,422.2863
Relu_156,269.0243
Conv_157,184.94389999999999
Relu_158,10.962200000000001
Conv_159,304.6039
Relu_160,10.9807
Conv_161,185.03570000000002
Add_162,415.625
Relu_163,268.6848
Conv_164,180.6489
Relu_165,10.801200000000001
Conv_166,278.8871
Relu_167,11.0369
Conv_168,180.4023
Add_169,422.5353
Relu_170,268.9896
Conv_171,180.44320000000002
Relu_172,10.9267
Conv_173,294.85429999999997
Relu_174,10.7542
Conv_175,180.8982
Add_176,406.0293
Relu_177,268.6227
Conv_178,183.7691
Relu_179,10.914399999999999
Conv_180,286.2135
Relu_181,10.901200000000001
Conv_182,178.9351
Add_183,410.7423
Relu_184,269.6302
Conv_185,179.2413
Relu_186,10.963700000000001
Conv_187,286.1431
Relu_188,10.6707
Conv_189,181.612
Add_190,417.307
Relu_191,267.232
Conv_192,182.4496
Relu_193,10.9002
Conv_194,292.607
Relu_195,11.1605
Conv_196,179.212
Add_197,429.96029999999996
Relu_198,268.06640000000004
Conv_199,179.5023
Relu_200,10.943100000000001
Conv_201,285.5824
Relu_202,10.6096
Conv_203,179.3028
Add_204,432.7981
Relu_205,271.7839
Conv_206,180.23239999999998
Relu_207,10.912799999999999
Conv_208,295.0983
Relu_209,10.476799999999999
Conv_210,179.734
Add_211,404.9374
Relu_212,268.3777
Conv_213,182.5884
Relu_214,10.7365
Conv_215,283.3211
Relu_216,10.761
Conv_217,177.2994
Add_218,404.16990000000004
Relu_219,268.477
Conv_220,373.9533
Relu_221,17.8949
Conv_222,1046.6943
Relu_223,19.0024
Conv_224,641.4786
Conv_225,1241.4356
Add_226,804.9725999999999
Relu_227,568.8785
Conv_228,658.994
Relu_229,18.9423
Conv_230,1057.5827
Relu_231,18.868299999999998
Conv_232,645.4114000000001
Add_233,808.1525
Relu_234,566.6635
Conv_235,657.091
Relu_236,18.7937
Conv_237,1052.4495
Relu_238,18.810299999999998
Conv_239,638.0569
Add_240,805.6958000000001
Relu_241,573.2579000000001
Conv_242,5271.3712000000005
Relu_243,19.283900000000003
Conv_244,189.7235
Relu_245,18.0853
Shape_246,7.6816
Gather_248,9.2144
Unsqueeze_249,7.9382
Concat_250,15.465200000000001
Reshape_251,19.938200000000002
Transpose_252,29.6601
Shape_253,8.7055
Gather_254,9.2926
Unsqueeze_255,18.8966
Gather_257,9.2839
Unsqueeze_258,7.8566
Unsqueeze_259,7.9516
Concat_260,18.8622
Reshape_262,8.8721
Shape_263,7.3296
Mul_266,7.4116
Equal_267,10.361799999999999
Where_268,9.4394
Expand_269,2221.649
Sub_270,4518.5815999999995
Pow_271,4507.884
ReduceSum_272,4976.8995
Mul_273,7.244
Softmax_274,9.773399999999999
Unsqueeze_275,8.128
Mul_276,4545.3715
ReduceSum_277,2155.7365
BatchNormalization_278,8.1983
Relu_279,6.809399999999999
ReduceMean_280,7.397600000000001
Shape_281,7.121899999999999
Gather_282,9.3059
Gather_283,9.1708
Gemm_284,8.0593
Sigmoid_285,7.8205
Unsqueeze_286,8.0408
Unsqueeze_287,7.8848
Concat_288,19.0028
Reshape_289,9.101700000000001
Mul_290,31.843700000000002
Add_291,55.3961
Relu_292,18.832
Conv_293,32.189299999999996
Shape_294,7.3324
Slice_297,8.8548
Concat_298,11.5991
Resize_300,130.2477
ArgMax_301,264.7387
