node,latency
Conv_0,203.997
Relu_1,226.2226
Conv_2,590.4765
Relu_3,226.4338
Conv_4,939.9054
Relu_5,449.072
MaxPool_6,305.5843
Conv_7,139.9754
Relu_8,115.296
Conv_9,327.2474
Relu_10,114.987
Conv_11,383.3821
Conv_12,384.5193
Add_13,682.3993
Relu_14,449.1182
Conv_15,331.7794
Relu_16,115.013
Conv_17,327.3689
Relu_18,114.9683
Conv_19,382.97740000000005
Add_20,683.2586
Relu_21,449.18
Conv_22,332.1277
Relu_23,114.9085
Conv_24,327.6536
Relu_25,115.0915
Conv_26,383.2426
Add_27,682.9079
Relu_28,451.0066
Conv_29,507.15009999999995
Relu_30,226.6024
Conv_31,563.6929
Relu_32,59.523
Conv_33,284.1023
Conv_34,508.8665
Add_35,342.97240000000005
Relu_36,226.245
Conv_37,269.8438
Relu_38,59.552800000000005
Conv_39,287.875
Relu_40,59.478
Conv_41,283.9668
Add_42,342.9897
Relu_43,226.3711
Conv_44,262.9074
Relu_45,59.3855
Conv_46,288.5027
Relu_47,59.4498
Conv_48,285.46959999999996
Add_49,342.86129999999997
Relu_50,226.5108
Conv_51,282.5365
Relu_52,59.416
Conv_53,293.91859999999997
Relu_54,59.3902
Conv_55,284.47990000000004
Add_56,343.2471
Relu_57,227.04160000000002
Conv_58,508.53709999999995
Relu_59,116.41210000000001
Conv_60,1008.6524000000001
Relu_61,115.0102
Conv_62,997.4993000000001
Conv_63,1906.6593
Add_64,682.5471
Relu_65,448.99129999999997
Conv_66,1017.3664
Relu_67,114.911
Conv_68,2163.7192999999997
Relu_69,115.1095
Conv_70,995.2167
Add_71,686.1163
Relu_72,451.9974
Conv_73,983.2854
Relu_74,114.9812
Conv_75,2293.3772999999997
Relu_76,115.0392
Conv_77,986.1822
Add_78,682.8212
Relu_79,449.49190000000004
Conv_80,985.7971
Relu_81,114.858
Conv_82,2144.853
Relu_83,115.11510000000001
Conv_84,988.4952
Add_85,682.3141999999999
Relu_86,449.0305
Conv_87,999.6376
Relu_88,115.5812
Conv_89,2159.0542
Relu_90,115.0233
Conv_91,994.4945
Add_92,682.9254
Relu_93,449.3966
Conv_94,1042.9992
Relu_95,115.119
Conv_96,2156.8495
Relu_97,114.9933
Conv_98,989.739
Add_99,682.0724
Relu_100,449.0328
Conv_101,1008.1489
Relu_102,114.9868
Conv_103,2152.6741
Relu_104,115.0805
Conv_105,1014.3805
Add_106,682.9109
Relu_107,449.2
Conv_108,1005.7975
Relu_109,115.0275
Conv_110,2173.3222
Relu_111,115.2864
Conv_112,1016.5519
Add_113,682.6384
Relu_114,449.0453
Conv_115,987.266
Relu_116,114.963
Conv_117,2181.1513
Relu_118,115.3002
Conv_119,987.0529
Add_120,682.5616
Relu_121,449.0824
Conv_122,1005.1042
Relu_123,115.6482
Conv_124,2180.5944
Relu_125,115.0856
Conv_126,998.496
Add_127,682.6824
Relu_128,449.0964
Conv_129,1008.6075999999999
Relu_130,115.0714
Conv_131,2204.5656
Relu_132,114.9952
Conv_133,990.8575
Add_134,682.9194
Relu_135,449.0642
Conv_136,1005.7158000000001
Relu_137,115.1268
Conv_138,2228.9325
Relu_139,115.1516
Conv_140,997.6059
Add_141,684.8063000000001
Relu_142,449.18
Conv_143,994.0273000000001
Relu_144,115.1865
Conv_145,2154.6822
Relu_146,115.9999
Conv_147,987.0889
Add_148,682.6223
Relu_149,449.7086
Conv_150,1008.2092
Relu_151,115.0225
Conv_152,2150.2867
Relu_153,115.1625
Conv_154,989.2299
Add_155,685.9792
Relu_156,449.2516
Conv_157,983.83
Relu_158,114.9707
Conv_159,2229.3723999999997
Relu_160,115.1273
Conv_161,984.0901
Add_162,682.5282
Relu_163,449.176
Conv_164,986.1309
Relu_165,114.97919999999999
Conv_166,2188.8507999999997
Relu_167,114.90589999999999
Conv_168,984.853
Add_169,682.4035
Relu_170,449.1578
Conv_171,996.9774
Relu_172,114.9174
Conv_173,2254.3274
Relu_174,114.7993
Conv_175,998.5358
Add_176,682.8317
Relu_177,449.0883
Conv_178,995.943
Relu_179,115.1064
Conv_180,2172.1803999999997
Relu_181,115.786
Conv_182,998.3112
Add_183,684.3102
Relu_184,451.0096
Conv_185,998.2850999999999
Relu_186,114.8327
Conv_187,2170.6158
Relu_188,114.8395
Conv_189,993.9693000000001
Add_190,682.6259
Relu_191,449.0242
Conv_192,985.6681
Relu_193,115.08930000000001
Conv_194,2151.9673
Relu_195,114.7939
Conv_196,1017.4304000000001
Add_197,682.1715
Relu_198,448.9678
Conv_199,1006.5866
Relu_200,115.0094
Conv_201,2204.5182
Relu_202,114.8343
Conv_203,986.0511
Add_204,682.5077
Relu_205,449.9103
Conv_206,1025.708
Relu_207,115.0112
Conv_208,2280.2352
Relu_209,114.90339999999999
Conv_210,998.6603
Add_211,682.7439
Relu_212,449.30809999999997
Conv_213,983.5208
Relu_214,114.97189999999999
Conv_215,2164.4572000000003
Relu_216,114.9068
Conv_217,1001.003
Add_218,683.1967
Relu_219,448.9699
Conv_220,1866.3268999999998
Relu_221,226.3497
Conv_222,8783.2634
Relu_223,226.3222
Conv_224,3912.3057000000003
Conv_225,9171.0522
Add_226,1359.6938
Relu_227,894.04
Conv_228,3826.3257000000003
Relu_229,226.4324
Conv_230,8719.1521
Relu_231,226.9016
Conv_232,4241.961
Add_233,1359.472
Relu_234,893.929
Conv_235,3681.0821
Relu_236,226.3749
Conv_237,8943.097300000001
Relu_238,226.3681
Conv_239,3962.7619
Add_240,1359.6466
Relu_241,894.0299
Conv_242,32507.9444
Relu_243,226.616
Conv_244,952.1633
Relu_245,226.3109
Shape_246,10.255
Gather_248,8.0964
Unsqueeze_249,6.9483999999999995
Concat_250,12.6343
Reshape_251,233.9083
Transpose_252,242.4688
Shape_253,7.0915
Gather_254,8.531600000000001
Unsqueeze_255,233.5564
Gather_257,8.6715
Unsqueeze_258,7.4862
Unsqueeze_259,10.126299999999999
Concat_260,16.4189
Reshape_262,7.3674
Shape_263,7.1708
Mul_266,6.7634
Equal_267,8.5746
Where_268,8.4788
Expand_269,5144.1008
Sub_270,7144.2858
Pow_271,7131.6425
ReduceSum_272,14635.5816
Mul_273,20.777900000000002
Softmax_274,28.2377
Unsqueeze_275,7.7264
Mul_276,7348.781400000001
ReduceSum_277,3819.4273
BatchNormalization_278,7.1286000000000005
Relu_279,6.0933
ReduceMean_280,6.6469
Shape_281,6.6707
Gather_282,7.853
Gather_283,8.0386
Gemm_284,7.894
Sigmoid_285,6.0611999999999995
