node,latency
Conv_0,135.5217
Relu_1,137.70489999999998
Conv_2,415.1929
Relu_3,139.6086
Conv_4,677.44
Relu_5,275.7175
MaxPool_6,167.35160000000002
Conv_7,81.1794
Relu_8,70.98389999999999
Conv_9,275.8082
Relu_10,71.2077
Conv_11,207.9236
Conv_12,209.126
Add_13,396.3562
Relu_14,275.77840000000003
Conv_15,202.9961
Relu_16,70.995
Conv_17,280.1473
Relu_18,70.9486
Conv_19,207.5161
Add_20,396.0982
Relu_21,276.3435
Conv_22,203.5314
Relu_23,71.06819999999999
Conv_24,278.70009999999996
Relu_25,70.9538
Conv_26,208.3897
Add_27,396.27290000000005
Relu_28,276.3223
Conv_29,349.97540000000004
Relu_30,139.51760000000002
Conv_31,415.9345
Relu_32,36.7969
Conv_33,188.01129999999998
Conv_34,354.6393
Add_35,199.1389
Relu_36,139.591
Conv_37,194.09029999999998
Relu_38,36.965900000000005
Conv_39,255.181
Relu_40,36.8352
Conv_41,181.60060000000001
Add_42,199.0153
Relu_43,140.4948
Conv_44,193.27089999999998
Relu_45,36.8791
Conv_46,251.2078
Relu_47,36.7382
Conv_48,182.6902
Add_49,198.9155
Relu_50,139.55620000000002
Conv_51,194.602
Relu_52,36.7481
Conv_53,251.99
Relu_54,36.815599999999996
Conv_55,183.1082
Add_56,199.38060000000002
Relu_57,139.6986
Conv_58,364.23470000000003
Relu_59,71.1812
Conv_60,894.4536999999999
Relu_61,71.324
Conv_62,664.0326
Conv_63,1226.9868999999999
Add_64,394.5559
Relu_65,275.216
Conv_66,711.6769
Relu_67,70.903
Conv_68,1636.7296999999999
Relu_69,71.0277
Conv_70,651.3217
Add_71,394.6367
Relu_72,275.72659999999996
Conv_73,705.947
Relu_74,72.1528
Conv_75,1587.734
Relu_76,71.28439999999999
Conv_77,652.8954
Add_78,394.7644
Relu_79,275.69309999999996
Conv_80,703.6996
Relu_81,71.82430000000001
Conv_82,1676.7416
Relu_83,71.2573
Conv_84,651.5644
Add_85,394.8387
Relu_86,281.0312
Conv_87,701.8381999999999
Relu_88,70.9555
Conv_89,1569.0305
Relu_90,70.8708
Conv_91,658.599
Add_92,394.9477
Relu_93,275.68359999999996
Conv_94,703.8217
Relu_95,70.9203
Conv_96,1624.8148999999999
Relu_97,71.0907
Conv_98,652.4645
Add_99,394.81129999999996
Relu_100,275.9058
Conv_101,705.0149
Relu_102,71.33539999999999
Conv_103,1492.9798
Relu_104,71.12639999999999
Conv_105,650.3848
Add_106,395.0154
Relu_107,275.9488
Conv_108,714.8366
Relu_109,71.1632
Conv_110,1609.0001000000002
Relu_111,72.1685
Conv_112,647.9689000000001
Add_113,394.6601
Relu_114,275.568
Conv_115,711.3091999999999
Relu_116,71.2522
Conv_117,1626.0656999999999
Relu_118,71.421
Conv_119,656.5578
Add_120,394.8014
Relu_121,275.78209999999996
Conv_122,707.8021
Relu_123,71.1888
Conv_124,1580.6566
Relu_125,71.3454
Conv_126,660.1161999999999
Add_127,395.03540000000004
Relu_128,275.2963
Conv_129,715.4262
Relu_130,71.35010000000001
Conv_131,1628.2159
Relu_132,71.37589999999999
Conv_133,656.1700999999999
Add_134,394.6866
Relu_135,276.1318
Conv_136,708.3521
Relu_137,71.3232
Conv_138,1598.859
Relu_139,71.2979
Conv_140,653.6133000000001
Add_141,394.8677
Relu_142,275.4454
Conv_143,708.0639
Relu_144,71.74730000000001
Conv_145,1493.2296000000001
Relu_146,71.45830000000001
Conv_147,651.0775
Add_148,394.5237
Relu_149,276.67179999999996
Conv_150,717.7171999999999
Relu_151,71.6777
Conv_152,1585.1635
Relu_153,71.26039999999999
Conv_154,652.4481
Add_155,394.5915
Relu_156,275.42
Conv_157,711.7099000000001
Relu_158,71.5214
Conv_159,1615.9947
Relu_160,71.3705
Conv_161,652.7057
Add_162,395.9044
Relu_163,276.16040000000004
Conv_164,711.3828000000001
Relu_165,71.31739999999999
Conv_166,1514.5828999999999
Relu_167,71.1143
Conv_168,652.509
Add_169,394.6603
Relu_170,275.5325
Conv_171,709.3765999999999
Relu_172,71.4095
Conv_173,1515.5171
Relu_174,72.038
Conv_175,657.3297
Add_176,394.76559999999995
Relu_177,275.4519
Conv_178,704.759
Relu_179,71.3246
Conv_180,1677.2347
Relu_181,71.3113
Conv_182,651.7926
Add_183,394.6448
Relu_184,275.77070000000003
Conv_185,711.9226
Relu_186,71.2583
Conv_187,1638.5725
Relu_188,71.4242
Conv_189,657.4552
Add_190,394.88559999999995
Relu_191,275.5944
Conv_192,703.095
Relu_193,71.334
Conv_194,1631.0443
Relu_195,73.1331
Conv_196,657.522
Add_197,394.2288
Relu_198,275.5411
Conv_199,710.0109
Relu_200,71.2697
Conv_201,1612.8377
Relu_202,71.1874
Conv_203,650.8967
Add_204,394.4683
Relu_205,276.4592
Conv_206,706.1116999999999
Relu_207,71.29260000000001
Conv_208,1624.5038
Relu_209,71.2987
Conv_210,650.2936
Add_211,394.826
Relu_212,276.2073
Conv_213,704.4855
Relu_214,72.6971
Conv_215,1516.5221999999999
Relu_216,71.36110000000001
Conv_217,657.9441999999999
Add_218,395.78679999999997
Relu_219,276.5997
Conv_220,1260.1086
Relu_221,139.5025
Conv_222,8355.0623
Relu_223,139.5355
Conv_224,2347.6283
Conv_225,8157.6322
Add_226,773.4503000000001
Relu_227,548.956
Conv_228,2855.3242
Relu_229,139.313
Conv_230,8482.017199999998
Relu_231,139.6615
Conv_232,2617.9452
Add_233,785.1449
Relu_234,549.2281999999999
Conv_235,2802.8887999999997
Relu_236,139.54870000000003
Conv_237,8448.707400000001
Relu_238,139.5432
Conv_239,2645.293
Add_240,784.1617
Relu_241,548.8413
Conv_242,21860.0541
Relu_243,139.48260000000002
Conv_244,666.7625
Relu_245,139.6729
Shape_246,8.099
Gather_248,9.0577
Unsqueeze_249,9.402
Concat_250,19.350900000000003
Reshape_251,140.85660000000001
Transpose_252,153.5273
Shape_253,10.197
Gather_254,8.4632
Unsqueeze_255,146.2431
Gather_257,8.4092
Unsqueeze_258,7.8228
Unsqueeze_259,8.2812
Concat_260,20.7338
Reshape_262,8.6707
Shape_263,8.5972
Mul_266,8.0051
Equal_267,8.9979
Where_268,9.027700000000001
Expand_269,2990.683
Sub_270,4344.964599999999
Pow_271,4322.2052
ReduceSum_272,5154.3882
Mul_273,6.8631
Softmax_274,17.4344
Unsqueeze_275,7.5347
Mul_276,4394.1394
ReduceSum_277,2251.1085
BatchNormalization_278,7.4591
Relu_279,6.6116
ReduceMean_280,8.8453
Shape_281,8.3508
Gather_282,9.7492
Gather_283,9.774
Gemm_284,12.046
Sigmoid_285,6.4312
Unsqueeze_286,7.601
Unsqueeze_287,7.4356
Concat_288,22.021900000000002
Reshape_289,9.921899999999999
Mul_290,144.91570000000002
Add_291,196.063
Relu_292,138.2186
Conv_293,82.3825
Shape_294,6.878
Slice_297,8.9658
Concat_298,11.2065
Resize_300,252.491
ArgMax_301,413.7491
