node,latency
Conv_0,47.3603
Relu_1,44.371
Conv_2,117.6224
Relu_3,44.278
Conv_4,226.2653
Relu_5,84.624
MaxPool_6,59.038599999999995
Conv_7,36.6069
Relu_8,23.821099999999998
Conv_9,105.2016
Relu_10,23.938599999999997
Conv_11,93.62360000000001
Conv_12,94.6391
Add_13,125.5801
Relu_14,86.3596
Conv_15,102.14280000000001
Relu_16,23.7201
Conv_17,105.6593
Relu_18,23.600099999999998
Conv_19,93.70219999999999
Add_20,125.4019
Relu_21,84.7297
Conv_22,101.9141
Relu_23,23.7853
Conv_24,105.39739999999999
Relu_25,23.9705
Conv_26,94.13069999999999
Add_27,125.47210000000001
Relu_28,85.2187
Conv_29,168.6224
Relu_30,44.467
Conv_31,206.2926
Relu_32,11.8057
Conv_33,92.9352
Conv_34,169.9425
Add_35,64.81190000000001
Relu_36,44.372699999999995
Conv_37,96.7492
Relu_38,12.0035
Conv_39,108.9491
Relu_40,11.8889
Conv_41,92.524
Add_42,65.70739999999999
Relu_43,44.3197
Conv_44,97.2598
Relu_45,11.9173
Conv_46,109.3112
Relu_47,11.931799999999999
Conv_48,91.56869999999999
Add_49,65.0295
Relu_50,44.489
Conv_51,96.81869999999999
Relu_52,11.828299999999999
Conv_53,109.1358
Relu_54,13.3742
Conv_55,92.7883
Add_56,65.0355
Relu_57,44.1759
Conv_58,185.29670000000002
Relu_59,23.7012
Conv_60,354.7638
Relu_61,23.591099999999997
Conv_62,313.5034
Conv_63,689.7993
Add_64,125.3069
Relu_65,84.64760000000001
Conv_66,356.2869
Relu_67,23.9035
Conv_68,750.5906
Relu_69,23.9471
Conv_70,310.567
Add_71,125.5202
Relu_72,84.3672
Conv_73,356.2654
Relu_74,23.989099999999997
Conv_75,754.4179
Relu_76,23.8384
Conv_77,309.9713
Add_78,125.3394
Relu_79,84.8985
Conv_80,356.14009999999996
Relu_81,24.4332
Conv_82,769.2596
Relu_83,23.7338
Conv_84,309.9837
Add_85,125.2842
Relu_86,84.7646
Conv_87,356.8185
Relu_88,23.758
Conv_89,751.7259
Relu_90,23.8096
Conv_91,309.239
Add_92,125.4785
Relu_93,84.669
Conv_94,356.642
Relu_95,23.6728
Conv_96,777.0956
Relu_97,23.802400000000002
Conv_98,302.696
Add_99,125.494
Relu_100,85.0648
Conv_101,356.28929999999997
Relu_102,24.057
Conv_103,758.8402
Relu_104,24.4648
Conv_105,313.0539
Add_106,125.3984
