node,latency
Conv_0,37.2564
Relu_1,18.974400000000003
Conv_2,144.294
Relu_3,18.977
Conv_4,263.08340000000004
Relu_5,264.69590000000005
MaxPool_6,32.9943
Conv_7,23.9544
Relu_8,10.738100000000001
Conv_9,126.796
Relu_10,11.0246
Conv_11,160.53879999999998
Conv_12,160.34529999999998
Add_13,430.93190000000004
Relu_14,265.4993
Conv_15,55.5777
Relu_16,10.867700000000001
Conv_17,126.1989
Relu_18,11.012
Conv_19,159.86079999999998
Add_20,430.6924
Relu_21,265.4997
Conv_22,56.909
Relu_23,10.7798
Conv_24,125.0977
Relu_25,10.8017
Conv_26,161.2575
Add_27,430.654
Relu_28,266.5546
Conv_29,111.9977
Relu_30,18.891
Conv_31,121.35810000000001
Relu_32,7.2081
Conv_33,53.578900000000004
Conv_34,109.9405
Add_35,59.138
Relu_36,19.148400000000002
Conv_37,62.853699999999996
Relu_38,7.3529
Conv_39,107.4851
Relu_40,9.3842
Conv_41,53.7115
Add_42,58.557900000000004
Relu_43,18.9755
Conv_44,62.6165
Relu_45,7.4855
Conv_46,103.176
Relu_47,7.4196
Conv_48,53.5934
Add_49,58.763400000000004
Relu_50,17.8657
Conv_51,62.9228
Relu_52,7.379
Conv_53,101.34689999999999
Relu_54,7.2335
Conv_55,53.655300000000004
Add_56,64.6412
Relu_57,18.827099999999998
Conv_58,99.62480000000001
Relu_59,10.3239
Conv_60,94.153
Relu_61,7.0003
Conv_62,50.1501
Conv_63,98.9769
Add_64,14.274799999999999
Relu_65,10.8091
Conv_66,52.249300000000005
Relu_67,8.8464
Conv_68,88.1617
Relu_69,7.1721
Conv_70,48.7037
Add_71,14.2642
Relu_72,10.8003
Conv_73,51.7332
Relu_74,7.0287
Conv_75,88.3962
Relu_76,7.1033
Conv_77,49.991
Add_78,13.9529
Relu_79,10.946399999999999
Conv_80,51.618900000000004
Relu_81,7.028899999999999
Conv_82,88.2566
Relu_83,7.0142
Conv_84,49.655800000000006
Add_85,14.0905
Relu_86,10.7549
Conv_87,51.697
Relu_88,7.1403
Conv_89,88.2359
Relu_90,6.9879
Conv_91,48.627199999999995
Add_92,14.0282
Relu_93,10.7302
Conv_94,51.710300000000004
Relu_95,7.1373999999999995
Conv_96,88.2774
Relu_97,6.9632
Conv_98,49.1795
Add_99,14.1273
Relu_100,10.852799999999998
Conv_101,51.398300000000006
Relu_102,7.074199999999999
Conv_103,89.0768
Relu_104,6.9684
Conv_105,49.366099999999996
Add_106,14.0246
Relu_107,10.800600000000001
Conv_108,51.543099999999995
Relu_109,8.0865
Conv_110,88.8943
Relu_111,7.0618
Conv_112,49.6671
Add_113,14.0609
Relu_114,10.8463
Conv_115,51.5373
Relu_116,7.079
Conv_117,88.35839999999999
Relu_118,7.0823
Conv_119,49.796699999999994
Add_120,14.156799999999999
Relu_121,10.9089
Conv_122,51.6713
Relu_123,7.065600000000001
Conv_124,88.2508
Relu_125,7.6257
Conv_126,49.682900000000004
Add_127,14.0016
Relu_128,10.8596
Conv_129,51.939
Relu_130,7.0024
Conv_131,89.0871
Relu_132,9.5108
Conv_133,49.1225
Add_134,14.129700000000001
Relu_135,10.9366
Conv_136,51.8509
Relu_137,6.9642
Conv_138,88.14089999999999
Relu_139,7.1761
Conv_140,49.8696
Add_141,14.349200000000002
Relu_142,10.7727
Conv_143,51.6803
Relu_144,6.9868999999999994
Conv_145,88.25280000000001
Relu_146,7.0776
Conv_147,49.3567
Add_148,14.0846
Relu_149,10.9353
Conv_150,51.6821
Relu_151,6.964300000000001
Conv_152,88.4608
Relu_153,7.0843
Conv_154,49.6169
Add_155,14.2363
Relu_156,10.7232
Conv_157,51.8215
Relu_158,7.054600000000001
Conv_159,88.273
Relu_160,7.2269
Conv_161,49.9178
Add_162,14.1283
Relu_163,10.8832
Conv_164,51.6588
Relu_165,7.0048
Conv_166,88.1009
Relu_167,8.2179
Conv_168,49.890800000000006
Add_169,14.32
Relu_170,10.9246
Conv_171,51.485099999999996
Relu_172,7.0978
Conv_173,88.1387
Relu_174,6.9952
Conv_175,49.318
Add_176,14.1129
Relu_177,10.6404
Conv_178,51.4363
Relu_179,7.0454
Conv_180,88.4473
Relu_181,7.017399999999999
Conv_182,49.3249
Add_183,14.1686
Relu_184,10.8325
Conv_185,51.8454
Relu_186,6.9525
Conv_187,88.3225
Relu_188,7.0247
Conv_189,49.899300000000004
Add_190,14.113700000000001
Relu_191,10.67
Conv_192,51.7289
Relu_193,7.1908
Conv_194,88.1674
Relu_195,7.0107
Conv_196,49.2787
Add_197,14.359200000000001
Relu_198,10.3327
Conv_199,51.6671
Relu_200,7.1881
Conv_201,88.1966
Relu_202,7.3987
Conv_203,49.286199999999994
Add_204,14.0457
Relu_205,10.3683
Conv_206,51.785599999999995
Relu_207,8.1127
Conv_208,88.0525
Relu_209,7.0766
Conv_210,49.1326
Add_211,14.2001
Relu_212,10.934
Conv_213,51.7404
Relu_214,7.0584
Conv_215,88.11139999999999
Relu_216,7.154
Conv_217,48.5954
Add_218,14.8602
Relu_219,10.7709
Conv_220,94.2741
Relu_221,7.3834
Conv_222,354.80879999999996
Relu_223,7.4467
Conv_224,137.5446
Conv_225,264.2493
Add_226,64.5734
Relu_227,18.8161
Conv_228,252.10479999999998
Relu_229,8.0086
Conv_230,348.7617
Relu_231,7.3213
Conv_232,138.80110000000002
Add_233,64.72019999999999
Relu_234,18.6323
Conv_235,252.1944
Relu_236,7.2818000000000005
Conv_237,356.274
Relu_238,7.6935
Conv_239,137.5275
Add_240,55.633900000000004
Relu_241,19.248900000000003
Conv_242,1486.8097
Relu_243,7.3205
Conv_244,349.7563
Relu_245,8.8996
Concat_246,23.1073
Conv_247,1921.9508999999998
Relu_248,7.3516
Conv_249,17.5607
Shape_250,7.1526000000000005
Slice_253,8.0368
Concat_254,12.108600000000001
Resize_256,132.1242
ArgMax_257,270.6158
