node,latency
Conv_0,204.1884
Relu_1,226.2452
Conv_2,591.2879
Relu_3,226.24370000000002
Conv_4,945.4115
Relu_5,449.11159999999995
MaxPool_6,306.30670000000003
Conv_7,140.31289999999998
Relu_8,115.2025
Conv_9,327.25329999999997
Relu_10,114.8702
Conv_11,383.39340000000004
Conv_12,383.9845
Add_13,682.8035
Relu_14,449.1533
Conv_15,331.1355
Relu_16,114.94069999999999
Conv_17,327.5332
Relu_18,115.0203
Conv_19,382.8592
Add_20,682.7370999999999
Relu_21,448.8815
Conv_22,331.5618
Relu_23,115.09530000000001
Conv_24,327.5657
Relu_25,114.9002
Conv_26,382.6103
Add_27,682.8215
Relu_28,449.48
Conv_29,519.1102
Relu_30,226.2812
Conv_31,562.7625
Relu_32,59.5261
Conv_33,287.0016
Conv_34,505.57509999999996
Add_35,342.90790000000004
Relu_36,226.33929999999998
Conv_37,267.5005
Relu_38,59.466
Conv_39,291.2788
Relu_40,59.400800000000004
Conv_41,284.0529
Add_42,343.2197
Relu_43,226.21120000000002
Conv_44,265.2043
Relu_45,59.5195
Conv_46,289.58279999999996
Relu_47,60.6043
Conv_48,283.4049
Add_49,344.1045
Relu_50,226.30679999999998
Conv_51,266.0166
Relu_52,59.314099999999996
Conv_53,293.3617
Relu_54,59.3484
Conv_55,283.277
Add_56,343.7694
Relu_57,226.51520000000002
Conv_58,505.4148
Relu_59,115.1917
Conv_60,597.1187
Relu_61,31.308400000000002
Conv_62,258.0664
Conv_63,508.5883
Add_64,173.28570000000002
Relu_65,114.9679
Conv_66,272.3163
Relu_67,31.276799999999998
Conv_68,284.4043
Relu_69,31.2874
Conv_70,261.097
Add_71,173.6034
Relu_72,114.9962
Conv_73,272.6385
Relu_74,31.158099999999997
Conv_75,284.3629
Relu_76,31.1755
Conv_77,258.12260000000003
Add_78,173.3988
Relu_79,114.95819999999999
Conv_80,270.8319
Relu_81,31.7868
Conv_82,284.99690000000004
Relu_83,31.4142
Conv_84,260.2709
Add_85,173.274
Relu_86,114.9577
Conv_87,271.407
Relu_88,31.0254
Conv_89,284.2741
Relu_90,31.021900000000002
Conv_91,260.9625
Add_92,173.38410000000002
Relu_93,115.1647
Conv_94,271.4763
Relu_95,31.381700000000002
Conv_96,283.8916
Relu_97,31.2313
Conv_98,265.19370000000004
Add_99,173.77370000000002
Relu_100,115.0446
Conv_101,270.89209999999997
Relu_102,30.960099999999997
Conv_103,284.5695
Relu_104,31.3406
Conv_105,259.46520000000004
Add_106,173.7132
Relu_107,115.0509
Conv_108,271.3422
Relu_109,31.072
Conv_110,283.986
Relu_111,30.9025
Conv_112,259.8569
Add_113,173.0316
Relu_114,114.9185
Conv_115,274.3968
Relu_116,31.0338
Conv_117,285.3587
Relu_118,31.0607
Conv_119,263.0668
Add_120,173.4051
Relu_121,115.7987
Conv_122,270.926
Relu_123,31.1438
Conv_124,283.6081
Relu_125,31.2422
Conv_126,259.4932
Add_127,173.7096
Relu_128,115.013
Conv_129,271.4594
Relu_130,31.108900000000002
Conv_131,284.03520000000003
Relu_132,31.109
Conv_133,260.92629999999997
Add_134,173.17520000000002
Relu_135,114.9758
Conv_136,270.7525
Relu_137,30.881400000000003
Conv_138,282.7335
Relu_139,31.203599999999998
Conv_140,266.4201
Add_141,176.7547
Relu_142,114.96419999999999
Conv_143,271.52570000000003
Relu_144,31.362
Conv_145,286.8173
Relu_146,30.963900000000002
Conv_147,263.0275
Add_148,173.3363
Relu_149,115.1751
Conv_150,271.6012
Relu_151,31.2545
Conv_152,286.1276
Relu_153,31.411900000000003
Conv_154,259.7401
Add_155,173.61370000000002
Relu_156,116.2892
Conv_157,272.4438
Relu_158,30.9205
Conv_159,285.20570000000004
Relu_160,31.4902
Conv_161,261.016
Add_162,173.5566
Relu_163,115.16669999999999
Conv_164,270.7346
Relu_165,30.9902
Conv_166,284.6114
Relu_167,31.241
Conv_168,262.59159999999997
Add_169,173.3159
Relu_170,117.979
Conv_171,270.74309999999997
Relu_172,31.180400000000002
Conv_173,286.53290000000004
Relu_174,31.1782
Conv_175,258.5038
Add_176,173.5315
Relu_177,114.8926
Conv_178,270.6968
Relu_179,31.3368
Conv_180,285.8896
Relu_181,31.255599999999998
Conv_182,264.69140000000004
Add_183,173.1297
Relu_184,115.1309
Conv_185,270.6978
Relu_186,31.296599999999998
