node,latency
Conv_0,139.52620000000002
Relu_1,136.51129999999998
Conv_2,413.9128
Relu_3,139.5991
Conv_4,678.3834
Relu_5,275.46
MaxPool_6,166.8053
Conv_7,81.6562
Relu_8,71.2501
Conv_9,278.379
Relu_10,71.35210000000001
Conv_11,207.07160000000002
Conv_12,210.0927
Add_13,396.2538
Relu_14,275.6412
Conv_15,206.0395
Relu_16,71.48519999999999
Conv_17,278.40340000000003
Relu_18,71.3755
Conv_19,208.3085
Add_20,396.29290000000003
Relu_21,275.6412
Conv_22,203.9741
Relu_23,71.3328
Conv_24,280.968
Relu_25,71.345
Conv_26,208.12810000000002
Add_27,396.3124
Relu_28,275.1168
Conv_29,352.0485
Relu_30,139.2721
Conv_31,421.9011
Relu_32,36.674
Conv_33,183.3138
Conv_34,357.8992
Add_35,198.81570000000002
Relu_36,139.3897
Conv_37,196.15189999999998
Relu_38,36.8318
Conv_39,254.79070000000002
Relu_40,36.752
Conv_41,184.07029999999997
Add_42,198.84570000000002
Relu_43,139.2688
Conv_44,193.4545
Relu_45,36.755900000000004
Conv_46,253.7355
Relu_47,36.7015
Conv_48,183.9688
Add_49,198.9631
Relu_50,139.3941
Conv_51,194.0976
Relu_52,37.0867
Conv_53,253.21679999999998
Relu_54,36.6743
Conv_55,183.047
Add_56,199.97660000000002
Relu_57,140.3038
Conv_58,366.2238
Relu_59,71.7402
Conv_60,407.2262
Relu_61,6.826
Conv_62,172.91639999999998
Conv_63,370.7457
Add_64,101.2444
Relu_65,71.24589999999999
Conv_66,182.6994
Relu_67,6.9601999999999995
Conv_68,262.2758
Relu_69,6.8535
Conv_70,171.2286
Add_71,101.24980000000001
Relu_72,71.2313
Conv_73,185.68329999999997
Relu_74,6.6442
Conv_75,265.2158
Relu_76,7.1652
Conv_77,181.36
Add_78,101.4387
Relu_79,71.1037
Conv_80,186.2601
Relu_81,6.8666
Conv_82,261.9536
Relu_83,6.666600000000001
Conv_84,171.2271
Add_85,101.48660000000001
Relu_86,71.1332
Conv_87,186.9328
Relu_88,7.1951
Conv_89,262.0809
Relu_90,7.665
Conv_91,182.0814
Add_92,101.1431
Relu_93,71.3181
Conv_94,182.3932
Relu_95,6.8598
Conv_96,261.847
Relu_97,7.4321
