node,latency
Conv_0,46.7859
Relu_1,44.1896
Conv_2,115.958
Relu_3,44.8942
Conv_4,226.2427
Relu_5,84.5619
MaxPool_6,58.8628
Conv_7,36.9558
Relu_8,23.7993
Conv_9,105.1893
Relu_10,23.6922
Conv_11,93.6844
Conv_12,94.44330000000001
Add_13,125.4756
Relu_14,84.40289999999999
Conv_15,101.7193
Relu_16,23.8094
Conv_17,104.8697
Relu_18,23.847900000000003
Conv_19,95.6692
Add_20,126.3454
Relu_21,84.5209
Conv_22,102.2106
Relu_23,23.8074
Conv_24,104.9268
Relu_25,23.504
Conv_26,93.83539999999999
Add_27,125.6514
Relu_28,84.8806
Conv_29,167.32379999999998
Relu_30,44.105199999999996
Conv_31,206.1693
Relu_32,12.6204
Conv_33,91.7771
Conv_34,169.7541
Add_35,65.03659999999999
Relu_36,44.3828
Conv_37,96.8617
Relu_38,12.0436
Conv_39,109.33030000000001
Relu_40,12.025
Conv_41,92.5795
Add_42,64.8626
Relu_43,45.0941
Conv_44,96.70989999999999
Relu_45,11.9587
Conv_46,109.13260000000001
Relu_47,12.014899999999999
Conv_48,93.5285
Add_49,65.1169
Relu_50,44.1638
Conv_51,96.742
Relu_52,11.8969
Conv_53,108.93339999999999
Relu_54,11.987200000000001
Conv_55,91.76
Add_56,64.7365
Relu_57,44.2641
Conv_58,184.7357
Relu_59,23.8216
Conv_60,236.9325
Relu_61,8.0716
Conv_62,98.92660000000001
Conv_63,184.7716
Add_64,34.6477
Relu_65,23.725
Conv_66,108.2354
Relu_67,6.5151
Conv_68,105.6092
Relu_69,6.9672
Conv_70,99.0424
Add_71,35.4715
Relu_72,23.972099999999998
Conv_73,109.4573
Relu_74,6.3057
Conv_75,104.8571
Relu_76,6.4162
Conv_77,99.5119
Add_78,34.6872
Relu_79,23.7671
Conv_80,107.99430000000001
Relu_81,6.7024
Conv_82,104.64789999999999
Relu_83,7.0035
Conv_84,98.9687
Add_85,34.9717
Relu_86,23.9419
Conv_87,108.7291
Relu_88,7.2058
Conv_89,104.6557
Relu_90,7.2486999999999995
Conv_91,98.8553
Add_92,34.905699999999996
Relu_93,23.7513
Conv_94,108.3943
Relu_95,6.6309
Conv_96,105.5673
Relu_97,6.4152
Conv_98,99.0054
Add_99,37.5192
Relu_100,23.7097
Conv_101,108.22630000000001
Relu_102,6.616
Conv_103,105.909
Relu_104,6.3824
Conv_105,99.0562
Add_106,34.9291
Relu_107,23.7213
Conv_108,113.0677
Relu_109,6.6788
Conv_110,104.67160000000001
Relu_111,7.1445
Conv_112,99.6071
Add_113,34.9276
Relu_114,24.3403
Conv_115,108.3566
Relu_116,7.1395
Conv_117,104.99719999999999
Relu_118,6.945600000000001
Conv_119,100.18060000000001
Add_120,34.8725
Relu_121,23.602
Conv_122,108.7577
Relu_123,7.035699999999999
Conv_124,104.5679
Relu_125,6.672899999999999
Conv_126,98.72710000000001
Add_127,35.0856
Relu_128,23.8262
Conv_129,108.366
Relu_130,7.3652
Conv_131,104.5356
Relu_132,7.9891000000000005
Conv_133,99.0532
Add_134,34.865300000000005
Relu_135,23.652900000000002
Conv_136,108.5974
Relu_137,6.8165
Conv_138,105.2319
Relu_139,6.723
Conv_140,99.1908
Add_141,35.8069
Relu_142,23.7007
Conv_143,108.8517
Relu_144,6.7409
Conv_145,104.5842
Relu_146,6.637
Conv_147,99.1837
Add_148,34.818599999999996
Relu_149,23.811799999999998
Conv_150,107.934
Relu_151,6.7543
Conv_152,104.6369
Relu_153,6.6448
Conv_154,99.0769
Add_155,34.974599999999995
Relu_156,23.7818
Conv_157,108.3532
Relu_158,6.7348
Conv_159,104.8277
Relu_160,6.4598
Conv_161,98.976
Add_162,34.8975
Relu_163,23.725099999999998
Conv_164,108.52680000000001
Relu_165,6.3439
Conv_166,104.5291
Relu_167,6.7598
Conv_168,98.9856
Add_169,34.744699999999995
Relu_170,23.8622
Conv_171,108.6472
Relu_172,6.6469
Conv_173,104.6811
Relu_174,6.5533
Conv_175,98.65469999999999
Add_176,34.7134
Relu_177,23.600900000000003
Conv_178,107.7972
Relu_179,7.677899999999999
Conv_180,104.5736
Relu_181,6.4206
Conv_182,99.07419999999999
Add_183,34.9928
Relu_184,23.9306
Conv_185,108.7348
Relu_186,7.1369
Conv_187,104.58630000000001
Relu_188,7.0017
Conv_189,98.9285
Add_190,35.493900000000004
Relu_191,23.7893
Conv_192,107.917
Relu_193,6.4346000000000005
Conv_194,104.6865
Relu_195,6.9186000000000005
Conv_196,99.6318
Add_197,34.857
Relu_198,23.8458
Conv_199,109.5266
Relu_200,6.3583
Conv_201,105.8715
Relu_202,6.5858
Conv_203,98.9399
Add_204,34.9769
Relu_205,23.5702
Conv_206,107.75439999999999
Relu_207,8.2706
Conv_208,104.688
Relu_209,7.7401
Conv_210,99.2225
Add_211,34.782300000000006
Relu_212,23.7621
Conv_213,108.26389999999999
Relu_214,6.4794
Conv_215,104.4399
Relu_216,6.6635
Conv_217,99.1008
Add_218,34.7459
Relu_219,23.872799999999998
Conv_220,183.7909
Relu_221,11.9115
Conv_222,395.4203
Relu_223,12.0219
Conv_224,350.6595
Conv_225,637.7647
Add_226,64.86580000000001
Relu_227,44.2515
Conv_228,355.3225
Relu_229,12.069799999999999
Conv_230,791.6974
Relu_231,11.9121
Conv_232,335.71790000000004
Add_233,64.9985
Relu_234,44.379599999999996
Conv_235,355.2061
Relu_236,12.021600000000001
Conv_237,790.432
Relu_238,11.9773
Conv_239,359.7627
Add_240,65.2214
Relu_241,44.665699999999994
Conv_242,3188.6488999999997
Relu_243,11.8654
Conv_244,818.15
Relu_245,11.849
Concat_246,56.8935
Conv_247,1921.7825
Relu_248,11.9754
Conv_249,34.4092
Shape_250,7.3917
Slice_253,12.2288
Concat_254,10.7285
Resize_256,114.3223
ArgMax_257,199.6739
