node,latency
Conv_2,762.7497
Relu_3,889.0893000000001
MaxPool_4,514.1005
Conv_5,134.5156
Relu_6,150.0645
Conv_7,375.7225
Relu_8,145.7212
Conv_9,549.5581
Conv_10,540.3067
Add_11,1280.3693
Relu_12,892.5826999999999
Conv_13,515.9712000000001
Relu_14,149.5494
Conv_15,373.9162
Relu_16,144.9474
Conv_17,542.5414000000001
Add_18,1282.9477
Relu_19,899.0305999999999
Conv_20,516.1674
Relu_21,147.5552
Conv_22,376.2263
Relu_23,146.4546
Conv_24,542.1098000000001
Add_25,1284.4929
Relu_26,884.88
Conv_27,648.0576
Relu_28,450.3066
Conv_29,629.1768000000001
Relu_30,15.543
Conv_31,273.6929
Conv_32,451.4264
Add_33,644.2047
Relu_34,452.30379999999997
Conv_35,286.549
Relu_36,15.6
Conv_37,228.97070000000002
Relu_38,14.8017
Conv_39,274.3677
Add_40,646.31
Relu_41,451.2774
Conv_42,269.0767
Relu_43,15.428700000000001
Conv_44,351.8193
Relu_45,14.665299999999998
Conv_46,274.9285
Add_47,651.7167
Relu_48,447.191
Conv_49,287.627
Relu_50,15.4715
Conv_51,348.1877
Relu_52,15.6281
Conv_53,274.8925
Add_54,654.2420999999999
Relu_55,448.4605
Conv_56,320.6318
Relu_57,143.35
Conv_58,397.8489
Relu_59,9.1578
Conv_60,136.9221
Conv_61,316.5263
Add_62,321.08070000000004
Relu_63,141.0393
Conv_64,134.318
Relu_65,9.2592
Conv_66,211.38029999999998
Relu_67,9.171
Conv_68,135.00029999999998
Add_69,319.315
Relu_70,139.3495
Conv_71,134.3533
Relu_72,9.2866
Conv_73,213.06560000000002
Relu_74,9.1479
Conv_75,134.4659
Add_76,319.53490000000005
Relu_77,141.75029999999998
Conv_78,131.55579999999998
Relu_79,9.0961
Conv_80,208.9074
Relu_81,9.4774
Conv_82,136.54070000000002
Add_83,327.31559999999996
Relu_84,138.7904
Conv_85,137.8141
Relu_86,9.238
Conv_87,207.70620000000002
Relu_88,8.6601
Conv_89,135.1972
Add_90,323.8241
Relu_91,147.80689999999998
Conv_92,133.35389999999998
Relu_93,9.4659
Conv_94,208.31470000000002
Relu_95,9.193100000000001
Conv_96,134.2237
Add_97,323.7128
Relu_98,142.14229999999998
Conv_99,134.9512
Relu_100,9.1942
Conv_101,208.30120000000002
Relu_102,9.1733
Conv_103,134.1778
Add_104,322.99240000000003
Relu_105,140.9389
Conv_106,133.443
Relu_107,9.2228
Conv_108,208.78879999999998
Relu_109,9.3261
Conv_110,134.02679999999998
Add_111,324.7237
Relu_112,137.5341
Conv_113,134.7075
Relu_114,9.1366
Conv_115,208.26420000000002
Relu_116,9.3194
Conv_117,133.35420000000002
Add_118,322.95059999999995
Relu_119,140.7963
Conv_120,130.9515
Relu_121,9.1518
Conv_122,209.1997
Relu_123,9.0581
Conv_124,134.82229999999998
Add_125,324.564
Relu_126,138.9613
Conv_127,130.3619
Relu_128,9.0804
Conv_129,209.8044
Relu_130,9.0747
Conv_131,135.2022
Add_132,325.6311
Relu_133,139.2006
Conv_134,133.8872
Relu_135,9.161200000000001
Conv_136,208.7441
Relu_137,9.7448
Conv_138,134.3177
Add_139,325.6191
Relu_140,139.497
Conv_141,136.5966
Relu_142,9.2304
Conv_143,209.17510000000001
Relu_144,9.0959
Conv_145,133.92620000000002
Add_146,322.4897
Relu_147,143.09279999999998
Conv_148,135.69279999999998
Relu_149,9.0921
Conv_150,207.8451
Relu_151,8.841
Conv_152,133.036
Add_153,323.0794
Relu_154,148.7996
Conv_155,135.63739999999999
