node,latency
Conv_2,2132.2326000000003
Relu_3,1395.8296
MaxPool_4,944.9404000000001
Conv_5,388.9287
Relu_6,351.53209999999996
Conv_7,998.2225
Relu_8,352.3292
Conv_9,1146.3573999999999
Conv_10,1146.8373000000001
Add_11,2129.7937
Relu_12,1395.4492
Conv_13,967.4508000000001
Relu_14,352.9343
Conv_15,996.5351999999999
Relu_16,351.5004
Conv_17,1145.8153
Add_18,2130.1372
Relu_19,1395.638
Conv_20,975.8639000000001
Relu_21,351.4937
Conv_22,998.1798
Relu_23,351.3609
Conv_24,1146.9961
Add_25,2129.1423
Relu_26,1395.2557
Conv_27,1530.9151000000002
Relu_28,699.3562
Conv_29,1522.5503
Relu_30,177.6899
Conv_31,847.7268
Conv_32,1521.5135
Add_33,1064.0527
Relu_34,700.0561
Conv_35,733.7988
Relu_36,177.5952
Conv_37,843.5673
Relu_38,177.4719
Conv_39,857.2622
Add_40,1064.2012
Relu_41,702.1433000000001
Conv_42,733.4269
Relu_43,177.5112
Conv_44,842.9789000000001
Relu_45,177.9073
Conv_46,857.6884
Add_47,1064.505
Relu_48,700.1733
Conv_49,732.8774000000001
Relu_50,177.72879999999998
Conv_51,842.3175
Relu_52,177.76129999999998
Conv_53,850.3604
Add_54,1064.6975
Relu_55,699.3621999999999
Conv_56,1439.1933999999999
Relu_57,351.8103
Conv_58,1697.705
Relu_59,90.66560000000001
Conv_60,785.3424
Conv_61,1488.7604
Add_62,534.0949
Relu_63,351.74609999999996
Conv_64,766.0522
Relu_65,91.7932
Conv_66,946.9417
Relu_67,90.63119999999999
Conv_68,786.429
Add_69,535.2361999999999
Relu_70,351.63370000000003
Conv_71,766.8968000000001
Relu_72,90.6279
Conv_73,948.6443
Relu_74,91.0649
Conv_75,792.2614
Add_76,534.5091
Relu_77,352.1899
Conv_78,763.7281999999999
Relu_79,90.7337
Conv_80,938.2996999999999
Relu_81,90.6574
Conv_82,783.2669000000001
Add_83,534.8557
Relu_84,351.7705
Conv_85,763.5059
Relu_86,90.6074
Conv_87,946.5645
Relu_88,90.643
Conv_89,773.8385
Add_90,536.1361999999999
Relu_91,351.7901
Conv_92,764.3284
Relu_93,90.756
Conv_94,951.0044
Relu_95,90.5808
Conv_96,783.9601
Add_97,534.3163000000001
Relu_98,352.5041
Conv_99,766.5595999999999
Relu_100,91.8356
Conv_101,944.7758
Relu_102,90.718
Conv_103,783.6291
Add_104,533.6646999999999
Relu_105,351.67409999999995
Conv_106,765.2193000000001
Relu_107,90.5392
Conv_108,949.771
Relu_109,90.63810000000001
Conv_110,775.9923
Add_111,534.0617
Relu_112,351.8207
Conv_113,764.1895
Relu_114,90.5423
Conv_115,943.0491
Relu_116,90.5465
Conv_117,779.5165999999999
Add_118,533.9805
Relu_119,351.63140000000004
Conv_120,795.2774000000001
Relu_121,90.5633
Conv_122,951.0568000000001
Relu_123,90.59230000000001
Conv_124,778.7866
Add_125,534.3724
Relu_126,351.7437
Conv_127,763.9424
Relu_128,90.5518
Conv_129,946.3456
Relu_130,90.59339999999999
Conv_131,777.6556999999999
Add_132,534.8056
Relu_133,351.6237
Conv_134,765.7386
Relu_135,90.7645
Conv_136,941.9812
Relu_137,90.83789999999999
Conv_138,785.5549
Add_139,534.3901999999999
Relu_140,351.6427
Conv_141,765.9775
Relu_142,90.56689999999999
Conv_143,945.3818
Relu_144,90.5748
Conv_145,779.0142
Add_146,534.4861
Relu_147,352.1965
Conv_148,765.3705
Relu_149,90.52289999999999
Conv_150,947.1681
Relu_151,90.5976
Conv_152,781.2068
Add_153,534.0436
Relu_154,351.5088
Conv_155,764.2869000000001
Relu_156,90.6023
Conv_157,943.3055
Relu_158,90.50619999999999
Conv_159,790.2648
Add_160,534.4301999999999
Relu_161,351.7474
Conv_162,764.3366
Relu_163,90.5723
Conv_164,963.003
Relu_165,90.49210000000001
Conv_166,782.3955
Add_167,534.1669
Relu_168,351.7004
Conv_169,765.1665
Relu_170,90.4576
Conv_171,956.7123
Relu_172,90.9205
Conv_173,789.4191
Add_174,533.8598000000001
Relu_175,351.701
Conv_176,786.2364
Relu_177,91.251
Conv_178,953.1120999999999
Relu_179,91.7883
Conv_180,790.5781999999999
Add_181,534.7443000000001
Relu_182,351.8207
Conv_183,766.542
Relu_184,90.4737
Conv_185,948.4508000000001
Relu_186,90.5265
Conv_187,778.4471
Add_188,533.8025
Relu_189,351.60409999999996
Conv_190,771.9352
Relu_191,90.6901
Conv_192,943.4143
Relu_193,90.7313
Conv_194,781.6332
Add_195,534.1579
Relu_196,352.9739
Conv_197,824.9015
Relu_198,90.489
Conv_199,950.6047
Relu_200,90.4949
Conv_201,780.0589
Add_202,533.7155
Relu_203,352.3336
Conv_204,772.6646999999999
Relu_205,90.5394
Conv_206,948.4845
Relu_207,90.4142
Conv_208,771.9176
Add_209,534.0785
Relu_210,351.55859999999996
Conv_211,815.7416999999999
Relu_212,90.3699
Conv_213,952.0788
Relu_214,90.54
Conv_215,774.7689
Add_216,533.7411
Relu_217,351.56609999999995
Conv_218,1361.14
Relu_219,177.70870000000002
Conv_220,2012.9339
Relu_221,47.1064
Conv_222,768.4261
Conv_223,1547.9038
Add_224,268.7404
Relu_225,177.6514
Conv_226,837.4243
Relu_227,47.0391
Conv_228,1582.3889
Relu_229,47.1495
Conv_230,773.9531999999999
Add_231,269.4753
Relu_232,177.9279
Conv_233,824.3546
Relu_234,47.1085
Conv_235,1586.552
Relu_236,47.114599999999996
Conv_237,787.1415
Add_238,269.25509999999997
Relu_239,178.2723
Conv_240,1437.6594
Conv_241,805.4390999999999
Conv_242,420.84590000000003
Shape_243,8.258299999999998
Gather_244,8.1237
Shape_245,9.7382
Slice_248,8.8771
Cast_249,6.6411999999999995
Concat_250,9.944700000000001
Resize_252,59.100300000000004
Add_253,136.69989999999999
Shape_254,6.6497
Gather_255,8.682799999999999
Shape_256,7.0395
Slice_257,7.7002
Cast_258,6.676399999999999
Concat_259,11.125200000000001
Resize_260,227.8711
Add_261,534.0995
Conv_262,3769.1767
Conv_263,948.4975
Conv_264,391.62140000000005
Conv_265,1369.4871
Conv_266,104.68169999999999
Conv_267,4049.067
Relu_268,351.6402
Conv_269,3663.4497
Relu_270,351.6323
Conv_271,3783.6752
Relu_272,351.6366
Conv_273,3976.5624
Relu_274,351.6757
Conv_275,3956.9835
Relu_276,351.52479999999997
Conv_277,4039.1124
Relu_278,351.6543
Conv_279,4043.4391
Relu_280,351.9245
Conv_281,3937.9555
Relu_282,352.9508
Conv_283,1164.9596999999999
Conv_284,446.321
Relu_285,6.3864
Conv_286,941.6138000000001
Relu_287,90.6087
Conv_288,956.2432
Relu_289,90.721
Conv_290,945.3814
Relu_291,90.6484
Conv_292,945.6455
Relu_293,90.5661
Conv_294,949.0373000000001
Relu_295,90.641
Conv_296,955.4937
Relu_297,90.46310000000001
Conv_298,944.6329000000001
Relu_299,90.4617
Conv_300,951.043
Relu_301,90.6623
Conv_302,375.0161
Conv_303,142.1796
Relu_304,6.0731
Conv_305,392.47709999999995
Relu_306,22.762900000000002
Conv_307,391.5721
Relu_308,22.5551
Conv_309,391.4237
Relu_310,22.7907
Conv_311,390.7615
Relu_312,22.867900000000002
Conv_313,390.88390000000004
Relu_314,22.8616
Conv_315,389.48940000000005
Relu_316,22.869799999999998
Conv_317,390.2963
Relu_318,23.323700000000002
Conv_319,392.6932
Relu_320,23.7731
Conv_321,158.495
Conv_322,80.5137
Relu_323,6.395899999999999
Conv_324,154.28920000000002
Relu_325,6.2752
Conv_326,154.21710000000002
Relu_327,6.0346
Conv_328,154.7577
Relu_329,6.1406
Conv_330,154.6068
Relu_331,6.2699
Conv_332,154.4747
Relu_333,9.8379
Conv_334,155.48229999999998
Relu_335,6.0247
Conv_336,154.1684
Relu_337,6.1983999999999995
Conv_338,154.0195
Relu_339,6.3728
Conv_340,79.689
Conv_341,45.32
Relu_342,5.9973
Conv_343,81.75919999999999
Relu_344,9.524799999999999
Conv_345,82.0974
Relu_346,6.3155
Conv_347,82.06830000000001
Relu_348,6.0585
Conv_349,82.2826
Relu_350,6.0119
Conv_351,81.5565
Relu_352,6.9047
Conv_353,81.8938
Relu_354,6.1577
Conv_355,81.988
Relu_356,6.136100000000001
Conv_357,81.6815
Relu_358,6.1207
Conv_359,44.9846
Conv_360,44.667
Relu_361,6.1078
Shape_362,10.1488
Gather_364,8.1976
Transpose_365,132.0295
Unsqueeze_366,7.0454
Concat_367,13.824
Reshape_368,117.6833
Sigmoid_369,112.44460000000001
Transpose_370,9.6123
Concat_371,13.579
Reshape_372,7.0871
Shape_374,6.3484
Gather_375,8.0388
Gather_377,7.5714
Unsqueeze_378,7.065600000000001
Unsqueeze_379,8.0105
Concat_380,12.710799999999999
Concat_382,10.0335
Shape_383,6.045100000000001
Gather_384,7.5893999999999995
Gather_385,7.4927
Unsqueeze_386,7.5121
Unsqueeze_387,7.6354
Concat_388,13.9845
Add_391,16.396900000000002
Concat_392,132.393
ReduceMax_393,86.06089999999999
TopK_394,79.2658
Shape_395,9.0347
Gather_396,9.1821
Gather_398,7.5487
GatherTopk_399,7.3757
Cast_400,6.7138
Shape_401,6.3011
Gather_402,8.805200000000001
Unsqueeze_403,6.9255
Unsqueeze_404,6.9502
Unsqueeze_405,7.6322
Concat_406,12.8282
Reshape_407,8.0111
GatherTopk_408,24.9832
Cast_409,17.0627
Shape_410,9.4761
Gather_411,8.0535
Unsqueeze_412,8.8339
Concat_413,12.8474
Reshape_414,16.4724
Flatten_415,7.216399999999999
Add_416,6.1147
Gather_417,7.7409
Shape_418,6.631399999999999
Concat_419,10.899899999999999
Reshape_420,6.8129
Transpose_421,43.622
Reshape_422,31.5839
Sigmoid_423,30.657400000000003
Transpose_424,7.1756
Reshape_425,8.244299999999999
Shape_427,6.634399999999999
Gather_428,9.280899999999999
Gather_429,9.3832
Unsqueeze_430,7.3957
Unsqueeze_431,7.4271
Concat_432,12.8015
Concat_434,10.0314
Shape_435,6.189
Gather_436,8.0463
Gather_437,8.5094
Unsqueeze_438,7.9678
Unsqueeze_439,10.0589
Concat_440,13.8743
Add_442,17.142400000000002
Concat_443,49.1917
ReduceMax_444,35.1644
TopK_445,29.1455
Shape_446,6.6306
Gather_447,7.3761
Gather_448,8.1128
GatherTopk_449,8.7147
Cast_450,7.5991
Shape_451,6.004899999999999
Gather_452,10.0267
Unsqueeze_453,7.9813
Unsqueeze_454,6.961
Unsqueeze_455,7.6088000000000005
Concat_456,18.6918
Reshape_457,8.7611
GatherTopk_458,24.437
Cast_459,16.621299999999998
Shape_460,6.5745
Gather_461,8.0229
Unsqueeze_462,7.5498
Concat_463,14.712
Reshape_464,16.9924
Flatten_465,6.9962
Add_466,6.9991
Gather_467,7.6953000000000005
Shape_468,6.8886
Concat_469,10.969899999999999
Reshape_470,13.2467
Transpose_471,11.9807
Reshape_472,7.3465
Sigmoid_473,6.1057
Transpose_474,8.3915
Reshape_475,7.1828
Shape_477,6.444
Gather_478,8.634799999999998
Gather_479,7.998
Unsqueeze_480,7.0567
Unsqueeze_481,6.9797
Concat_482,14.4003
Concat_484,10.1375
Shape_485,6.645899999999999
Gather_486,8.2244
Gather_487,9.039100000000001
Unsqueeze_488,8.4295
Unsqueeze_489,9.108600000000001
Concat_490,15.9192
Add_492,16.3967
Concat_493,28.0245
ReduceMax_494,16.7331
TopK_495,27.593400000000003
Shape_496,6.171399999999999
Gather_497,7.5308
Gather_498,7.682300000000001
GatherTopk_499,7.676399999999999
Cast_500,8.1793
Shape_501,6.724600000000001
Gather_502,7.6675
Unsqueeze_503,7.7316
Unsqueeze_504,7.638
Unsqueeze_505,7.0018
Concat_506,15.265799999999999
Reshape_507,6.9714
GatherTopk_508,24.331799999999998
Cast_509,16.9321
Shape_510,6.4568
Gather_511,8.1961
Unsqueeze_512,8.4097
Concat_513,12.8163
Reshape_514,16.7683
Flatten_515,7.0155
Add_516,6.1776
Gather_517,7.466
Shape_518,6.600899999999999
Concat_519,12.0677
