node,latency
Conv_2,1289.7003
Relu_3,856.825
MaxPool_4,522.9508
Conv_5,246.06429999999997
Relu_6,216.4916
Conv_7,876.5401999999999
Relu_8,216.03070000000002
Conv_9,630.5686
Conv_10,629.4816
Add_11,1235.9113
Relu_12,856.2299
Conv_13,567.9533
Relu_14,215.942
Conv_15,880.6145
Relu_16,216.0712
Conv_17,628.9105999999999
Add_18,1232.58
Relu_19,856.3831
Conv_20,570.6266999999999
Relu_21,216.1936
Conv_22,890.0391
Relu_23,215.8584
Conv_24,627.9607
Add_25,1232.3365
Relu_26,856.0975
Conv_27,994.3652
Relu_28,429.8673
Conv_29,1047.1231
Relu_30,109.52189999999999
Conv_31,546.5833
Conv_32,998.2593
Add_33,616.0405
Relu_34,429.33790000000005
Conv_35,479.1226
Relu_36,109.69739999999999
Conv_37,781.3847
Relu_38,109.7245
Conv_39,550.3996999999999
Add_40,616.3102
Relu_41,429.71520000000004
Conv_42,479.1678
Relu_43,110.5894
Conv_44,786.3628
Relu_45,109.4885
Conv_46,547.2102
Add_47,616.3262
Relu_48,429.336
Conv_49,494.18640000000005
Relu_50,110.05810000000001
Conv_51,768.6294
Relu_52,109.78710000000001
Conv_53,546.0962
Add_54,616.9868
Relu_55,429.4446
Conv_56,942.1811
Relu_57,216.0061
Conv_58,1134.0439
Relu_59,56.1981
Conv_60,512.4698
Conv_61,955.2755
Add_62,309.1488
Relu_63,215.9096
Conv_64,522.1916
Relu_65,56.336
Conv_66,843.0264
Relu_67,56.2543
Conv_68,507.71790000000004
Add_69,309.1525
Relu_70,215.8703
Conv_71,525.1456999999999
Relu_72,56.3351
Conv_73,825.7121999999999
Relu_74,56.2705
Conv_75,506.4485
Add_76,309.3362
Relu_77,215.90210000000002
Conv_78,524.9445999999999
Relu_79,56.4655
Conv_80,823.6016999999999
Relu_81,56.2314
Conv_82,512.7075
Add_83,309.0353
Relu_84,216.098
Conv_85,521.2347
Relu_86,56.2446
Conv_87,829.5294
Relu_88,56.4393
Conv_89,517.4049
Add_90,309.20059999999995
Relu_91,215.99720000000002
Conv_92,524.8345
Relu_93,56.3135
Conv_94,817.2796999999999
Relu_95,56.3864
Conv_96,507.70090000000005
Add_97,309.5612
Relu_98,215.97129999999999
Conv_99,522.5495
Relu_100,56.3074
Conv_101,805.6432
Relu_102,56.2979
Conv_103,507.6053
Add_104,309.1502
Relu_105,216.1174
Conv_106,522.6966
Relu_107,56.591300000000004
Conv_108,830.2721
Relu_109,56.376400000000004
Conv_110,514.8314
Add_111,311.0808
Relu_112,216.376
Conv_113,520.4445999999999
Relu_114,56.208400000000005
Conv_115,824.7655
Relu_116,56.269800000000004
Conv_117,505.1415
Add_118,309.5068
Relu_119,215.9109
Conv_120,522.1042
Relu_121,56.2504
Conv_122,830.574
Relu_123,56.396699999999996
Conv_124,506.7561
Add_125,309.4348
Relu_126,215.8076
Conv_127,521.7464
Relu_128,56.3135
Conv_129,824.5427
Relu_130,56.2875
Conv_131,511.9183
Add_132,309.4675
Relu_133,215.706
Conv_134,523.4717
Relu_135,56.318
Conv_136,812.2375999999999
Relu_137,56.3912
Conv_138,504.6355
Add_139,310.4502
Relu_140,215.66979999999998
Conv_141,522.6824
Relu_142,56.313
Conv_143,821.2687
Relu_144,56.2767
Conv_145,518.5853
Add_146,309.651
Relu_147,216.4158
Conv_148,524.5757
Relu_149,56.1767
Conv_150,826.9725
Relu_151,59.1915
Conv_152,516.4154
Add_153,310.568
Relu_154,215.5215
Conv_155,524.8258000000001
Relu_156,56.6039
Conv_157,824.1319
Relu_158,56.344199999999994
Conv_159,508.4644
Add_160,310.7647
Relu_161,215.8553
Conv_162,536.4412
Relu_163,56.487199999999994
Conv_164,812.7624000000001
Relu_165,56.4118
Conv_166,512.1964
Add_167,309.97659999999996
Relu_168,215.78289999999998
Conv_169,526.2425
Relu_170,56.4175
Conv_171,824.3067
Relu_172,56.5091
Conv_173,507.7237
Add_174,310.1545
Relu_175,215.7128
Conv_176,523.7112999999999
Relu_177,56.3206
Conv_178,817.2641
Relu_179,56.3786
Conv_180,514.6215
Add_181,310.158
Relu_182,215.8201
Conv_183,523.1588
Relu_184,56.2941
Conv_185,818.8036999999999
Relu_186,56.2455
Conv_187,513.9123
Add_188,309.8933
Relu_189,215.6971
Conv_190,521.765
Relu_191,56.2965
Conv_192,826.6716
Relu_193,56.2757
Conv_194,512.3048
Add_195,310.0385
Relu_196,215.8074
Conv_197,518.2139
Relu_198,56.8423
Conv_199,805.921
Relu_200,56.378099999999996
Conv_201,507.59929999999997
Add_202,310.3536
