node,latency
Conv_2,593.0879
Relu_3,256.0701
MaxPool_4,171.54410000000001
Conv_5,86.4662
Relu_6,66.8257
Conv_7,308.307
Relu_8,66.8426
Conv_9,264.7049
Conv_10,264.7075
Add_11,383.7942
Relu_12,255.68820000000002
Conv_13,258.3799
Relu_14,66.8683
Conv_15,310.9842
Relu_16,67.0175
Conv_17,264.8027
Add_18,383.6609
Relu_19,256.49739999999997
Conv_20,257.3481
Relu_21,66.831
Conv_22,310.4842
Relu_23,67.0451
Conv_24,264.9734
Add_25,383.2625
Relu_26,256.32329999999996
Conv_27,477.342
Relu_28,129.8463
Conv_29,571.813
Relu_30,35.6353
Conv_31,249.1469
Conv_32,476.53520000000003
Add_33,193.4334
Relu_34,129.701
Conv_35,289.6732
Relu_36,35.6117
Conv_37,282.52790000000005
Relu_38,35.3664
Conv_39,249.2347
Add_40,193.8734
Relu_41,129.83960000000002
Conv_42,289.32059999999996
Relu_43,35.5017
Conv_44,283.4151
Relu_45,35.588699999999996
Conv_46,255.6439
Add_47,194.0961
Relu_48,130.2004
Conv_49,288.26759999999996
Relu_50,35.6283
Conv_51,288.57590000000005
Relu_52,35.5354
Conv_53,247.9074
Add_54,194.2036
Relu_55,129.764
Conv_56,513.8652999999999
Relu_57,68.2305
Conv_58,601.1148000000001
Relu_59,20.479200000000002
Conv_60,249.1621
Conv_61,515.0147000000001
Add_62,99.23010000000001
Relu_63,67.2403
Conv_64,269.321
Relu_65,19.8718
Conv_66,305.93629999999996
Relu_67,19.6662
Conv_68,251.536
Add_69,99.0959
Relu_70,66.6717
Conv_71,269.7554
Relu_72,19.5637
Conv_73,305.6947
Relu_74,19.730400000000003
Conv_75,257.1906
Add_76,98.9106
Relu_77,66.88489999999999
Conv_78,269.53520000000003
Relu_79,19.7328
Conv_80,305.00690000000003
Relu_81,19.895400000000002
Conv_82,250.688
Add_83,99.5363
Relu_84,67.32
Conv_85,269.2975
Relu_86,19.6167
Conv_87,304.747
Relu_88,19.782400000000003
Conv_89,244.3607
Add_90,99.5123
Relu_91,66.9037
Conv_92,270.2269
Relu_93,19.7652
Conv_94,304.632
Relu_95,19.5607
Conv_96,254.9282
Add_97,99.44330000000001
Relu_98,66.7205
Conv_99,269.329
Relu_100,19.846400000000003
Conv_101,304.62190000000004
Relu_102,19.546
Conv_103,254.08929999999998
Add_104,99.7766
Relu_105,67.007
Conv_106,269.3665
Relu_107,19.4958
Conv_108,304.8372
Relu_109,19.7503
Conv_110,249.0387
Add_111,99.52289999999999
Relu_112,66.96430000000001
Conv_113,271.2195
Relu_114,19.463099999999997
Conv_115,304.2766
Relu_116,19.561400000000003
Conv_117,247.1633
Add_118,99.5811
Relu_119,66.7656
Conv_120,269.382
Relu_121,19.603
Conv_122,305.4589
Relu_123,19.9373
Conv_124,248.17170000000002
Add_125,99.5751
Relu_126,66.8943
Conv_127,269.5125
Relu_128,19.8443
Conv_129,304.406
Relu_130,19.7524
Conv_131,256.0325
Add_132,99.7679
Relu_133,66.9011
Conv_134,269.48490000000004
Relu_135,20.5823
Conv_136,305.39140000000003
Relu_137,19.6845
Conv_138,255.2999
Add_139,99.5532
Relu_140,66.9152
Conv_141,269.4968
Relu_142,19.696099999999998
Conv_143,304.15990000000005
Relu_144,19.4195
Conv_145,255.3074
Add_146,98.705
Relu_147,67.01480000000001
Conv_148,269.538
Relu_149,19.9675
Conv_150,305.2114
Relu_151,19.8609
Conv_152,254.76170000000002
Add_153,99.1832
Relu_154,67.11919999999999
Conv_155,269.8842
Relu_156,19.546599999999998
Conv_157,304.2515
Relu_158,19.7405
Conv_159,251.3821
Add_160,99.6539
Relu_161,66.9557
Conv_162,270.0818
Relu_163,19.508200000000002
Conv_164,305.7725
Relu_165,19.657
Conv_166,255.9807
Add_167,98.876
Relu_168,67.062
Conv_169,269.241
Relu_170,19.6415
Conv_171,304.3375
Relu_172,19.5555
Conv_173,254.32670000000002
Add_174,98.8876
Relu_175,66.9619
Conv_176,269.4448
Relu_177,19.4971
Conv_178,305.0387
Relu_179,19.8895
Conv_180,253.92970000000003
Add_181,99.1049
Relu_182,66.94630000000001
Conv_183,269.3595
Relu_184,19.7147
Conv_185,304.2663
Relu_186,19.6833
Conv_187,257.1599
Add_188,99.5582
Relu_189,67.1027
Conv_190,269.2964
Relu_191,19.4139
Conv_192,307.8643
Relu_193,19.5877
Conv_194,247.0552
Add_195,98.7222
Relu_196,66.9515
Conv_197,271.1325
Relu_198,19.672400000000003
Conv_199,304.6335
Relu_200,19.7544
Conv_201,254.1741
Add_202,99.0485
Relu_203,66.9916
Conv_204,269.86159999999995
Relu_205,19.6711
Conv_206,304.9697
Relu_207,19.557
Conv_208,254.4775
Add_209,98.8305
Relu_210,67.1323
Conv_211,270.1578
Relu_212,19.8044
Conv_213,304.29909999999995
Relu_214,19.7668
Conv_215,254.1028
Add_216,100.5928
Relu_217,67.2065
Conv_218,540.3448000000001
Relu_219,35.4631
Conv_220,647.8446
Relu_221,7.6019
Conv_222,295.4796
Conv_223,576.6967
Add_224,51.6381
Relu_225,35.4732
Conv_226,292.11359999999996
Relu_227,7.630199999999999
Conv_228,494.225
Relu_229,8.695799999999998
Conv_230,289.551
Add_231,51.7851
Relu_232,35.542
Conv_233,291.2681
Relu_234,7.6893
Conv_235,497.5386
Relu_236,7.8553999999999995
Conv_237,291.4229
Add_238,51.879
Relu_239,35.639
Conv_240,518.2094000000001
Conv_241,269.2097
Conv_242,172.0892
Shape_243,6.739
Gather_244,8.4196
Shape_245,7.11
Slice_248,10.7477
Cast_249,7.7783
Concat_250,10.0645
Resize_252,22.725099999999998
Add_253,28.0607
Shape_254,7.3905
Gather_255,8.9259
Shape_256,7.3006
Slice_257,7.6313
Cast_258,7.3168999999999995
Concat_259,11.195200000000002
Resize_260,75.8473
Add_261,99.18169999999999
Conv_262,1021.6903000000001
Conv_263,307.0578
Conv_264,155.653
Conv_265,851.2251
Conv_266,113.6052
Conv_267,1028.4503
Relu_268,67.09389999999999
Conv_269,1028.9583
Relu_270,67.2715
Conv_271,1014.8649
Relu_272,67.4526
Conv_273,1023.9075
Relu_274,67.1165
Conv_275,1021.0571
Relu_276,67.001
Conv_277,1035.1973
Relu_278,67.1344
Conv_279,1024.706
Relu_280,67.0954
Conv_281,1030.9733
Relu_282,67.1475
Conv_283,411.322
Conv_284,160.4655
Relu_285,6.7781
Conv_286,306.0552
Relu_287,19.4477
Conv_288,305.0981
Relu_289,19.6324
Conv_290,305.32009999999997
Relu_291,19.566200000000002
Conv_292,305.505
Relu_293,20.5942
Conv_294,306.1203
Relu_295,19.5194
Conv_296,305.3387
Relu_297,19.6862
Conv_298,305.49559999999997
Relu_299,20.3996
Conv_300,305.36240000000004
Relu_301,19.4217
Conv_302,156.22629999999998
