node,latency
Conv_0,37.680800000000005
Relu_1,19.039900000000003
Conv_2,292.18059999999997
Relu_3,19.153599999999997
Conv_4,323.2225
Relu_5,268.9862
MaxPool_6,33.2942
Conv_7,25.1238
Relu_8,11.2454
Conv_9,126.32730000000001
Relu_10,11.3309
Conv_11,160.0371
Conv_12,160.3322
Add_13,429.82590000000005
Relu_14,268.9567
Conv_15,56.682
Relu_16,11.7782
Conv_17,126.4712
Relu_18,11.4239
Conv_19,160.5566
Add_20,430.99190000000004
Relu_21,267.95390000000003
Conv_22,55.970099999999995
Relu_23,10.9714
Conv_24,124.80069999999999
Relu_25,10.4701
Conv_26,160.72639999999998
Add_27,430.7408
Relu_28,266.8581
Conv_29,111.9328
Relu_30,19.2498
Conv_31,112.631
Relu_32,7.324
Conv_33,54.015
Conv_34,109.7145
Add_35,58.3835
Relu_36,18.8332
Conv_37,63.5695
Relu_38,7.4738
Conv_39,107.56569999999999
Relu_40,7.348
Conv_41,52.4281
Add_42,58.5315
Relu_43,19.072
Conv_44,63.2746
Relu_45,7.4197
Conv_46,101.89710000000001
Relu_47,7.4083000000000006
Conv_48,53.7757
Add_49,57.8531
Relu_50,19.2903
Conv_51,63.1256
Relu_52,7.4929
Conv_53,105.936
Relu_54,7.3285
Conv_55,54.022400000000005
Add_56,64.4226
Relu_57,18.8803
Conv_58,133.8558
Relu_59,10.6953
Conv_60,287.11409999999995
Relu_61,10.7874
Conv_62,190.8339
Conv_63,373.87059999999997
Add_64,414.387
Relu_65,268.2257
Conv_66,178.7965
Relu_67,10.896600000000001
Conv_68,304.1427
Relu_69,10.910200000000001
Conv_70,188.6139
Add_71,418.498
Relu_72,268.7455
Conv_73,181.454
Relu_74,10.91
Conv_75,300.1631
Relu_76,10.9491
Conv_77,188.876
Add_78,407.0548
Relu_79,269.17
Conv_80,179.16039999999998
Relu_81,11.0415
Conv_82,297.7321
Relu_83,10.7499
Conv_84,190.63070000000002
Add_85,404.9019
Relu_86,268.481
Conv_87,180.6094
Relu_88,10.9394
Conv_89,304.94590000000005
Relu_90,10.8874
Conv_91,188.8835
Add_92,429.9109
Relu_93,266.8077
Conv_94,179.6972
Relu_95,10.7445
Conv_96,296.9508
Relu_97,10.9394
Conv_98,189.99089999999998
Add_99,414.48859999999996
Relu_100,274.04879999999997
Conv_101,185.4843
Relu_102,10.994200000000001
Conv_103,296.3767
Relu_104,11.063600000000001
Conv_105,189.9298
Add_106,404.8922
Relu_107,268.25690000000003
Conv_108,185.755
Relu_109,10.846200000000001
Conv_110,289.5217
Relu_111,10.856200000000001
Conv_112,185.4683
Add_113,411.5489
Relu_114,268.6967
Conv_115,181.0324
Relu_116,10.819700000000001
Conv_117,289.1415
Relu_118,10.8491
Conv_119,184.3865
Add_120,430.58529999999996
Relu_121,269.46259999999995
Conv_122,181.4942
Relu_123,10.9487
Conv_124,298.649
Relu_125,10.767299999999999
Conv_126,184.1449
Add_127,429.76959999999997
Relu_128,268.396
Conv_129,183.2188
Relu_130,11.011899999999999
Conv_131,308.64
Relu_132,10.7715
Conv_133,186.0095
Add_134,421.86159999999995
Relu_135,269.2907
Conv_136,183.6861
Relu_137,10.6869
Conv_138,296.5048
Relu_139,10.739600000000001
Conv_140,185.9539
Add_141,409.9031
Relu_142,267.9742
Conv_143,181.3571
Relu_144,10.9553
Conv_145,298.7835
Relu_146,10.976299999999998
Conv_147,183.0101
Add_148,425.337
Relu_149,268.16209999999995
Conv_150,182.4865
Relu_151,10.8599
Conv_152,297.4781
Relu_153,11.5861
Conv_154,183.3186
Add_155,411.7307
Relu_156,269.7714
Conv_157,181.8245
Relu_158,10.962200000000001
Conv_159,296.61379999999997
Relu_160,10.9353
Conv_161,183.24689999999998
Add_162,430.2527
Relu_163,269.0414
Conv_164,181.71329999999998
Relu_165,10.8825
Conv_166,284.3333
Relu_167,10.4527
Conv_168,179.9589
Add_169,403.6639
Relu_170,268.80940000000004
Conv_171,180.0634
Relu_172,10.901
Conv_173,292.6001
Relu_174,10.7757
Conv_175,181.16039999999998
Add_176,419.2946
Relu_177,268.1367
Conv_178,182.5228
Relu_179,10.902
Conv_180,294.4825
Relu_181,10.7855
Conv_182,179.1323
Add_183,411.1419
Relu_184,270.5438
Conv_185,180.6266
Relu_186,10.790899999999999
Conv_187,292.192
Relu_188,10.9888
Conv_189,180.541
Add_190,409.2072
Relu_191,270.096
Conv_192,178.89970000000002
Relu_193,10.4946
Conv_194,277.8128
Relu_195,10.8479
Conv_196,180.3056
Add_197,428.51959999999997
Relu_198,268.23159999999996
Conv_199,182.8405
Relu_200,10.614
Conv_201,277.9991
Relu_202,10.8351
Conv_203,178.63729999999998
Add_204,410.21040000000005
Relu_205,269.1855
Conv_206,180.0998
Relu_207,10.789
Conv_208,295.316
Relu_209,10.9459
Conv_210,179.7363
Add_211,431.9151
Relu_212,267.9555
Conv_213,182.85729999999998
Relu_214,10.9089
Conv_215,296.0303
Relu_216,10.9595
Conv_217,178.8809
Add_218,427.2397
Relu_219,267.5599
Conv_220,345.5791
Relu_221,19.343
Conv_222,1046.9971
Relu_223,18.96
Conv_224,644.9484
Conv_225,1241.4838
Add_226,802.3465
Relu_227,568.4995
Conv_228,659.8168000000001
Relu_229,18.8868
Conv_230,1057.1417
Relu_231,19.1139
Conv_232,642.8179
Add_233,806.9742
Relu_234,567.9685999999999
Conv_235,652.5707
Relu_236,19.077900000000003
Conv_237,1047.2641999999998
Relu_238,18.503700000000002
Conv_239,638.0005
Add_240,808.5344
Relu_241,570.3066
Conv_242,5255.2945
Relu_243,19.115299999999998
Shape_244,7.3647
Gather_246,9.616299999999999
Gather_248,9.446200000000001
Gather_250,9.4108
Gather_252,9.582600000000001
Mul_253,7.1918
Unsqueeze_254,8.2065
Unsqueeze_255,8.1554
Unsqueeze_256,8.203
Concat_257,15.6778
Reshape_258,19.1192
Unsqueeze_259,19.4778
Conv_260,30.516099999999998
Concat_261,16.6857
Reshape_262,10.3105
Softmax_263,8.0206
Unsqueeze_264,8.244200000000001
MatMul_265,12.537600000000001
Concat_266,19.6681
Reshape_267,8.488299999999999
Conv_268,7.8615
ReduceMean_269,7.3777
Sub_270,7.4276
Pow_272,7.0792
ReduceMean_273,8.382100000000001
Add_275,7.374
Sqrt_276,7.576899999999999
Div_277,7.3528
Mul_278,7.9743
Add_279,7.4757
Relu_280,7.5013000000000005
Conv_281,7.5617
Add_282,31.622799999999998
Conv_283,1096.2942
Relu_284,19.043
Concat_285,718.1631
Conv_286,7283.6197999999995
Relu_287,18.8891
Conv_288,32.0191
Shape_289,7.7858
Slice_292,7.840199999999999
Concat_293,11.4005
Resize_295,133.308
ArgMax_296,272.5566
