node,latency
Conv_0,202.15789999999998
Relu_1,226.2249
Conv_2,590.9605
Relu_3,226.1053
Conv_4,939.2742
Relu_5,449.0179
MaxPool_6,305.4196
Conv_7,142.0719
Relu_8,114.98389999999999
Conv_9,328.815
Relu_10,115.0781
Conv_11,383.80559999999997
Conv_12,386.6899
Add_13,684.8085
Relu_14,449.04490000000004
Conv_15,332.9114
Relu_16,115.2575
Conv_17,328.7346
Relu_18,115.0769
Conv_19,382.8184
Add_20,682.8675999999999
Relu_21,449.0476
Conv_22,330.3126
Relu_23,115.03580000000001
Conv_24,329.4115
Relu_25,115.8798
Conv_26,385.8439
Add_27,682.5292
Relu_28,448.9694
Conv_29,512.2352999999999
Relu_30,226.2751
Conv_31,565.4836
Relu_32,59.4657
Conv_33,286.1009
Conv_34,507.9196
Add_35,343.196
Relu_36,226.1896
Conv_37,267.7578
Relu_38,59.478199999999994
Conv_39,289.46320000000003
Relu_40,60.6099
Conv_41,284.8039
Add_42,343.3788
Relu_43,226.1445
Conv_44,264.3175
Relu_45,59.5245
Conv_46,284.5602
Relu_47,59.3633
Conv_48,284.8238
Add_49,343.2086
Relu_50,226.22310000000002
Conv_51,266.9706
Relu_52,59.3875
Conv_53,290.8439
Relu_54,59.446400000000004
Conv_55,284.685
Add_56,343.1006
Relu_57,226.2918
Conv_58,508.0227
Relu_59,115.6423
Conv_60,1014.4497
Relu_61,114.9357
Conv_62,987.9655
Conv_63,1889.3977
Add_64,683.3696
Relu_65,449.07259999999997
Conv_66,984.4099
Relu_67,115.2625
Conv_68,2179.6201
Relu_69,115.0755
Conv_70,986.5898000000001
Add_71,683.0906
Relu_72,449.27
Conv_73,975.7246
Relu_74,114.9128
Conv_75,2171.9082000000003
Relu_76,115.0921
Conv_77,986.196
Add_78,683.1831
Relu_79,449.127
Conv_80,996.5575
Relu_81,114.9013
Conv_82,2164.7396
Relu_83,114.95389999999999
Conv_84,997.9825
Add_85,682.9984000000001
Relu_86,449.1279
Conv_87,983.6815
Relu_88,114.8223
Conv_89,2229.1121000000003
Relu_90,115.39089999999999
Conv_91,996.9988000000001
Add_92,683.1084000000001
Relu_93,448.7906
Conv_94,1013.8761
Relu_95,115.063
Conv_96,2152.1326
Relu_97,115.0776
Conv_98,985.4146
Add_99,682.5254
Relu_100,449.2735
Conv_101,995.2825
Relu_102,114.8923
Conv_103,2167.5172000000002
Relu_104,115.2482
Conv_105,1012.6084000000001
Add_106,684.4699
Relu_107,448.9984
Conv_108,1005.2769000000001
Relu_109,115.0428
Conv_110,2180.4692999999997
Relu_111,114.98819999999999
Conv_112,983.7795
Add_113,682.3285999999999
Relu_114,449.0779
Conv_115,994.4019000000001
Relu_116,115.6315
Conv_117,2228.6785
Relu_118,115.0758
Conv_119,985.9296999999999
Add_120,682.8136
Relu_121,449.0214
Conv_122,1007.4276
Relu_123,115.0673
Conv_124,2138.5512000000003
Relu_125,114.968
Conv_126,984.7945
Add_127,682.5445
Relu_128,449.0852
Conv_129,993.2371999999999
Relu_130,114.9854
Conv_131,2190.2038
