node,latency
Conv_0,136.0104
Relu_1,136.95
Conv_2,412.9455
Relu_3,139.479
Conv_4,678.6075
Relu_5,275.7786
MaxPool_6,167.0099
Conv_7,82.1145
Relu_8,71.5921
Conv_9,278.2402
Relu_10,71.0275
Conv_11,207.3485
Conv_12,209.0191
Add_13,396.196
Relu_14,275.4592
Conv_15,202.19629999999998
Relu_16,71.2335
Conv_17,278.26640000000003
Relu_18,71.07239999999999
Conv_19,207.9496
Add_20,396.0328
Relu_21,277.10220000000004
Conv_22,202.2621
Relu_23,73.2285
Conv_24,276.7828
Relu_25,71.191
Conv_26,207.5595
Add_27,396.1467
Relu_28,275.4499
Conv_29,352.5792
Relu_30,139.8765
Conv_31,416.07390000000004
Relu_32,36.6284
Conv_33,183.0263
Conv_34,344.7767
Add_35,198.9427
Relu_36,140.4744
Conv_37,190.799
Relu_38,36.934
Conv_39,249.8052
Relu_40,36.9152
Conv_41,183.3501
Add_42,198.9555
Relu_43,139.2819
Conv_44,191.1311
Relu_45,36.7234
Conv_46,251.2419
Relu_47,36.7318
Conv_48,181.8054
Add_49,198.8458
Relu_50,139.518
Conv_51,191.1238
Relu_52,37.2329
Conv_53,251.361
Relu_54,36.733599999999996
Conv_55,181.0796
Add_56,199.45329999999998
Relu_57,139.5721
Conv_58,366.4556
Relu_59,71.4976
Conv_60,869.8216
Relu_61,70.7711
Conv_62,661.8866999999999
Conv_63,1206.1172
Add_64,394.3368
Relu_65,275.3173
Conv_66,717.6579
Relu_67,71.5695
Conv_68,1594.837
Relu_69,70.8906
Conv_70,648.6895999999999
Add_71,395.5249
Relu_72,275.3085
Conv_73,704.4963
Relu_74,71.3151
Conv_75,1581.0233999999998
Relu_76,70.802
Conv_77,655.5494
Add_78,394.2764
Relu_79,276.18640000000005
Conv_80,713.7228
Relu_81,71.14
Conv_82,1615.4559
Relu_83,71.5945
Conv_84,651.6298
Add_85,394.4999
Relu_86,276.6725
Conv_87,717.5818
Relu_88,71.0205
Conv_89,1613.2829
Relu_90,71.0231
Conv_91,656.5472
Add_92,394.64570000000003
Relu_93,276.7817
Conv_94,717.8255
Relu_95,71.0433
Conv_96,1645.6411
Relu_97,70.9616
Conv_98,657.065
Add_99,394.4748
Relu_100,276.10220000000004
Conv_101,711.168
Relu_102,70.9597
Conv_103,1648.8841
Relu_104,71.2168
Conv_105,658.6061
Add_106,394.781
Relu_107,279.3331
Conv_108,709.7714
Relu_109,71.3047
Conv_110,1533.6953
Relu_111,71.1207
Conv_112,651.5458000000001
Add_113,394.4435
Relu_114,275.7194
Conv_115,708.4314
Relu_116,73.0547
Conv_117,1711.8603999999998
Relu_118,71.41069999999999
Conv_119,657.2578000000001
Add_120,394.58509999999995
Relu_121,275.9517
Conv_122,717.7478000000001
Relu_123,71.2072
Conv_124,1528.6136999999999
Relu_125,71.4192
Conv_126,664.3347
Add_127,394.6852
Relu_128,275.3576
Conv_129,707.4314
Relu_130,71.2863
Conv_131,1628.3528999999999
Relu_132,71.4175
Conv_133,657.8991
Add_134,395.2094
Relu_135,275.7426
Conv_136,717.8038
Relu_137,71.2376
Conv_138,1621.8516000000002
Relu_139,71.3013
Conv_140,658.6996
Add_141,394.6037
Relu_142,275.179
Conv_143,708.2305
Relu_144,71.2267
Conv_145,1631.1215
Relu_146,74.0675
Conv_147,651.3398000000001
Add_148,394.7724
Relu_149,275.60179999999997
Conv_150,716.4004
Relu_151,71.3839
Conv_152,1579.4216000000001
Relu_153,71.2348
Conv_154,667.7821
Add_155,394.6821
Relu_156,276.721
Conv_157,710.8803
Relu_158,71.27380000000001
Conv_159,1528.5728000000001
Relu_160,71.4431
Conv_161,658.1465999999999
Add_162,394.8057
Relu_163,275.402
Conv_164,702.5008
Relu_165,71.5204
Conv_166,1640.0478999999998
Relu_167,71.2314
Conv_168,652.9739000000001
Add_169,395.2642
Relu_170,275.8199
Conv_171,709.5733
Relu_172,71.203
Conv_173,1527.0682
Relu_174,71.4387
Conv_175,654.7810999999999
Add_176,394.3399
Relu_177,275.18240000000003
Conv_178,709.4071
Relu_179,71.3326
Conv_180,1507.5893999999998
Relu_181,71.4651
Conv_182,651.8519
Add_183,394.63120000000004
Relu_184,275.8242
Conv_185,703.7342
Relu_186,71.96260000000001
Conv_187,1507.8138000000001
Relu_188,71.318
Conv_189,656.8839
Add_190,394.63140000000004
Relu_191,275.8288
Conv_192,700.0521
Relu_193,72.2482
Conv_194,1633.5397
Relu_195,71.2955
Conv_196,658.0245
Add_197,394.7995
Relu_198,277.6522
Conv_199,698.4074
Relu_200,71.36319999999999
Conv_201,1564.4726
Relu_202,71.511
Conv_203,651.6056
Add_204,394.62579999999997
Relu_205,276.50190000000003
Conv_206,698.9724
Relu_207,71.39269999999999
Conv_208,1655.1616000000001
Relu_209,71.2081
Conv_210,648.2057
Add_211,394.639
Relu_212,275.16740000000004
Conv_213,705.0253
Relu_214,71.3549
Conv_215,1580.1576
Relu_216,71.25460000000001
Conv_217,650.5024000000001
Add_218,394.59009999999995
Relu_219,275.6208
Conv_220,1253.5723
Relu_221,139.34720000000002
Conv_222,8352.033
Relu_223,139.7176
Conv_224,2796.3774
Conv_225,8358.2948
Add_226,788.7123
Relu_227,549.2434000000001
Conv_228,2890.9258999999997
Relu_229,139.4127
Conv_230,8549.1674
Relu_231,139.0691
Conv_232,2814.9442999999997
Add_233,795.5219000000001
Relu_234,549.381
Conv_235,2955.5741000000003
Relu_236,139.3095
Conv_237,8433.8777
Relu_238,139.198
Conv_239,2799.7198
Add_240,772.7275999999999
Relu_241,549.396
Conv_242,22107.2947
Relu_243,139.504
Shape_244,7.8529
Gather_246,13.5462
Gather_248,9.9333
Gather_250,11.587200000000001
Gather_252,9.872399999999999
Mul_253,7.8483
Unsqueeze_254,8.25
Unsqueeze_255,8.4331
Unsqueeze_256,7.8065
Concat_257,17.000799999999998
Reshape_258,141.6225
Unsqueeze_259,141.2516
Conv_260,71.4808
Concat_261,15.8493
Reshape_262,9.642100000000001
Softmax_263,8.456299999999999
Unsqueeze_264,8.0973
MatMul_265,65.7114
Concat_266,19.1352
Reshape_267,8.180399999999999
Conv_268,6.7688999999999995
ReduceMean_269,6.9274
Sub_270,6.8624
Pow_272,6.641
ReduceMean_273,6.7156
Add_275,6.519100000000001
Sqrt_276,10.591899999999999
Div_277,6.7075
Mul_278,7.0367
Add_279,6.8271999999999995
Relu_280,6.9653
Conv_281,7.0436000000000005
Add_282,139.5666
Conv_283,5273.6295
Relu_284,139.2726
Concat_285,692.1542
Conv_286,40043.412200000006
Relu_287,139.4126
Conv_288,82.8211
Shape_289,9.2275
Slice_292,8.694700000000001
Concat_293,11.404399999999999
Resize_295,252.5023
ArgMax_296,416.0515
