node,latency
Conv_0,46.6592
Relu_1,44.5786
Conv_2,116.7597
Relu_3,44.5077
Conv_4,227.0033
Relu_5,84.6465
MaxPool_6,58.786199999999994
Conv_7,37.7774
Relu_8,23.791700000000002
Conv_9,104.9917
Relu_10,24.189799999999998
Conv_11,94.17280000000001
Conv_12,95.0145
Add_13,125.32289999999999
Relu_14,84.5085
Conv_15,101.9218
Relu_16,23.546200000000002
Conv_17,105.1219
Relu_18,23.8744
Conv_19,93.62960000000001
Add_20,125.6807
Relu_21,84.76780000000001
Conv_22,102.0681
Relu_23,23.6004
Conv_24,105.233
Relu_25,23.6646
Conv_26,93.26939999999999
Add_27,125.3998
Relu_28,84.6977
Conv_29,167.44320000000002
Relu_30,44.3886
Conv_31,205.8051
Relu_32,11.9605
Conv_33,91.5473
Conv_34,170.4888
Add_35,65.0813
Relu_36,44.4392
Conv_37,97.4785
Relu_38,11.9421
Conv_39,109.3925
Relu_40,11.9197
Conv_41,93.16839999999999
Add_42,65.3492
Relu_43,44.299800000000005
Conv_44,97.423
Relu_45,12.1271
Conv_46,108.9136
Relu_47,12.1753
Conv_48,91.3984
Add_49,65.0561
Relu_50,44.4039
Conv_51,97.4766
Relu_52,11.8773
Conv_53,108.9275
Relu_54,13.552
Conv_55,92.9413
Add_56,64.8434
Relu_57,44.5514
Conv_58,185.9271
Relu_59,23.8813
Conv_60,354.501
Relu_61,23.796200000000002
Conv_62,309.776
Conv_63,690.5978
Add_64,125.91210000000001
Relu_65,85.3061
Conv_66,356.68359999999996
Relu_67,23.7527
Conv_68,768.2898
Relu_69,23.905099999999997
Conv_70,302.76840000000004
Add_71,127.6027
Relu_72,84.8877
Conv_73,356.372
Relu_74,23.7898
Conv_75,787.2609
Relu_76,24.0977
Conv_77,310.3207
Add_78,125.63810000000001
Relu_79,84.9666
Conv_80,356.2655
Relu_81,23.703799999999998
Conv_82,751.2505
Relu_83,23.6768
Conv_84,306.2497
Add_85,125.62230000000001
Relu_86,84.7207
Conv_87,356.5593
Relu_88,23.8401
Conv_89,758.0741999999999
Relu_90,23.6415
Conv_91,313.0187
Add_92,125.9263
Relu_93,84.6648
Conv_94,359.8588
Relu_95,23.9211
Conv_96,759.4061999999999
Relu_97,23.695700000000002
Conv_98,309.5438
Add_99,126.00869999999999
Relu_100,84.8772
Conv_101,356.30440000000004
Relu_102,23.767799999999998
Conv_103,758.5099
Relu_104,23.958099999999998
Conv_105,310.8832
Add_106,125.89389999999999
Relu_107,85.87060000000001
Conv_108,357.0738
Relu_109,23.6477
Conv_110,759.1404
Relu_111,23.7408
Conv_112,304.4293
Add_113,125.23639999999999
Relu_114,84.9665
Conv_115,356.1096
Relu_116,23.9025
Conv_117,775.0339
Relu_118,23.863799999999998
Conv_119,313.407
Add_120,125.6099
Relu_121,84.7847
Conv_122,357.02
Relu_123,23.7725
Conv_124,750.7774000000001
Relu_125,23.6567
Conv_126,302.8066
Add_127,125.37589999999999
Relu_128,84.6142
Conv_129,356.43829999999997
Relu_130,23.9091
Conv_131,759.058
Relu_132,23.8967
Conv_133,311.7673
Add_134,125.5183
Relu_135,84.64460000000001
