node,latency
Conv_1,768.1025999999999
Relu_2,891.2866
MaxPool_3,514.1948
Conv_4,134.89370000000002
Relu_5,146.44670000000002
Conv_6,376.8726
Relu_7,147.22629999999998
Conv_8,541.53
Conv_9,548.0478
Add_10,1279.7423999999999
Relu_11,885.4232
Conv_12,516.0359
Relu_13,144.227
Conv_14,377.853
Relu_15,144.5977
Conv_16,542.6305
Add_17,1284.595
Relu_18,893.4331
Conv_19,516.0457
Relu_20,144.24939999999998
Conv_21,380.0211
Relu_22,145.0475
Conv_23,547.9411
Add_24,1286.1212
Relu_25,897.7301
Conv_26,652.3473
Relu_27,453.41970000000003
Conv_28,625.4829
Relu_29,15.6271
Conv_30,273.87890000000004
Conv_31,452.9782
Add_32,647.97
Relu_33,452.7058
Conv_34,269.5746
Relu_35,15.549299999999999
Conv_36,349.9332
Relu_37,15.4441
Conv_38,274.3388
Add_39,644.7197
Relu_40,447.4706
Conv_41,287.09209999999996
Relu_42,15.6872
Conv_43,348.501
Relu_44,15.4879
Conv_45,275.36220000000003
Add_46,649.6743
Relu_47,453.22159999999997
Conv_48,284.7081
Relu_49,15.4979
Conv_50,348.3712
Relu_51,15.3898
Conv_52,275.3001
Add_53,644.9713
Relu_54,450.8975
Conv_55,320.0841
Relu_56,137.93429999999998
Conv_57,395.8065
Relu_58,9.139
Conv_59,136.7806
Conv_60,312.62690000000003
Add_61,319.4352
Relu_62,138.7221
Conv_63,131.4743
Relu_64,9.1615
Conv_65,210.0327
Relu_66,9.212200000000001
Conv_67,134.2088
Add_68,318.9935
Relu_69,135.1753
Conv_70,134.2813
Relu_71,9.1316
Conv_72,209.5722
Relu_73,9.1565
Conv_74,135.2237
Add_75,317.71909999999997
Relu_76,141.774
Conv_77,135.4778
Relu_78,9.3004
Conv_79,207.1419
Relu_80,9.2155
Conv_81,134.31189999999998
Add_82,324.2194
Relu_83,139.3354
Conv_84,134.1301
Relu_85,9.247200000000001
Conv_86,206.8713
Relu_87,9.12
Conv_88,133.5882
Add_89,324.94579999999996
Relu_90,139.56810000000002
Conv_91,135.4174
Relu_92,8.8803
Conv_93,195.3378
Relu_94,9.1394
Conv_95,134.9433
