node,latency
Conv_1,2121.3208999999997
Relu_2,1395.4296000000002
MaxPool_3,944.1685
Conv_4,387.0003
Relu_5,352.1393
Conv_6,998.8022
Relu_7,351.894
Conv_8,1148.5943
Conv_9,1144.7172
Add_10,2129.9329
Relu_11,1399.7215
Conv_12,977.369
Relu_13,351.5942
Conv_14,998.8045
Relu_15,351.62859999999995
Conv_16,1144.4566
Add_17,2131.628
Relu_18,1396.4933
Conv_19,970.6499
Relu_20,351.80940000000004
Conv_21,998.2891
Relu_22,354.76259999999996
Conv_23,1147.5588
Add_24,2131.1545
Relu_25,1396.7739
Conv_26,1532.1798000000001
Relu_27,702.7176999999999
Conv_28,1543.538
Relu_29,177.4724
Conv_30,859.2721
Conv_31,1524.0178999999998
Add_32,1068.2883
Relu_33,699.057
Conv_34,734.1981
Relu_35,177.543
Conv_36,844.0145
Relu_37,178.86870000000002
Conv_38,847.2815
Add_39,1067.9243000000001
Relu_40,699.5703000000001
Conv_41,733.036
Relu_42,177.8971
Conv_43,844.1725
Relu_44,177.4752
Conv_45,848.5917
Add_46,1070.9335
Relu_47,699.5474
Conv_48,733.2252
Relu_49,177.51
Conv_50,843.4071
Relu_51,177.58429999999998
Conv_52,857.5633
Add_53,1066.7131000000002
Relu_54,699.3655
Conv_55,1456.4577
Relu_56,351.5754
Conv_57,1684.9647
Relu_58,90.57310000000001
Conv_59,789.3863
Conv_60,1471.2676000000001
Add_61,533.5971999999999
Relu_62,351.5746
Conv_63,772.2881
Relu_64,90.5149
Conv_65,945.3442
Relu_66,90.4906
Conv_67,776.7062
Add_68,533.3737
Relu_69,352.741
Conv_70,764.0684
Relu_71,90.5445
Conv_72,946.5522
Relu_73,90.56439999999999
Conv_74,786.3594
Add_75,533.3553
Relu_76,351.573
Conv_77,766.1094
Relu_78,90.5642
Conv_79,951.4623
Relu_80,90.6988
Conv_81,781.8595
Add_82,533.6469000000001
Relu_83,351.7174
Conv_84,775.1619000000001
Relu_85,90.489
Conv_86,960.9734
Relu_87,90.6614
Conv_88,779.0141
Add_89,536.7535
Relu_90,351.75109999999995
Conv_91,774.191
Relu_92,90.76219999999999
Conv_93,938.6265
Relu_94,90.4739
Conv_95,779.9598000000001
Add_96,534.1807
Relu_97,351.5564
Conv_98,1361.5823
Relu_99,177.806
Conv_100,1905.0412
Relu_101,47.1225
Conv_102,778.8168000000001
Conv_103,1581.1562
Add_104,268.98490000000004
Relu_105,177.7381
Conv_106,825.2594
Relu_107,47.0197
Conv_108,1588.1035
Relu_109,47.1743
Conv_110,795.5747
Add_111,268.7008
Relu_112,178.4981
Conv_113,837.8171
Relu_114,47.250699999999995
Conv_115,1582.8437
Relu_116,47.563
Conv_117,777.0607
Add_118,269.3788
Relu_119,177.5306
Conv_120,1457.5274
Conv_121,764.0948000000001
Conv_122,420.3298
Shape_123,6.5228
Gather_124,7.4545
Shape_125,7.9498999999999995
Slice_128,6.5903
Cast_129,6.6171999999999995
Concat_130,10.0855
Resize_132,59.2599
Add_133,137.00539999999998
Shape_134,7.4388000000000005
Gather_135,9.6899
Shape_136,6.8451
Slice_137,6.8849
Cast_138,6.1591000000000005
Concat_139,9.4933
Resize_140,226.9522
Add_141,533.4541999999999
Conv_142,3854.7722000000003
Conv_143,950.712
Conv_144,396.85790000000003
Conv_145,187.3525
Conv_146,104.8348
Conv_147,4071.6097999999997
Reshape_149,363.56559999999996
TRTInstanceNormalization_152,473.8235
Shape_153,6.944
Reshape_154,364.01340000000005
Mul_155,358.1103
Add_156,357.9402
Relu_157,351.765
Conv_158,3766.1472000000003
Reshape_159,363.67670000000004
TRTInstanceNormalization_160,475.95259999999996
Shape_161,6.658600000000001
Reshape_162,363.5299
Mul_163,358.5212
Add_164,357.8772
Relu_165,351.817
Conv_166,3932.8204
Reshape_167,363.7593
TRTInstanceNormalization_168,469.691
Shape_169,6.0522
Reshape_170,363.8342
Mul_171,357.7143
Add_172,358.071
Relu_173,351.745
Conv_174,3980.1116
Reshape_175,363.5358
TRTInstanceNormalization_176,476.5388
Shape_177,6.4681999999999995
Reshape_178,363.0097
Mul_179,358.2429
Add_180,357.9188
Relu_181,351.7393
Conv_182,3843.2627
Reshape_183,365.1056
TRTInstanceNormalization_184,476.162
Shape_185,6.1161
Reshape_186,363.48359999999997
Mul_187,357.9201
Add_188,358.7763
Relu_189,352.3489
Conv_190,3897.883
Reshape_191,363.5123
TRTInstanceNormalization_192,469.8142
Shape_193,7.5134
Reshape_194,363.4068
Mul_195,358.3101
Add_196,357.67220000000003
Relu_197,351.7005
Conv_198,3750.7484
Reshape_199,363.84909999999996
TRTInstanceNormalization_200,476.84340000000003
Shape_201,6.1538
Reshape_202,363.42609999999996
Mul_203,357.8294
Add_204,358.2188
Relu_205,351.6952
Conv_206,4063.033
Reshape_207,364.1288
TRTInstanceNormalization_208,477.2911
Shape_209,6.6303
Reshape_210,363.50559999999996
Mul_211,358.08
Add_212,358.4432
Relu_213,351.7435
Conv_214,1164.9057
Conv_215,1163.5568
Mul_216,98.60910000000001
Cast_217,97.4545
Conv_218,948.4476
Reshape_219,93.8935
TRTInstanceNormalization_220,126.112
Shape_221,7.475
Reshape_222,93.76610000000001
Mul_223,92.8883
Add_224,93.1977
Relu_225,90.6832
Conv_226,945.7963000000001
Reshape_227,93.5753
TRTInstanceNormalization_228,126.20939999999999
Shape_229,6.519
Reshape_230,93.87769999999999
Mul_231,92.9886
Add_232,93.0275
Relu_233,90.5128
Conv_234,944.356
Reshape_235,95.03160000000001
TRTInstanceNormalization_236,125.8168
Shape_237,6.9705
Reshape_238,93.61880000000001
Mul_239,93.86880000000001
Add_240,92.978
Relu_241,90.6643
Conv_242,942.0621
Reshape_243,93.89710000000001
TRTInstanceNormalization_244,125.47439999999999
Shape_245,6.5451999999999995
Reshape_246,93.9431
Mul_247,92.81739999999999
Add_248,92.9907
Relu_249,90.5585
Conv_250,965.9908
Reshape_251,93.6
TRTInstanceNormalization_252,125.6939
Shape_253,7.139399999999999
Reshape_254,94.25269999999999
Mul_255,93.002
Add_256,92.7878
Relu_257,90.6213
Conv_258,973.4894
Reshape_259,93.6606
TRTInstanceNormalization_260,125.5216
Shape_261,6.4623
Reshape_262,93.7379
Mul_263,93.0897
Add_264,93.1815
Relu_265,90.64189999999999
Conv_266,949.3229
Reshape_267,93.7042
TRTInstanceNormalization_268,125.6958
Shape_269,6.057300000000001
Reshape_270,93.7136
Mul_271,92.88589999999999
Add_272,93.0592
Relu_273,90.63789999999999
Conv_274,946.4345
Reshape_275,93.70710000000001
TRTInstanceNormalization_276,125.5411
Shape_277,6.1006
Reshape_278,93.7163
Mul_279,93.77369999999999
Add_280,93.43180000000001
Relu_281,90.5818
Conv_282,360.74559999999997
Conv_283,355.96070000000003
Mul_284,27.399
Cast_285,25.6264
Conv_286,391.1517
Reshape_287,25.7886
TRTInstanceNormalization_288,53.7124
Shape_289,6.9128
Reshape_290,25.8035
Mul_291,26.442700000000002
Add_292,26.6023
Relu_293,23.0227
Conv_294,393.0949
Reshape_295,25.7763
TRTInstanceNormalization_296,52.1555
Shape_297,6.506399999999999
Reshape_298,25.5557
Mul_299,26.515900000000002
Add_300,26.666700000000002
Relu_301,22.6657
Conv_302,390.9463
Reshape_303,25.6762
TRTInstanceNormalization_304,51.1946
Shape_305,5.933
Reshape_306,25.6477
Mul_307,26.7608
Add_308,26.527099999999997
Relu_309,22.570400000000003
Conv_310,391.035
Reshape_311,25.895
TRTInstanceNormalization_312,51.7902
Shape_313,6.1144
Reshape_314,25.9915
Mul_315,27.418
Add_316,26.4575
Relu_317,23.036
Conv_318,391.4194
Reshape_319,25.5886
TRTInstanceNormalization_320,51.1971
Shape_321,5.9897
Reshape_322,25.741
Mul_323,26.7989
Add_324,27.5237
Relu_325,22.8627
Conv_326,391.2742
Reshape_327,25.612599999999997
TRTInstanceNormalization_328,51.2296
Shape_329,6.5697
Reshape_330,26.843
Mul_331,26.9147
Add_332,26.6908
Relu_333,22.435
Conv_334,391.179
Reshape_335,25.806
TRTInstanceNormalization_336,51.395
Shape_337,5.9942
Reshape_338,25.738599999999998
Mul_339,26.6075
Add_340,26.6397
Relu_341,22.8515
Conv_342,391.5797
Reshape_343,25.6447
TRTInstanceNormalization_344,51.521800000000006
Shape_345,6.058
Reshape_346,25.6962
Mul_347,26.601
Add_348,26.638099999999998
Relu_349,22.778
Conv_350,154.8439
Conv_351,155.73770000000002
Mul_352,6.8572
Cast_353,6.8023
Conv_354,154.4926
Reshape_355,7.0377
TRTInstanceNormalization_356,34.6454
Shape_357,7.0113
Reshape_358,9.2042
Mul_359,7.1754
Add_360,7.0855
Relu_361,5.9978
Conv_362,153.7378
Reshape_363,7.2145
TRTInstanceNormalization_364,32.593599999999995
Shape_365,5.927
Reshape_366,7.225899999999999
Mul_367,6.7347
Add_368,6.7583
Relu_369,6.0183
Conv_370,154.9774
Reshape_371,8.603399999999999
TRTInstanceNormalization_372,32.3621
Shape_373,6.6363
Reshape_374,7.173100000000001
Mul_375,6.9193
Add_376,6.6761
Relu_377,5.8227
Conv_378,155.6414
Reshape_379,8.0387
TRTInstanceNormalization_380,37.6767
Shape_381,6.919
Reshape_382,8.0362
Mul_383,7.071
Add_384,9.0182
Relu_385,6.0493999999999994
Conv_386,154.6259
Reshape_387,7.2585
TRTInstanceNormalization_388,33.105199999999996
Shape_389,6.022600000000001
Reshape_390,7.2477
Mul_391,6.774
Add_392,6.6592
Relu_393,5.9091000000000005
Conv_394,154.4472
Reshape_395,7.155399999999999
TRTInstanceNormalization_396,31.8667
Shape_397,5.9716000000000005
Reshape_398,7.1033
Mul_399,6.8069
Add_400,6.7799
Relu_401,6.0676000000000005
Conv_402,154.246
Reshape_403,7.6451
TRTInstanceNormalization_404,33.0196
Shape_405,6.1411999999999995
Reshape_406,11.167
Mul_407,6.7447
Add_408,6.6558
Relu_409,7.066
Conv_410,154.03289999999998
Reshape_411,6.9926
TRTInstanceNormalization_412,34.6209
Shape_413,6.1229
Reshape_414,7.3931000000000004
Mul_415,6.703600000000001
Add_416,6.8588000000000005
Relu_417,6.0325
Conv_418,80.0013
Conv_419,79.65339999999999
Mul_420,6.4847
Cast_421,6.6776
Conv_422,81.6883
Reshape_423,7.272
TRTInstanceNormalization_424,32.4571
Shape_425,6.0791
Reshape_426,8.663799999999998
Mul_427,6.4695
Add_428,6.5296
Relu_429,6.3855
Conv_430,81.7307
Reshape_431,6.881399999999999
TRTInstanceNormalization_432,32.1087
Shape_433,5.9475
Reshape_434,6.833
Mul_435,6.4335
Add_436,6.9254
Relu_437,6.0838
Conv_438,81.8488
Reshape_439,7.084
TRTInstanceNormalization_440,33.181400000000004
Shape_441,5.940600000000001
Reshape_442,7.1127
Mul_443,6.552
Add_444,6.5342
Relu_445,5.8751999999999995
Conv_446,81.94839999999999
Reshape_447,6.9581
TRTInstanceNormalization_448,32.9834
Shape_449,7.6838999999999995
Reshape_450,7.387899999999999
Mul_451,6.5376
Add_452,6.3594
Relu_453,7.3546000000000005
Conv_454,82.39869999999999
Reshape_455,7.0472
TRTInstanceNormalization_456,32.335
Shape_457,6.027
Reshape_458,7.257899999999999
Mul_459,6.4113
Add_460,6.6058
Relu_461,5.9855
Conv_462,81.43169999999999
Reshape_463,7.0335
TRTInstanceNormalization_464,33.8642
Shape_465,6.023
Reshape_466,7.0644
Mul_467,6.4935
Add_468,6.4733
Relu_469,5.9037
Conv_470,81.9641
Reshape_471,9.4821
TRTInstanceNormalization_472,32.123
Shape_473,6.8869
Reshape_474,7.559
Mul_475,7.089899999999999
Add_476,7.481199999999999
Relu_477,6.202
Conv_478,81.8836
Reshape_479,7.269699999999999
TRTInstanceNormalization_480,37.341699999999996
Shape_481,6.8755
Reshape_482,7.1209
Mul_483,6.4929
Add_484,6.4261
Relu_485,5.8875
Conv_486,45.0982
Conv_487,45.0775
Mul_488,6.59
Cast_489,6.8678
Shape_490,5.9399
Gather_492,7.3346
Transpose_493,131.67170000000002
Unsqueeze_494,6.7615
Concat_495,12.6899
Reshape_496,115.99
Sigmoid_497,112.41789999999999
Transpose_498,137.5153
Shape_499,5.985600000000001
Gather_500,7.4003000000000005
Unsqueeze_501,7.063
Concat_502,13.670200000000001
Reshape_503,99.3155
Softmax_504,340.60040000000004
MatMul_505,68.87180000000001
Concat_506,12.5547
Reshape_507,7.066
Mul_509,5.9798
Shape_511,6.014600000000001
Gather_512,9.2168
Gather_514,7.9385
