node,latency
Conv_1,1245.4533999999999
Relu_2,857.4241
MaxPool_3,523.2586
Conv_4,245.5471
Relu_5,216.9955
Conv_6,906.6189
Relu_7,216.0592
Conv_8,630.1618000000001
Conv_9,631.0795
Add_10,1230.0435
Relu_11,856.667
Conv_12,570.3003
Relu_13,216.1455
Conv_14,881.0952
Relu_15,216.5934
Conv_16,628.7356
Add_17,1230.0451
Relu_18,857.3891
Conv_19,571.4307
Relu_20,216.54979999999998
Conv_21,882.5748000000001
Relu_22,216.5106
Conv_23,631.3901
Add_24,1229.9708999999998
Relu_25,856.3868
Conv_26,987.7458
Relu_27,429.6259
Conv_28,1074.5915
Relu_29,109.8145
Conv_30,547.4567
Conv_31,1030.4065
Add_32,616.3847
Relu_33,429.1353
Conv_34,499.0735
Relu_35,109.3629
Conv_36,781.8429
Relu_37,109.41460000000001
Conv_38,552.0935999999999
Add_39,616.0631
Relu_40,428.9206
Conv_41,481.8528
Relu_42,109.7321
Conv_43,788.1974
Relu_44,109.5806
Conv_45,553.7183
Add_46,615.8742
Relu_47,429.1752
Conv_48,489.4813
Relu_49,109.4974
Conv_50,765.6098000000001
Relu_51,109.69630000000001
Conv_52,545.1869
Add_53,615.8053000000001
Relu_54,431.2261
Conv_55,946.2632
Relu_56,216.1451
Conv_57,1149.6605
Relu_58,56.2007
Conv_59,512.6479
Conv_60,952.1360999999999
Add_61,309.1512
Relu_62,215.9747
Conv_63,520.8398
Relu_64,56.2517
Conv_65,819.6055
Relu_66,56.2315
Conv_67,515.3903
Add_68,310.0742
Relu_69,215.9203
Conv_70,523.1654
Relu_71,56.3629
Conv_72,838.1441
Relu_73,56.2956
Conv_74,508.3743
Add_75,309.24
Relu_76,215.9241
Conv_77,519.4913
Relu_78,56.3449
Conv_79,821.9576999999999
Relu_80,56.2199
Conv_81,506.7093
Add_82,309.5704
Relu_83,216.0261
Conv_84,531.4747
Relu_85,56.166599999999995
Conv_86,822.6124
Relu_87,56.3576
Conv_88,508.1317
Add_89,309.00079999999997
Relu_90,215.85
Conv_91,524.4965
Relu_92,56.4176
Conv_93,826.5514000000001
Relu_94,56.281
Conv_95,507.83979999999997
Add_96,309.1103
Relu_97,216.0342
Conv_98,917.9488
Relu_99,109.4144
Conv_100,1402.7608
Relu_101,29.001
Conv_102,549.0658000000001
Conv_103,1158.3161
Add_104,156.2405
Relu_105,110.5364
Conv_106,615.9196
Relu_107,29.2606
Conv_108,1265.7104
Relu_109,29.5183
Conv_110,547.3860999999999
Add_111,156.44310000000002
Relu_112,109.2499
Conv_113,564.3183
Relu_114,28.8985
Conv_115,1335.4016000000001
Relu_116,29.0688
Conv_117,551.4115
Add_118,156.62429999999998
Relu_119,109.6938
Conv_120,943.5416
Conv_121,519.8537
Conv_122,359.9608
Shape_123,6.8436
Gather_124,9.517299999999999
Shape_125,7.2172
Slice_128,7.4041999999999994
Cast_129,6.7178
Concat_130,11.9398
Resize_132,38.763
Add_133,79.66539999999999
Shape_134,8.8805
Gather_135,8.540700000000001
Shape_136,7.5607
Slice_137,7.6212
Cast_138,8.6464
Concat_139,11.933
